股票代码,股票名称,平均增长率（%）,复合增长率（%）,增长频次
000001,平安银行,nan,nan,0
000002,万科Ai,27.80,6.25,20
000003,PT金田,112.00,0.22,0
000004,国农科技,-32.76,18.41,16
000005,世纪星源,-149.64,0.17,5
000006,深振业A,36.21,4.48,18
000007,全新好i,-5.00,0.53,4
000008,神州高铁,3232.98,-1009.83,12
000009,中国宝安,7469.92,-6.77,16
000010,美丽生态,10.09,-7.88,16
000011,深物业A,440.26,0.13,14
000012,南玻Ai,11.07,3.45,27
000013,ST石化,0.00,99.89,0
000014,沙河股份,-2016.65,3.20,14
000015,PT中浩,-inf,-2.15,1
000016,深康佳A,59.44,-3.36,12
000017,深中华A,-90.21,-0.05,6
000018,神州长城,-1211.47,-8.53,6
000019,深深宝A,-15.28,2.77,2
000020,深华发A,403.62,-71.29,14
000021,深科技i,-5.57,1.94,24
000022,深赤湾A,0.85,0.89,22
000023,深天地A,236.44,0.56,19
000024,招商地产,12.06,17.47,21
000025,特力Ai,335.13,-1.74,9
000026,飞亚达A,3.15,3.56,22
000027,深圳能源,7.58,1.20,19
000028,国药一致,3.87,7.56,17
000029,深深房A,17.02,15.57,19
000030,富奥股份,-135.77,-6.74,6
000031,中粮地产,-140.03,79.91,16
000032,深桑达A,114.99,2.43,16
000033,ST新都,-0.88,-1.21,2
000034,神州数码,-21.04,-3.87,10
000035,中国天楹,58.98,-2.12,10
000036,华联控股,14.05,-0.38,8
000037,ST南电,8.56,0.52,0
000038,深大通i,-181.13,-18.15,14
000039,中集集团,-29.73,0.86,18
000040,东旭蓝天,0.09,-7.08,18
000042,中洲控股,-831.54,-10.32,15
000043,中航地产,-6.98,-3.46,15
000045,深纺织A,60.98,-9.56,11
000046,泛海控股,-1341.30,-0.00,22
000047,ST中侨,0.43,0.83,0
000048,康达尔i,-65.20,-2.28,13
000049,德赛电池,21.89,-29.93,23
000050,深天马A,-305.59,7.01,15
000055,方大集团,23.61,52.88,22
000056,皇庭国际,22.55,0.22,2
000058,深赛格i,-0.03,-0.23,12
000059,华锦股份,65.38,4.50,13
000060,中金岭南,21.50,0.35,21
000061,农产品i,-121.83,-0.10,13
000062,深圳华强,-75.88,-6.36,23
000063,中兴通讯,-56.20,6.54,20
000065,北方国际,72.32,8.79,21
000066,长城电脑,-52.38,15.52,9
000068,华控赛格,1111.00,0.15,2
000069,华侨城A,5.75,-67.44,24
000070,特发信息,-19.38,-16.92,23
000078,海王生物,-44.73,14.15,15
000088,盐田港i,4.15,0.36,21
000089,深圳机场,1.22,1.57,20
000090,天健集团,-684.23,-9.51,14
000096,广聚能源,8.46,8.82,18
000099,中信海直,4.26,1.48,21
000100,TCL集,-186.78,11.43,14
