报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31
销售商品、提供劳务收到的现金,6617.28,16141.3,24700.84,33744.53,7322.77,18342.21,28358.11,46935.11,9439.99,22565.84,41511.49,58878.33,13777.14,36573.56,59633.82,96411.75,21141.59,51501.2,80030.88,113176.4,20289.56,49610.41,77021.35,112693.82,24873.41,57005.41,88126.66,123625.41,29580.59,61138.6,95865.43,139663.39,36009.97,68309.05,129420.36,198570.79,43501.99,97305.53,153960.36,234964.01,60964.81,137485.61,216554.84,317793.71,74319.11,160624.11,259336.72,374481.16,84668.69,179370.31,275730.01,401031.26,186325.91,444357.01,536344.94,712615.16,140995.44
收到的税费返还,0.0,0.0,0.0,0.0,0.0,0.0,119.89,0.0,0.0,0.0,0.0,0.0,22.91,0.0,0.0,441.56,0.0,0.0,0.0,613.99,82.75,458.8,700.16,1592.11,229.81,618.31,1675.98,2553.9,358.47,819.39,1627.71,2885.8,296.27,986.58,2967.46,4864.71,1235.21,2736.16,5236.58,6769.48,1749.42,5651.29,9252.05,9053.31,1533.26,6104.37,9612.14,10943.36,4658.85,11755.24,15310.76,19565.13,3375.72,7952.88,14388.83,13200.12,2731.11
收到的其他与经营活动有关的现金,3587.55,7074.71,10520.75,3994.08,224.25,1303.96,1466.61,1838.5,316.35,571.49,1098.38,6097.83,740.57,997.73,1323.79,3737.18,895.04,1738.19,3442.43,7018.16,527.35,1657.77,3646.66,2972.16,2403.43,3288.3,4218.91,6637.07,204.42,1540.74,2103.84,6364.8,703.59,4058.6,22574.76,46919.86,14381.45,11736.59,12454.0,16762.76,5169.98,9637.12,16036.24,51564.17,8913.29,6248.19,8950.64,14867.26,1827.28,7402.5,9812.55,22110.75,10219.84,9694.41,33914.02,20324.3,6117.86
经营活动现金流入小计,10204.83,23216.01,35221.59,37738.61,7547.03,19646.17,29944.62,48773.62,9756.34,23137.33,42609.86,64976.16,14540.61,37571.29,60957.61,100590.48,22036.63,53239.39,83473.31,120808.56,20899.66,51726.98,81368.17,117258.09,27506.64,60912.03,94021.55,132816.38,30143.48,63498.74,99596.98,148913.99,37009.82,73354.22,154962.57,250355.37,59118.65,111778.28,171650.94,258496.26,67884.21,152774.02,241843.12,378411.2,84765.67,172976.66,277899.5,400291.78,91154.82,198528.05,300853.33,442707.14,199921.48,462004.29,584647.79,746139.58,149844.41
购买商品、接受劳务支付的现金,4142.64,11519.03,18033.49,23250.38,4452.91,11963.32,19712.5,32051.78,6024.14,15574.07,24646.56,33749.84,11626.67,25176.56,40408.06,70896.72,17004.96,32953.77,55067.08,78673.37,15859.91,32389.69,44073.12,62168.24,16420.4,31492.08,54829.36,65867.2,15939.51,32209.58,55216.29,59232.56,14719.86,26993.02,51567.76,72269.98,21329.76,44868.9,72055.43,97761.83,37984.49,77798.0,127215.39,185070.82,44678.97,83431.85,133057.83,179044.0,60547.47,99987.87,161487.35,208864.35,56403.22,124145.56,148347.09,235772.39,61173.68
支付给职工以及为职工支付的现金,455.36,1039.56,1547.75,1938.08,615.85,1353.66,2241.89,3165.37,1278.89,3013.09,4865.99,7374.62,2165.15,4682.05,7444.07,10558.24,2653.2,5748.88,8228.97,11587.65,2952.84,6309.53,9356.59,13264.96,3714.43,7860.12,12206.6,16924.04,4381.6,9105.69,14039.63,19103.45,4841.03,9839.41,19826.42,28155.2,8534.11,16024.29,24267.55,33409.39,10812.18,22704.6,34549.61,49677.23,13525.23,25729.72,38302.21,55878.44,17452.45,30393.02,43905.24,65669.66,22468.65,36243.09,54596.75,74993.32,28584.22
支付的各项税费,2143.65,5245.44,5937.4,6722.46,933.42,2425.2,3107.17,4070.45,1001.43,2479.39,3745.54,4936.84,2059.99,4622.71,5735.96,6244.91,2010.84,4967.48,5956.54,8738.39,3018.36,6138.6,9036.0,11021.15,2046.89,7236.23,10448.64,12641.98,3168.3,7776.99,12899.65,17345.57,2686.71,9029.8,17531.49,22181.7,3904.3,13873.26,21741.32,26782.88,7234.72,20580.21,31777.92,30767.7,6145.18,21280.84,35333.68,36733.3,9089.54,23181.95,35308.29,42886.19,10000.99,25115.9,48622.91,57415.6,19177.93
支付的其他与经营活动有关的现金,3048.17,3789.14,7669.82,3575.1,760.88,2164.04,2646.69,3426.0,1251.85,2480.01,5251.41,9266.34,1586.73,3712.17,6013.49,6324.43,2549.53,5352.11,7510.2,12111.94,2670.71,5437.1,9016.22,13661.78,3228.5,7826.87,12224.84,24937.8,3148.05,8086.07,11164.56,32654.3,4664.43,7932.52,36353.4,73425.15,3655.88,8556.1,12525.91,32844.27,11572.03,25137.31,39141.89,88685.46,17799.66,22796.91,33783.42,48821.58,15993.04,31815.35,46627.78,63866.65,16046.15,38871.75,77717.23,94873.17,23665.61
经营活动现金流出小计,9789.82,21593.17,33188.47,35486.02,6763.06,17906.23,27708.25,42713.6,9556.3,23546.55,38509.5,55327.64,17438.54,38193.5,59601.58,94024.31,24218.53,49022.25,76762.79,111111.34,24501.82,50274.92,71481.93,100116.12,25410.22,54415.3,89709.44,120371.02,26637.46,57178.33,93320.14,128335.88,26912.02,53794.75,125279.07,196032.03,37424.05,83322.55,130590.21,190798.36,67603.42,146220.11,232684.81,354201.21,82149.04,153239.32,240477.14,320477.32,103082.49,185378.2,287328.65,381286.84,104919.01,224376.31,329283.98,463054.47,132601.45
经营活动产生的现金流量净额,415.02,1622.84,2033.12,2252.59,783.97,1739.94,2236.37,6060.01,200.03,-409.22,4100.36,9648.52,-2897.93,-622.2,1356.03,6566.17,-2181.9,4217.14,6710.52,9697.21,-3602.16,1452.06,9886.25,17141.97,2096.42,6496.73,4312.11,12445.36,3506.02,6320.4,6276.84,20578.11,10097.8,19559.47,29683.51,54323.34,21694.6,28455.73,41060.73,67697.89,280.79,6553.92,9158.31,24209.99,2616.62,19737.34,37422.36,79814.46,-11927.67,13149.85,13524.67,61420.3,95002.47,237627.98,255363.81,283085.11,17242.96
