报表日期,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31
货币资金,17542.09,6715.58,8433.51,14428.83,26497.49,31866.0,29195.24,108358.02,116718.79,102952.88,99576.28,83928.2,84291.94,72744.02,30427.81,62997.1,59802.93,21766.7,30934.2,43525.22,38091.47,14464.51,252583.45,212461.5,199323.13,62758.47,42492.17,623445.72,564273.94
交易性金融资产,0.0,0.0,50.26,8.86,2901.04,0.0,5973.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,710.96,137.41,3053.36,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,140566.33,110000.0,40119.83,88785.6
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,21264.95,0.0,29493.99,0.0,24928.6,0.0,45060.93,36347.23,34621.77,45280.22,52523.94,45128.64,59320.48,65118.13,65850.5,55883.49,86170.83,82325.0,98611.39,90138.61,83054.79,114988.89,181620.07,205159.75
应收票据,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收账款,7348.07,12378.39,15169.1,23719.96,21194.51,21264.95,15218.92,29493.99,20465.51,24928.6,24057.28,45060.93,36347.23,34621.77,45280.22,52523.94,45128.64,59320.48,65118.13,65850.5,55883.49,86170.83,82325.0,98611.39,90138.61,83054.79,114988.89,181620.07,205159.75
应收款项融资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预付款项,1299.7,595.56,393.77,696.88,1841.18,2365.48,2844.92,864.22,6837.35,2649.85,9500.17,1701.47,10109.76,4875.76,5425.34,2993.69,4266.58,6759.76,7675.44,2827.51,7091.83,7207.08,9059.62,6626.58,13475.35,9735.62,23503.63,22194.79,43594.82
其他应收款(合计),0.0,0.0,0.0,0.0,0.0,664.91,0.0,449.18,0.0,501.84,0.0,1738.04,1730.77,1578.91,2020.88,1183.08,1059.34,1641.47,1368.76,1171.28,2939.0,2713.8,2707.21,3868.14,2235.52,7119.75,7183.17,2311.64,3089.53
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
