报表日期,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-03-31,2019-06-30,2019-09-30
货币资金,10179.14,9726.27,11060.22,17281.97,20447.04,18667.71,17740.15,16247.85,17198.32
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,6025.07,8545.24,11471.37,12895.03,16137.45,13862.05,13797.05,14581.12
应收票据,196.5,75.78,1026.84,374.39,247.8,428.94,361.54,163.2,374.34
应收账款,2846.25,5949.29,7518.4,11096.98,12647.23,15708.51,13500.5,13633.85,14206.78
应收款项融资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预付款项,44.23,29.34,159.0,63.21,61.73,4.47,33.42,19.2,78.23
其他应收款(合计),0.0,2471.49,732.45,645.89,507.91,657.63,753.06,887.23,850.67
应收利息,140.86,124.67,1.49,0.0,0.0,0.0,0.0,0.0,0.0
应收股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他应收款,1939.9,2346.83,730.97,645.89,507.91,657.63,753.06,887.23,850.67
买入返售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
存货,2053.46,2522.6,3115.94,2884.64,2733.34,2050.59,4443.28,5910.06,6196.31
划分为持有待售的资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待摊费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待处理流动资产损益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他流动资产,0.0,0.0,2700.0,111.99,206.17,404.14,324.73,312.73,248.33
流动资产合计,17400.35,20774.77,26312.85,32459.07,36851.22,37921.99,37156.69,37174.11,39152.97
发放贷款及垫款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
可供出售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
持有至到期投资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应收款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期股权投资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
投资性房地产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
在建工程(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
在建工程,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
工程物资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
固定资产及清理(合计),0.0,1661.52,1304.14,1073.01,898.18,957.24,937.75,949.53,922.23
固定资产净额,1252.76,1661.52,1304.14,1073.01,898.18,957.24,937.75,949.53,922.23
固定资产清理,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
生产性生物资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公益性生物资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
油气资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
使用权资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
无形资产,113.07,847.55,655.8,454.25,265.95,130.01,92.77,95.96,89.14
开发支出,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
商誉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期待摊费用,19.35,67.85,114.58,80.59,76.92,37.08,32.01,27.8,23.87
递延所得税资产,178.64,375.54,330.14,367.06,252.53,284.22,301.39,651.88,368.92
其他非流动资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
非流动资产合计,1563.82,2952.46,2404.66,1974.92,1493.58,1408.54,1363.91,1725.16,1404.17
资产总计,18964.17,23727.23,28717.51,34433.99,38344.8,39330.53,38520.6,38899.27,40557.14
短期借款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
交易性金融负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付票据及应付账款,0.0,1263.57,2314.5,4166.9,3221.49,2765.92,1921.91,2010.09,1876.06
应付票据,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付账款,841.63,1263.57,2314.5,4166.9,3221.49,2765.92,1921.91,2010.09,1876.06
预收款项,2391.96,3454.29,2814.35,2290.55,2188.75,1254.21,1970.97,2786.31,2059.64
应付手续费及佣金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付职工薪酬,1736.85,2165.59,2933.37,2425.02,3664.08,4776.8,2630.51,2449.35,2684.78
应交税费,644.28,1935.98,1397.71,1889.97,2032.1,1894.68,704.79,545.56,786.05
其他应付款(合计),0.0,1633.27,510.39,1018.18,672.83,711.22,98.3,433.28,448.14
应付利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
