报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31
销售商品、提供劳务收到的现金,24778.07,52736.45,84359.18,497170.13,405742.06,932387.28,1316711.04,1650438.63,304547.59,617043.52,1091575.47,1386832.91,340474.29,984397.89,1513189.82,2078552.01,486542.14,1000473.44,1592870.93,1554424.93,428671.82,1091773.15,1652002.41,2397436.03,433578.55,821547.81,1484901.68,1801384.27,334352.57,769172.04,1313151.81,2096163.17,334431.41,751640.5,1105485.39,1372628.59,356253.91,663808.61,1014418.73,1495407.52,544935.79,1045337.48,1580680.65,2464780.97,742855.91,1461641.58,2271481.55,3091295.66,800438.35,1501200.88,2314569.42,5079237.86,1106465.17,2471558.4,3692364.66,7144437.73,1836868.95,3981762.14,5978626.01,10381091.89,1958016.45,3744832.75,5673944.64,9206705.99,1913101.96
收到的税费返还,0.0,0.0,0.0,0.0,0.0,0.0,327.17,0.0,0.0,0.0,400.68,13.95,77.5,164.5,164.5,4187.88,0.0,0.0,0.0,1688.51,0.0,0.0,0.0,871.26,0.0,0.0,0.0,581.23,4.42,96.68,1146.0,2383.01,1431.7,2793.0,2793.0,4352.58,1505.77,2900.63,4510.68,6680.58,1321.82,2655.79,3943.38,5391.22,1446.66,2725.09,4162.7,4513.72,1306.02,3313.23,4387.71,9121.49,2839.46,5535.27,7950.01,9841.56,2065.47,6017.46,11720.22,18312.9,5840.51,11742.22,18872.09,23808.14,1731.66
收到的其他与经营活动有关的现金,208.93,262.64,292.64,45521.98,7206.34,8902.65,10084.21,64076.19,3670.66,2534.67,8826.54,53218.8,1195.52,2902.27,9901.13,73156.48,25315.47,42348.02,11815.87,64859.51,21511.37,26328.82,39493.23,72637.53,6897.13,103867.59,136392.08,70045.81,8938.63,23000.66,98391.72,210135.23,9935.9,29394.56,38989.19,61913.92,8668.69,131226.36,56113.7,104205.5,14788.65,240633.48,138562.05,135710.63,14451.47,56059.04,119721.64,123766.7,494869.18,889607.64,1208458.97,1446799.77,214850.12,232717.35,347271.88,722171.17,216173.56,254148.16,382936.13,464545.82,233191.02,271654.19,382716.75,716305.51,348390.17
经营活动现金流入小计,24987.01,52999.09,84651.82,542692.11,412948.39,941289.92,1327122.42,1714514.81,308218.25,619578.19,1100802.68,1440065.66,341747.31,987464.66,1523255.45,2155896.38,511857.6,1042821.46,1604686.8,1620972.96,450183.19,1118101.96,1691495.64,2470944.82,440475.69,925415.39,1621293.76,1872011.31,343295.62,792269.38,1412689.52,2308681.42,345799.01,783828.06,1147267.59,1438895.1,366428.37,797935.6,1075043.11,1606293.59,561046.27,1288626.76,1723186.08,2605882.82,758754.04,1520425.7,2395365.88,3219576.08,1296613.55,2394121.75,3527416.1,6535159.12,1324154.75,2709811.03,4047586.54,7876450.46,2055107.99,4241927.77,6373282.36,10863950.61,2197047.98,4028229.16,6075533.49,9946819.64,2263904.84
购买商品、接受劳务支付的现金,30523.57,60390.43,84972.24,443759.92,349714.2,774797.91,1102484.97,1314914.69,210107.85,413800.36,760858.61,1070776.28,265640.62,855128.58,1282168.37,1863552.12,449607.64,747152.23,1241887.64,1262031.76,406184.04,785437.65,1163582.44,1867605.11,394501.13,717371.05,1000180.62,1400109.7,302537.01,642156.63,915682.08,1608010.09,282580.54,502365.89,689641.58,878362.97,342689.63,593233.03,825047.98,1133427.43,412367.88,837977.68,1148579.38,1338159.6,521032.43,982412.75,1436470.39,1635740.7,625024.26,1034646.94,1726678.68,3742755.56,882598.92,1754160.85,2775932.1,6181345.51,1617997.96,3556056.7,5343201.75,9484933.79,1834412.48,3381829.12,5105776.25,8458205.12,2007795.34
支付给职工以及为职工支付的现金,1286.97,2462.99,3488.52,38391.02,25500.72,39864.07,57862.74,104658.61,17607.03,38488.9,56717.59,100643.1,22201.35,55017.5,64637.36,120625.88,26392.52,68538.84,102776.12,133761.84,29295.7,66361.47,108711.82,136853.64,33690.05,76306.19,123242.27,158275.37,28960.68,90201.77,140932.33,181373.41,42578.69,95319.75,146314.6,184652.46,43213.18,79244.81,128367.84,170503.72,50162.92,101892.26,141533.31,201828.26,52556.65,102069.4,170612.22,231775.77,62342.43,115691.65,195521.32,224873.36,65512.98,126730.01,214874.92,266456.08,72410.63,143416.74,242215.55,256422.37,81619.72,168811.23,250344.03,382484.63,0.0
支付的各项税费,678.12,1665.81,2419.48,38106.66,26066.4,74236.35,92512.49,117733.32,17096.49,40431.21,66058.61,89045.11,19430.66,54140.16,70612.62,94726.97,5782.1,23642.27,32973.36,42658.5,14713.88,30960.94,42980.14,51899.33,8851.23,24082.07,42083.64,55927.78,14307.02,30033.13,52419.84,77926.36,11174.15,31514.21,47726.62,62110.47,9932.41,27041.96,42571.43,49868.55,30046.41,60983.39,98728.38,111976.41,61832.35,150860.15,161622.33,217234.89,79744.87,228817.33,260864.74,274245.06,87664.59,204516.07,244773.79,227174.77,77182.8,116881.09,149812.29,175433.82,60545.77,170711.57,176793.73,207499.86,44541.29
支付的其他与经营活动有关的现金,2021.13,2644.12,4797.26,15535.95,10248.8,39098.2,61548.2,154999.3,11206.93,35015.04,53931.23,103676.06,19613.21,51891.69,72112.06,142321.98,35124.56,68095.54,87563.4,133825.81,33245.54,228175.23,380540.47,384579.85,27590.36,82721.49,374894.3,277592.22,21490.19,32834.05,246945.8,131351.92,12081.19,163001.52,273048.76,108954.81,6389.26,36183.71,47328.06,136642.66,11159.13,26884.66,37338.94,159241.1,12754.12,69894.87,125815.49,838083.79,493651.72,897871.88,903371.9,1660029.65,101198.45,279371.68,429251.04,843918.73,104650.54,306949.54,439135.41,466027.82,176263.78,231792.99,445958.39,890819.45,112330.49
经营活动现金流出小计,34509.79,67163.35,95677.49,535793.55,411530.12,927996.53,1314408.39,1692305.91,256018.3,527735.51,937566.04,1364140.55,326885.84,1016177.93,1489530.42,2221226.95,516906.82,907428.88,1465200.51,1572277.91,483439.16,1110935.29,1695814.88,2440937.93,464632.77,900480.8,1540400.83,1891905.06,367294.9,795225.59,1355980.04,1998661.78,348414.57,792201.36,1156731.56,1234080.71,402224.48,735703.5,1043315.31,1490442.36,503736.35,1027737.99,1426180.01,1811205.38,648175.54,1305237.17,1894520.43,2922835.15,1260763.28,2277027.8,3086436.64,5901903.63,1136974.94,2364778.61,3664831.84,7518895.09,1872241.94,4123304.06,6174365.0,10382817.8,2152841.75,3953144.91,5978872.4,9939009.05,2226444.18
经营活动产生的现金流量净额,-9522.78,-14164.27,-11025.67,6898.57,1418.27,13293.4,12714.02,22208.9,52199.95,91842.68,163236.64,75925.1,14861.47,-28713.27,33725.03,-65330.58,-5049.22,135392.57,139486.29,48695.04,-33255.96,7166.67,-4319.24,30006.89,-24157.09,24934.6,80892.93,-19893.75,-23999.28,-2956.21,56709.48,310019.64,-2615.57,-8373.3,-9463.97,204814.39,-35796.11,62232.09,31727.8,115851.24,57309.92,260888.77,297006.07,794677.43,110578.5,215188.53,500845.46,296740.93,35850.27,117093.95,440979.46,633255.49,187179.81,345032.42,382754.7,357555.38,182866.05,118623.7,198917.36,481132.8,44206.23,75084.26,96661.09,7810.58,37460.66
