报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
货币资金,465548.55,480986.51,475338.55,472270.63,556444.33,506587.18,640201.58,809372.19,766232.11,779580.84,789528.06,974315.22,998043.52,1026886.16,1102666.96,1288839.39,1599848.94,1729168.74,1828832.63,1825469.02,1885142.7,2098185.91,1869003.3,2206199.99,2173523.47,1827496.21,2201137.29,2518500.93,2336407.16,2109507.73,2279590.7,2771071.77,2842068.34,3023650.47,3053611.76,3680074.99,4377573.62,4752805.71,6199974.29,6685496.21,7270833.38,7363534.71,8096467.9,8786886.99,8721137.37,8366017.06,10075085.73,11207479.14,11168441.75,11555785.99,11272886.22,1325181.72,1968297.3,2545239.73,2707530.96,3609109.01,5074325.54,5419771.66,5070198.47
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122170.6,79874.65,69029.45,62059.05,56373.97,51977.49,70966.39,85867.95,146300.06,134459.37,117846.8,193565.56,153272.9,118566.34,123253.45,54012.36
应收票据,19515.94,17933.79,14660.49,10104.62,8212.75,9482.19,9060.82,17061.26,17610.43,15729.05,27594.65,38076.03,30215.63,17985.12,27116.38,20481.11,17586.86,21648.53,29685.07,25210.14,23149.85,22151.21,34852.98,20407.91,7077.02,15915.19,19627.26,29608.4,28724.66,29969.26,115880.85,184783.86,280812.67,395487.47,829140.23,857893.54,467811.89,656148.45,113813.88,81762.72,117690.16,169806.72,182962.54,122170.6,79874.65,69029.45,62059.05,56373.97,51977.49,70966.39,85867.95,146300.06,134459.37,117846.8,193565.56,153272.9,118566.34,123253.45,54012.36
应收账款,10383.12,6518.94,6878.69,4640.72,7778.54,4782.05,4734.41,3482.51,5611.85,3987.55,4156.53,2138.63,3107.02,2875.96,2800.32,125.46,99.73,229.85,211.92,222.54,205.69,198.55,185.35,1781.81,134.46,92.72,92.73,92.72,267.64,222.03,222.03,430.62,49.11,36.64,382.45,23.08,23.08,104.46,850.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预付款项,522.61,62.92,405.68,682.56,219.48,672.86,2993.68,74163.85,71518.38,89670.88,114028.08,120312.61,145003.85,149165.02,169613.27,152986.88,160920.39,186139.55,191154.44,186102.74,232614.42,301010.89,396725.27,387287.04,468260.67,556092.18,651440.13,430457.93,388246.39,386463.89,439754.85,286421.04,339922.12,255624.47,188838.71,147773.49,152344.68,128138.0,132312.07,104610.07,86106.91,98457.87,80129.54,79080.73,75680.28,81885.55,112108.0,118237.85,114121.75,141968.46,206052.98,154947.73,140356.48,93213.36,111678.02,89843.63,101083.29,93007.22,101445.54
应收利息,0.0,262.94,262.94,358.44,188.03,218.14,248.25,278.36,308.46,143.8,167.53,191.26,18.37,4944.38,7669.65,4272.84,3944.75,12760.62,17610.93,22518.28,15458.6,21378.64,26595.48,26461.28,16980.21,23770.88,29106.91,18859.91,6991.18,4022.71,3596.87,8060.29,11763.05,13652.97,13672.57,8534.71,13357.31,8017.18,12544.28,14090.49,23922.35,15689.09,24268.66,24145.86,83261.7,38156.84,38228.34,34388.99,38448.38,38637.42,8029.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他应收款,6998.59,9625.6,3180.56,8611.43,10181.69,8909.28,8991.72,8260.14,6104.7,6947.07,8478.5,9600.15,9175.87,6941.09,6561.19,5910.19,10104.81,5439.81,7952.94,4728.75,8889.52,22119.3,32491.41,13796.87,11106.55,11028.38,14061.42,11957.42,14198.81,9584.63,14534.78,8088.89,8801.16,7137.65,5981.99,4821.9,6487.26,5640.26,12541.56,7722.76,12146.74,4844.76,5847.55,3132.35,4179.47,6806.54,45024.33,5000.05,0.0,4810.13,0.0,7654.05,0.0,7083.77,0.0,3448.86,0.0,4855.57,0.0
买入返售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
存货,200833.17,212002.14,210078.26,230481.89,238824.85,244347.47,258810.58,311456.78,322296.63,325622.06,340532.5,419224.64,435095.9,449532.89,479142.89,557412.61,583173.47,591561.33,623218.58,718711.76,757801.93,777383.45,788735.49,966572.76,1008527.4,1033902.15,1068618.98,1183681.02,1269765.89,1324065.45,1345495.9,1498236.44,1561920.96,1628407.26,1638116.51,1801329.7,1853781.78,1844492.64,1878252.35,2062225.18,2076047.35,2085031.04,2087100.21,2205748.14,2202630.39,2208735.15,2186225.67,2350695.08,2402511.83,2401400.06,2375548.47,2528492.08,2527204.52,2629464.96,2698046.37,2886908.77,2961371.59,3065521.11,3039210.86
划分为持有待售的资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待摊费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待处理流动资产损益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他流动资产,0.0,0.36,0.78,0.0,4.13,2.53,2.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23147.46,2195.41,2414.83,3553.08,3753.92,1624.74,3259.82,2587.13,14008.43,4325.1,2026.13,2458.38,2090.49,3650.85,6311.69,2722.99,2673.69,1873.82,969.43,2907.82
流动资产合计,703801.98,727393.21,710805.95,727150.29,821853.8,775001.69,925043.57,1224075.09,1189682.57,1221681.24,1284485.84,1565558.54,1620660.16,1658330.61,1795570.67,2030028.48,2375678.94,2546948.43,2698666.51,2782963.22,2923262.72,3242427.95,3148589.28,3622507.66,3685609.78,3468297.71,3984084.72,4193158.34,4044601.74,3863835.69,4199075.99,4757092.91,5045337.41,5323996.94,5729744.21,6500451.4,6911379.61,7395346.7,8350288.63,9018054.88,9588942.31,9739779.02,10480329.48,11224918.6,11178138.6,10773890.42,12483089.9,13786183.53,13787400.0,14254594.58,13994914.85,15902447.2,15792487.23,14483513.37,15748928.62,18565215.5,18584958.84,18185057.17,19257723.47
发放贷款及垫款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2475.0,9052.75,1659.63,0.0,985.0,3081.0,3081.0,3081.0,2106.0,1950.0,13650.0,17163.84,16987.27,6083.35,24270.12,22425.0,2925.0,3315.0,2559.38,4290.0,4290.0,3607.5,3602.63,2929.88,3900.0,4875.0,5148.0,296643.75,293475.0,295303.68,294489.0,245992.5,343492.5
可供出售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,400.0,400.0,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
