报表日期,2009-12-31,2010-12-31,2011-12-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31
货币资金,1742.48,4245.02,8572.55,8311.34,55740.04,56081.44,53794.15,47738.47,52271.5,45518.54,43037.81,41455.85,17889.29,43205.82,14517.16,14891.68,16497.23,22655.98,32058.1,34664.01,32034.46,36447.32,43681.78,57876.36,47377.11,53675.14,69724.52,58486.29,50112.78,70448.71,70525.76,225044.89,206673.51,204230.58,206215.89
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.42,56.58,0.0,0.0,0.0,0.0,0.0,0.0
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.21,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30154.37,0.0,34805.3,0.0,0.0,0.0,50420.46,0.0,44701.43,0.0,51337.62,0.0,63168.68,75061.08,78871.35,77529.51,78167.3,79459.95,102639.67,105772.44,108039.24,38097.14
应收票据,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,0.0,1458.86,0.0,0.0,0.0,0.0,0.0,0.0,20.0,115.0,67.7,73.42,35.0,79.38,99.13,567.02,496.73
应收账款,1777.61,2381.35,4507.87,6631.25,8088.62,8664.47,10251.9,11494.96,10671.37,13023.58,17542.56,20564.96,24686.05,30154.37,32058.3,34805.3,36237.78,38148.22,43376.86,48961.59,50890.62,44701.43,48946.07,51337.62,58781.88,63168.68,75041.08,78756.35,77461.81,78093.87,79424.95,102560.3,105673.31,107472.22,37600.41
应收款项融资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预付款项,96.3,696.76,822.19,861.28,260.51,447.95,2072.48,932.1,667.86,787.82,5912.7,5914.69,1159.51,2069.29,2960.0,2651.12,20083.58,2231.06,2906.54,3925.43,4932.51,3412.24,3262.58,4589.96,4383.81,3139.67,4728.74,5605.97,5221.6,4715.77,6151.59,4333.8,4253.48,2607.96,3767.96
其他应收款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1001.75,0.0,1022.54,0.0,0.0,0.0,5560.46,0.0,6463.88,0.0,4376.07,0.0,6083.04,5389.82,6452.4,8796.19,5310.52,5636.24,5691.27,6309.45,5578.6,6184.05
应收利息,0.0,0.0,0.0,0.0,202.02,559.95,794.98,1017.47,279.63,383.5,709.65,855.37,3.47,0.0,0.0,0.0,0.0,0.15,0.0,27.26,0.88,0.0,26.73,81.7,55.9,540.24,224.03,53.55,0.0,192.69,206.89,258.98,281.1,559.88,1017.08
应收股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820.0,0.0,0.0,0.0,0.0,0.0,396.0,0.0
