报表日期,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,195.26,2730.54,4303.83,5681.59,63711.2,64957.39,64529.74,63585.02,65116.5,69534.31,70040.07,64808.42,64400.89,68060.58,68637.0,67777.34,71040.88,70085.12,57397.43,62912.49,59983.79,28894.08,47621.14,49756.36,42276.03,74460.16,112118.57,108575.42,107225.58,117381.83,128006.63,120521.41,144317.35,173814.0,179070.6,167735.09,187921.53,163250.82,154991.3
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4700.0,0.0,0.0,0.0
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24031.88,24782.26,21785.69,19434.11,18020.85,18649.8
应收票据,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,41.88,41.88,0.0,49.5,0.0,0.0,0.0,0.0
应收账款,139.94,407.19,1141.9,1213.82,2851.78,3935.11,4804.79,5500.18,6141.51,5122.01,5060.82,8577.11,9200.56,8447.35,8254.38,9369.09,8818.78,12634.86,13514.93,14152.98,14391.3,13289.78,10800.21,14607.94,15971.15,15236.82,16452.13,16951.79,19771.06,18997.05,17909.19,20730.36,24460.81,24031.88,24732.76,21785.69,19434.11,18020.85,18649.8
预付款项,1.59,17.69,15.87,98.32,126.16,3.12,204.87,15.34,55.58,1.58,165.3,116.17,174.43,23.96,19.19,0.2,300.2,80.06,102.65,122.63,285.55,131.95,239.54,297.66,253.38,456.73,656.21,843.03,1153.45,264.08,626.57,1433.39,766.34,433.98,1428.4,1288.12,996.2,767.96,811.64
应收利息,0.0,0.0,0.0,0.0,46.11,107.02,13.33,0.0,0.0,245.02,19.34,0.0,0.0,377.45,0.0,0.0,0.0,122.61,0.0,0.0,0.0,103.8,36.92,6.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他应收款,21.7,198.64,61.98,113.53,135.56,104.55,224.41,647.92,529.21,122.74,133.46,296.43,311.43,213.35,533.06,229.49,276.13,4640.19,822.72,891.0,1398.52,978.96,1042.67,1019.63,3196.08,3792.27,8149.13,13959.85,3990.77,3383.21,4449.19,9393.56,3404.06,3522.07,3433.08,2941.41,3206.83,3170.98,0.0
