报表日期,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31
销售商品、提供劳务收到的现金,228635.2,238513.56,303767.57,351800.98,288052.04,422384.09,97233.12,221419.28,364972.14,561054.24,140668.82,323539.32,540146.12,756222.73,174234.69,406440.71,657693.45,992747.09,267286.18,543636.21,886549.55,1253975.51,208446.04
收到的税费返还,516.22,97.0,999.35,4238.76,4466.03,6312.56,2563.53,3447.06,5524.67,8750.26,4145.99,8842.21,12765.24,18509.42,4069.35,7419.1,13902.58,21710.73,11035.57,17439.16,23098.81,33520.9,6978.04
收到的其他与经营活动有关的现金,3535.82,5721.72,5076.92,11108.69,7312.99,15072.47,8428.34,10805.04,13655.05,25373.31,7533.44,10843.28,22605.37,28581.27,9888.63,12974.99,21296.83,25379.54,17645.49,27113.11,41929.75,44984.73,15746.03
经营活动现金流入小计,232687.24,244332.28,309843.84,367148.43,299831.07,443769.12,108224.99,235671.39,384151.86,595177.8,152348.24,343224.81,575516.72,803313.43,188192.67,426834.8,692892.86,1039837.36,295967.25,588188.48,951578.11,1332481.14,231170.1
购买商品、接受劳务支付的现金,125105.17,122053.15,159791.79,200011.2,123837.02,199151.75,61081.78,114548.32,185123.09,277023.83,89256.31,197520.84,312823.73,415628.07,117237.82,244825.85,374773.63,549000.13,159946.21,298989.39,458488.24,665339.68,162217.3
支付给职工以及为职工支付的现金,27671.61,31171.98,35802.34,51612.15,43693.48,59503.72,14364.56,35148.57,54788.07,76416.67,21764.69,45839.2,69400.26,98048.51,28807.56,52690.2,85935.38,152474.81,40376.52,78326.43,117640.75,196858.09,46576.44
支付的各项税费,13209.61,17284.31,25196.84,34144.78,31849.85,44092.29,8813.98,21741.12,35760.79,45950.27,9835.36,25967.26,43449.26,57780.24,14229.01,35896.1,56279.32,76315.81,13522.1,40698.95,64323.26,88875.91,12127.28
支付的其他与经营活动有关的现金,29254.39,40830.47,43599.98,58529.83,46162.26,64812.0,16032.06,37576.71,60746.9,98327.33,21743.96,49665.71,76625.26,118234.42,25938.54,77366.9,128718.41,161096.23,57279.64,100551.03,168607.84,168993.29,50361.66
经营活动现金流出小计,195240.79,211339.91,264390.95,344297.95,245542.6,367559.76,100292.38,209014.72,336418.85,497718.1,142600.32,318993.01,502298.51,689691.24,186212.93,410779.05,645706.75,938886.99,271124.48,518565.8,809060.08,1120066.97,271282.68
经营活动产生的现金流量净额,37446.45,32992.37,45452.89,22850.48,54288.47,76209.37,7932.6,26656.67,47733.01,97459.71,9747.93,24231.8,73218.21,113622.18,1979.74,16055.75,47186.11,100950.38,24842.77,69622.67,142518.02,212414.18,-40112.58
收回投资所收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511.0,511.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35296.19,49475.65,9872.87
取得投资收益所收到的现金,2502.65,1767.29,2797.81,3426.45,2676.34,2944.09,16.06,149.64,250.48,392.74,1134.97,3198.0,4732.52,5662.85,2490.53,5888.6,11100.03,13048.55,2469.58,4430.12,11284.75,13488.57,9088.84
处置固定资产、无形资产和其他长期资产所收回的现金净额,112.7,11.57,125.8,4.99,13.38,20.25,9.93,22.1,25.15,33.63,1.3,9.3,35.74,48.67,0.0,0.0,0.0,89.41,0.5,0.5,2.76,455.76,0.0
处置子公司及其他营业单位收到的现金净额,0.0,0.0,0.0,134.89,20.0,1112.85,0.0,617.71,617.71,1206.11,0.0,776.93,787.48,794.53,0.0,0.0,0.0,0.0,0.0,0.0,126.0,273.77,0.0
收到的其他与投资活动有关的现金,1481.36,1138.07,1370.73,17225.32,4359.55,4352.53,1104.29,2088.3,5346.86,3478.65,0.0,55470.0,55470.0,11027.63,33000.0,149233.58,149986.22,290229.82,35600.0,38103.97,72803.97,165232.79,9000.0
投资活动现金流入小计,4096.72,2916.93,4294.34,20791.65,7069.27,8429.72,1130.28,2877.75,6240.2,5111.12,1136.26,59965.23,61536.74,17533.68,35490.53,155122.18,161086.24,303367.77,38070.08,42534.59,119513.67,228926.54,27961.71
购建固定资产、无形资产和其他长期资产所支付的现金,3580.53,17969.5,15268.64,42881.73,23262.85,30023.8,8648.97,16303.35,17112.02,23079.76,6880.08,10271.78,18903.02,27449.9,14708.06,23482.63,50602.82,71667.46,19538.73,37161.1,49576.28,76073.1,16940.95
投资所支付的现金,743.93,0.0,0.0,0.0,1825.5,1825.5,0.0,0.0,0.0,0.0,0.0,50000.0,52088.32,72088.32,29800.89,145938.21,119947.51,137353.25,9.23,31109.23,31109.23,109.23,1239.16
取得子公司及其他营业单位支付的现金净额,0.0,0.0,375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28445.08,67913.53,96512.74,0.0,0.0,0.0,1194.89,0.0
支付的其他与投资活动有关的现金,385.54,486.13,15523.65,6458.14,531.14,1608.18,241.75,407.62,621.08,142176.3,34580.0,34830.0,59808.0,62298.04,0.0,1962.12,4135.29,196285.08,4200.0,14500.0,4850.0,121046.97,0.0
投资活动现金流出小计,4710.01,18455.64,31167.29,49339.87,25619.49,33457.47,8890.73,16710.96,17733.1,165256.05,41460.08,95101.78,130799.34,161836.26,44508.95,199828.04,242599.15,501818.53,23747.96,82770.33,85535.51,198424.19,18180.11
投资活动产生的现金流量净额,-613.28,-15538.7,-26872.95,-28548.22,-18550.22,-25027.75,-7760.45,-13833.22,-11492.91,-160144.93,-40323.82,-35136.54,-69262.61,-144302.58,-9018.43,-44705.86,-81512.91,-198450.75,14322.12,-40235.74,33978.16,30502.35,9781.6
吸收投资收到的现金,1878.07,0.0,0.0,935.5,1276.11,1276.11,0.0,363.19,439.88,197948.8,8.0,313.0,463.0,42569.47,0.0,180.0,180.0,40011.77,0.0,0.0,0.0,421.57,100.0
其中：子公司吸收少数股东投资收到的现金,0.0,0.0,0.0,935.5,1276.11,1276.11,0.0,363.19,439.88,607.15,8.0,313.0,463.0,808.0,0.0,180.0,180.0,380.0,0.0,0.0,0.0,421.57,0.0
取得借款收到的现金,16917.69,22129.71,18178.92,78909.48,56401.17,61597.22,24520.08,36783.52,36783.52,26784.52,0.0,4900.0,7000.0,7000.0,5000.0,82568.99,144961.37,184973.77,24914.97,68211.64,76731.61,133509.01,54625.29
发行债券收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108831.0,76272.57,0.0,0.0,0.0,0.0,0.0
收到其他与筹资活动有关的现金,0.0,0.0,0.0,767.47,445.0,795.38,0.0,15.0,15.0,15.0,0.0,200.0,200.0,1777.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0
筹资活动现金流入小计,18795.75,22129.71,18178.92,80612.45,58122.28,63668.7,24520.08,37161.72,37238.4,224748.33,8.0,5413.0,7663.0,51346.47,5000.0,82748.99,253972.37,301258.11,24914.97,68211.64,76731.61,133993.08,54725.29
