报表日期,2011-12-31,2012-12-31,2013-12-31,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31
销售商品、提供劳务收到的现金,133735.56,174474.95,203587.56,163419.04,233173.76,59233.3,130204.1,206230.91,292173.26,77064.14,167621.98,268217.61,376134.67,95983.21,205718.01,331156.72,464126.61,114083.13,247363.48,389459.39,540959.71,130921.53,284008.74,451278.58,623526.69,143030.63,306691.25,484128.58,660852.41,151171.7
收到的税费返还,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,987.5,38.49,372.72,566.53,565.8,0.0
收到的其他与经营活动有关的现金,721.15,934.17,1631.16,1093.92,1506.57,354.47,671.64,1242.89,3138.21,879.38,1918.12,3634.38,5410.07,1015.6,2130.25,3192.29,5456.59,1660.77,3122.09,4407.4,6609.59,2976.71,4881.21,6571.2,8010.03,1840.43,4483.04,6985.87,9302.18,2394.14
经营活动现金流入小计,134456.7,175409.11,205218.71,164512.96,234680.33,59587.77,130875.73,207473.79,295311.47,77943.52,169540.09,271851.98,381544.74,96998.81,207848.26,334349.01,469583.2,115743.9,250485.58,393866.78,547569.3,133898.24,288889.95,457849.78,632524.21,144909.54,311547.0,491680.98,670720.39,153565.85
购买商品、接受劳务支付的现金,73786.52,86893.35,101352.65,83172.69,118011.18,30618.45,64123.06,102709.93,144239.18,36699.44,80756.75,125651.85,184716.4,47127.81,99132.89,157789.59,221861.45,51879.1,111645.57,178970.76,248662.0,63443.72,134211.73,212706.82,292258.34,68772.22,142480.98,224604.53,379240.4,90653.88
支付给职工以及为职工支付的现金,19565.39,25718.2,31528.18,27314.64,38606.71,10645.37,22676.17,35019.18,48128.62,13085.84,27799.29,43448.76,60226.81,17468.12,36924.25,55568.8,74881.54,20208.24,40874.13,62503.05,84161.56,22440.36,46619.64,71912.3,98279.79,22569.88,44941.96,68217.77,92464.43,25382.19
支付的各项税费,13477.89,22761.4,25081.3,20280.69,27879.69,7027.18,15874.53,24246.51,34440.17,8208.38,19360.11,30965.68,44290.97,10139.17,22460.12,37216.99,53716.54,13635.7,29548.26,46771.42,64128.81,16676.95,32495.92,49862.3,65838.95,15498.16,33278.04,49876.79,70251.93,15472.44
支付的其他与经营活动有关的现金,10010.07,15045.8,15376.19,13803.52,18244.33,4461.47,10150.52,16919.97,25759.96,7384.22,16344.39,27132.15,40361.32,11118.11,24801.34,37777.13,53808.94,12568.69,31391.72,46282.64,70294.94,16683.64,40026.94,63730.4,87363.73,18375.48,39231.73,63341.61,18627.03,4501.03
经营活动现金流出小计,116839.87,150418.74,173338.32,144571.53,202741.91,52752.47,112824.29,178895.59,252567.92,65377.88,144260.54,227198.44,329595.5,85853.2,183318.6,288352.51,404268.47,98291.73,213459.69,334527.87,467247.31,119244.68,253354.23,398211.82,543740.8,125215.75,259932.7,406040.71,560583.79,136009.54
经营活动产生的现金流量净额,17616.83,24990.38,31880.39,19941.43,31938.42,6835.29,18051.45,28578.21,42743.55,12565.64,25279.55,44653.54,51949.24,11145.61,24529.67,45996.51,65314.72,17452.17,37025.88,59338.91,80321.99,14653.56,35535.71,59637.96,88783.41,19693.8,51614.3,85640.27,110136.61,17556.31
收回投资所收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67700.0,6000.0,29397.39,29399.07,49115.03,26000.0,124000.0,218000.0,327000.0,83000.0,131000.0,176000.0,246000.0,139600.0,281500.0,377500.0,432500.0,78000.0
取得投资收益所收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.61,209.69,249.82,249.82,400.19,244.08,1053.09,2124.68,3046.34,776.63,1219.15,1636.08,2222.54,1164.22,2404.29,3162.74,3727.45,851.86
处置固定资产、无形资产和其他长期资产所收回的现金净额,55.72,770.99,49.26,17.14,22.76,3.14,35.95,1042.17,57.86,1.64,7.67,21.43,204.68,1.0,51.84,25.91,88.98,42.05,72.68,361.38,373.74,6.87,50.78,115.19,74.56,2.19,14.26,33.57,163.26,16.49
处置子公司及其他营业单位收到的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到的其他与投资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
投资活动现金流入小计,55.72,770.99,49.26,17.14,22.76,3.14,35.95,1042.17,57.86,1.64,7.67,21.43,67968.29,6210.69,29699.05,29674.79,49604.2,26286.13,125125.77,220486.06,330420.08,83783.5,132269.94,177751.27,248297.1,140766.4,283918.54,380696.31,436390.7,78868.35
购建固定资产、无形资产和其他长期资产所支付的现金,16913.33,12832.79,19729.21,15804.1,25839.61,4271.5,11545.73,19321.7,31603.24,9548.34,19808.17,32177.69,43630.04,12672.16,26078.76,34503.79,39667.37,7187.76,16838.49,26226.62,39586.09,18017.55,48282.27,70299.71,89314.66,14077.19,34703.38,64628.16,89291.15,20949.3
投资所支付的现金,0.0,0.0,0.0,240.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75700.0,21013.62,22006.0,22006.0,41721.96,26000.0,124000.0,218000.0,327000.0,83000.0,131000.0,176000.0,328000.0,137000.0,251500.0,351500.0,447000.0,54000.0
取得子公司及其他营业单位支付的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
支付的其他与投资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
投资活动现金流出小计,16913.33,12832.79,19729.21,16044.13,25839.61,4271.5,11545.73,19321.7,31603.24,9548.34,19808.17,32177.69,119330.04,33685.78,48084.75,56509.79,81389.33,33187.76,140838.49,244226.62,366586.09,101017.55,179282.27,246299.71,417314.66,151077.19,286203.38,416128.16,536291.15,74949.3
投资活动产生的现金流量净额,-16857.62,-12061.8,-19679.95,-16026.99,-25816.85,-4268.36,-11509.78,-18279.53,-31545.37,-9546.7,-19800.5,-32156.26,-51361.74,-27475.09,-18385.71,-26835.0,-31785.13,-6901.63,-15712.72,-23740.56,-36166.0,-17234.05,-47012.33,-68548.44,-169017.56,-10310.78,-2284.83,-35431.85,-99900.45,3919.05
吸收投资收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57437.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72104.0,0.0,0.0,0.0,0.0,0.0,0.0,98400.0,98400.0,0.0,0.0,0.0,0.0,0.0
其中：子公司吸收少数股东投资收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
取得借款收到的现金,7460.0,8100.0,5425.0,0.0,2000.0,7000.0,9000.0,9000.0,9000.0,0.0,2000.0,2000.0,2000.0,0.0,9000.0,9000.0,9000.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,4000.0,0.0,5291.44,10233.44,20485.63,10192.52
发行债券收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到其他与筹资活动有关的现金,87.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
筹资活动现金流入小计,7547.05,8100.0,5425.0,0.0,2000.0,7000.0,9000.0,9000.0,66437.34,0.0,2000.0,2000.0,2000.0,0.0,9000.0,9000.0,81104.0,0.0,0.0,0.0,0.0,0.0,4000.0,102400.0,102400.0,0.0,5291.44,10233.44,20485.63,10192.52
偿还债务支付的现金,5775.0,12210.0,8035.99,389.01,389.01,0.0,4000.0,4000.0,6000.0,5000.0,5000.0,7000.0,7000.0,0.0,0.0,9000.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,0.0,0.0,979.29,979.29,5036.85
分配股利、利润或偿付利息所支付的现金,3569.95,4159.11,6142.05,7519.63,13894.1,8122.49,8173.97,8198.58,8332.12,162.65,24934.37,24950.25,24950.25,0.0,13564.46,13619.27,13619.27,0.0,37650.08,37650.08,37650.08,0.0,47094.74,47136.99,47146.17,0.0,65771.51,65813.5,65842.64,71.5
其中：子公司支付给少数股东的股利、利润,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
