报表日期,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
货币资金,95353.87,95933.56,90363.37,102727.11,109016.34,103609.61,83108.73,93097.6,94290.78,94178.8,173334.38,111337.6,110822.09,125169.26,130200.73,111237.64,95033.08,123618.02,83972.46,127122.72,119803.12,161008.14,93375.49,121987.44,100652.61,91625.58,101065.03,95282.09,85033.54,89958.05,90545.25,109667.26,74606.13,75964.44,70797.9,93752.55,70449.51,83422.81,96575.58
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25249.16,0.0,18801.09,0.0,20474.73,0.0,24984.56,28202.09,24289.04,26065.75,21361.87,33282.03,34303.06,35483.57,29151.72,32964.37,39595.27,36517.2,26134.63,36666.66,35158.91,39258.88,24935.47,32929.44,32590.76,34336.4
应收票据,0.0,0.0,0.0,1518.72,1518.72,0.0,0.0,0.0,0.0,0.0,200.0,170.0,180.0,300.0,0.0,580.0,680.0,100.0,3440.0,3000.0,100.0,200.0,400.0,0.0,4216.54,5251.71,7245.0,2715.0,0.0,4216.95,1500.0,590.0,4804.0,714.0,0.0,1058.0,888.0,4415.37,4623.37
应收账款,24682.61,22457.62,25950.31,20323.12,21413.75,21971.33,22422.12,19315.67,21549.03,22670.95,21543.72,20020.71,24649.35,24949.16,23244.64,18221.09,19350.19,20374.73,20215.18,21984.56,28102.09,24089.04,25665.75,21361.87,29065.49,29051.35,28238.57,26436.72,32964.37,35378.32,35017.2,25544.63,31862.66,34444.91,39258.88,23877.47,32041.44,28175.39,29713.03
应收款项融资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预付款项,12303.43,12373.19,10220.12,9165.72,11713.66,12252.91,9871.75,12461.76,12200.38,10054.09,12109.68,10335.15,15821.24,14150.74,17581.98,16727.14,14842.32,18312.89,23330.36,14311.23,19717.11,18523.46,29764.12,25347.18,30300.75,30480.33,28086.05,23741.06,26594.64,23662.36,30464.96,14502.44,13095.82,16500.21,16101.3,15309.88,11905.56,8507.94,16816.1
其他应收款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2061.21,0.0,2004.25,0.0,2635.93,0.0,2165.36,3173.09,2740.59,2123.83,4353.29,3670.7,3760.29,3720.89,1794.95,2710.92,1962.05,1892.69,1867.99,1994.0,2101.25,2418.39,2245.08,2555.87,2253.88,2131.91
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
