报表日期,2013-12-31,2014-12-31,2015-09-30,2015-12-31,2016-06-30,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-03-31,2020-06-30,2020-09-30
其他流动负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.12,167.81,0.0,31.85,180.09
流动负债合计,8624.34,7984.75,4198.92,4341.53,5912.34,11127.3,13021.39,19277.25,27711.64,0.0,29542.0,34371.44
长期借款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
租赁负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应付职工薪酬,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应付款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应付款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
专项应付款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预计非流动负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
递延所得税负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期递延收益,1117.53,1591.17,1543.0,2387.8,2999.69,1915.4,1648.52,1472.82,1252.11,0.0,2059.93,1903.58
其他非流动负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
非流动负债合计,1117.53,1591.17,1543.0,2387.8,2999.69,1915.4,1648.52,1472.82,1252.11,0.0,2059.93,1903.58
负债合计,9741.87,9575.92,5741.92,6729.33,8912.03,13042.7,14669.91,20750.07,28963.75,23670.72,31601.93,36275.01
实收资本(或股本),8250.0,8250.0,8650.0,8650.0,8650.0,9000.0,9000.0,9000.0,9000.0,0.0,9000.0,12009.0
资本公积,2640.0,2640.0,4085.37,13379.26,13379.26,20866.13,22165.53,22315.53,25143.03,0.0,25143.03,144404.87
减：库存股,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他综合收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
专项储备,40.79,107.14,199.08,199.08,186.03,123.43,186.51,225.86,312.22,0.0,362.58,387.23
盈余公积,423.1,599.48,599.48,93.86,93.86,518.1,1142.26,1904.02,2904.29,0.0,2904.29,2904.29
一般风险准备,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
未分配利润,4390.45,7137.34,9903.29,2110.99,4661.59,8471.29,12033.69,24773.95,32384.83,0.0,40992.5,44870.97
归属于母公司股东权益合计,15744.34,18733.96,23437.22,24433.19,26970.75,38978.95,44527.99,58219.35,69744.38,72831.53,78402.41,204576.37
少数股东权益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
所有者权益(或股东权益)合计,15744.34,18733.96,23437.22,24433.19,26970.75,38978.95,44527.99,58219.35,69744.38,72831.53,78402.41,204576.37
负债和所有者权益(或股东权益)总计,25486.21,28309.88,29179.15,31162.52,35882.78,52021.66,59197.9,78969.42,98708.13,96502.25,110004.34,240851.38
