报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
销售商品、提供劳务收到的现金,131819.97,156483.69,246085.81,304455.97,76438.13,171796.93,258359.12,249267.35,45862.84,97571.06,225435.73,204797.45,47637.95,75634.92,124357.16,189171.44,29137.15,60974.63,133752.81,146814.69,28011.96,74416.72,122626.19,151541.75,35634.68,100002.26,146485.96,161047.34,10497.03,21829.49,35238.01,44572.98,11992.57,25124.9,37896.64,924372.69,234493.0,473539.35,779107.56,1093768.23,281592.12,550098.5,813491.9,1236921.67,300058.88,578241.69,920673.8,1335777.14,352859.83,648806.92,971582.46,1321977.84,249328.9,551874.93,864078.65,1315040.14,370384.09,809557.55,1198969.37,1612957.07,361225.3,568142.56
收到的税费返还,1314.79,3087.74,3356.68,3652.6,1016.37,2513.12,3395.2,4794.04,2329.77,1901.5,4333.05,6258.11,1525.97,2374.31,3745.91,4318.91,1759.0,2455.78,3195.97,2240.0,183.07,183.07,3710.56,3960.12,1121.63,2152.78,3935.55,4500.07,481.42,485.33,488.91,495.23,6.14,6.14,11.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3560.03,3560.03,3560.03,0.0,0.0,0.0,0.0,0.0,0.0
收到的其他与经营活动有关的现金,1931.51,2683.68,5076.63,6726.18,1554.3,5142.83,6207.0,4556.42,2361.78,5090.92,6396.72,5443.1,703.61,2015.95,4869.8,6047.59,3957.75,4269.47,5047.58,2328.66,149.82,1579.9,2671.0,1539.68,1351.58,625.69,1529.69,873.59,640.02,2048.81,2226.06,879.79,2854.57,232.37,5083.57,82347.08,12050.13,56588.61,98541.41,137356.0,45209.74,60910.68,74127.97,84601.28,18730.85,55190.66,63977.06,136937.51,24722.62,48176.48,60460.89,81730.52,6625.91,19718.14,28494.52,35792.03,19587.57,31210.54,46267.52,73620.24,23138.92,36540.6
经营活动现金流入小计,135066.27,162255.1,254519.12,314834.76,79008.8,179452.88,267961.31,258617.81,50554.38,104563.48,236165.49,216498.66,49867.52,80025.18,132972.87,199537.94,34853.9,67699.87,141996.36,151383.35,28344.85,76179.69,129007.75,157041.56,38107.89,102780.74,151951.2,166421.01,11618.47,24363.63,37952.98,45948.0,14853.29,25363.41,42991.34,1006719.76,246543.13,530127.96,877648.97,1231124.23,326801.86,611009.18,887619.87,1321522.95,318789.73,633432.35,984650.86,1472714.65,377582.46,696983.4,1032043.34,1403708.36,255954.81,575153.09,896133.2,1354392.21,389971.66,840768.09,1245236.89,1686577.31,384364.23,604683.16
购买商品、接受劳务支付的现金,127735.28,151504.6,237915.9,296204.71,71583.84,165650.92,249605.68,230963.67,43152.71,97343.19,219193.03,187082.87,50815.94,76081.53,123826.33,175020.44,33767.9,63473.95,120279.82,131944.85,29201.02,72752.26,124868.74,137570.23,33715.94,92320.03,137584.32,146948.5,7937.97,17682.34,27583.51,38394.83,8563.03,18045.12,26564.25,246695.16,70552.78,151225.81,226824.41,310828.48,73130.63,158901.86,239085.13,327555.64,79862.0,178643.61,315837.61,447948.16,119473.1,243314.13,341150.75,449220.21,53607.14,123705.83,209855.18,313951.37,21801.85,50310.83,66794.21,75881.44,11892.34,14031.5
支付给职工以及为职工支付的现金,1817.39,2794.35,4001.7,5806.05,1682.13,3071.76,4170.93,5779.17,1005.17,2857.31,3229.58,5061.46,1478.12,3089.43,4763.01,7412.86,1504.11,3376.34,5480.98,9133.18,1308.67,3624.96,5355.67,7937.95,1256.19,3567.49,5522.14,7090.78,678.23,1547.57,2583.83,4178.5,1246.13,2629.37,4055.41,100199.05,27785.85,45791.12,66249.41,88620.8,27874.77,50079.86,73752.79,93937.74,36630.14,57596.82,81225.0,116617.04,48898.94,85549.43,122535.31,163758.73,42181.49,65169.74,92431.39,112041.7,36917.98,66670.59,96970.97,121343.59,36562.58,69867.07
支付的各项税费,420.11,1331.99,1684.22,2426.24,349.82,993.65,1214.76,1527.86,2265.36,1128.57,1666.69,1700.2,630.73,1702.45,2739.33,809.6,1279.49,2589.18,1705.87,1569.4,1288.26,1644.74,2264.06,2236.91,506.45,1166.92,1499.16,1273.58,124.73,400.42,1269.07,664.64,116.65,249.7,1105.66,222104.29,55512.66,82024.05,133604.91,176031.72,54009.93,94604.86,146422.07,201745.08,63956.24,116875.41,190354.8,216071.87,71248.84,105280.54,127663.25,144846.5,34214.61,56638.27,90546.64,133029.43,90094.32,139084.64,168948.72,200162.24,95862.08,135205.22
支付的其他与经营活动有关的现金,5496.94,6480.32,9134.47,18521.68,2942.36,7034.86,9709.09,9112.5,3316.68,6500.62,8467.51,9411.94,4278.82,6561.98,9259.52,13022.2,2184.24,5360.35,16010.36,9905.49,1790.48,3241.72,4258.6,9749.81,2854.97,4228.48,5841.8,7021.28,1571.92,4862.03,4952.01,2129.63,3064.19,941.83,4723.28,174675.88,41663.95,84231.28,155221.95,175642.03,76624.93,124489.27,189547.74,282659.03,69994.75,155615.21,241153.46,313793.36,79805.67,155084.84,232301.73,302895.94,60120.19,127520.63,193660.48,273028.54,83894.15,181054.35,254668.33,330148.35,77995.79,117928.99
经营活动现金流出小计,135469.71,162111.25,252736.28,322958.68,76558.15,176751.2,264700.47,247383.2,49739.92,107829.7,232556.81,203256.47,57203.61,87435.39,140588.19,196265.09,38735.74,74799.82,143477.02,152552.92,33588.43,81263.68,136747.07,157494.9,38333.55,101282.92,150447.42,162334.14,10312.85,24492.36,36388.43,45367.59,12990.01,21866.02,36448.6,743674.38,195515.25,363272.25,581900.68,751123.02,231640.26,428075.85,648807.73,905897.49,250443.13,508731.06,828570.88,1094430.43,319426.55,589228.93,823651.03,1060721.38,190123.44,373034.46,586493.7,832051.04,232708.3,437120.42,587382.22,727535.62,222312.79,337032.78
经营活动产生的现金流量净额,-403.43,143.85,1782.84,-8123.92,2450.65,2701.68,3260.85,11234.61,814.46,-3266.22,3608.68,13242.19,-7336.09,-7410.21,-7615.32,3272.85,-3881.84,-7099.95,-1480.66,-1169.57,-5243.57,-5083.98,-7739.32,-453.34,-225.66,1497.82,1503.77,4086.87,1305.62,-128.73,1564.55,580.41,1863.28,3497.38,6542.74,263045.38,51027.88,166855.71,295748.3,480001.2,95161.6,182933.33,238812.14,415625.46,68346.6,124701.3,156079.98,378284.21,58155.91,107754.47,208392.31,342986.99,65831.37,202118.63,309639.51,522341.17,157263.36,403647.67,657854.67,959041.69,162051.44,267650.38
收回投资所收到的现金,0.0,0.0,0.0,43778.23,0.0,850.0,2450.0,16034.78,2700.0,37700.0,39829.82,43768.36,6000.0,22229.48,25229.48,31662.62,0.0,12001.45,12476.66,19063.11,0.0,5406.52,5887.77,5520.5,0.0,0.0,0.0,79.7,1900.0,1900.0,2079.48,1900.0,0.0,0.0,946.0,0.0,2483.07,2483.07,2483.07,2483.07,0.0,0.0,0.0,0.0,29097.13,34097.13,34097.13,34097.13,0.0,0.0,740.0,6977.33,0.0,0.0,10778.38,34675.06,45702.0,69914.7,80777.44,81563.48,319.09,21417.32
取得投资收益所收到的现金,0.0,0.0,0.0,100.5,0.0,0.86,12.24,16.48,5.79,5.79,35.88,132.67,9.79,1201.86,1585.69,946.07,0.0,12.79,12.79,25.74,2.3,5.26,5.26,779.41,0.0,0.0,194.22,61.28,0.0,0.0,0.0,281.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,529.24,529.24,7478.09,3023.41,8712.59,10786.92,12966.1,3349.74,8127.66,10443.89,12557.54,3033.46,7664.23,11263.14,14683.75,2082.7,3731.22,6047.29,7919.4,3674.2,7076.45
处置固定资产、无形资产和其他长期资产所收回的现金净额,0.0,0.0,0.0,1850.7,800.0,800.0,2986.72,3081.52,66.27,125.77,81.97,70.89,0.0,0.0,0.0,7.9,12.23,35.31,35.31,27.59,0.0,5.2,5.2,16.31,0.0,410.91,410.91,1350.47,0.3,231.22,234.02,256.37,1.71,1.71,1.71,349.6,0.0,0.0,5.16,22.54,25.03,0.0,65.86,83.93,6.25,45.62,63.46,677.19,17.68,40.03,83.78,166.57,34.75,106.85,188.4,262.29,133.04,215.05,423.93,438.15,22.3,39.67
处置子公司及其他营业单位收到的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-235.47,0.0,0.0,0.0,217.29,17.91,18.11,20.47,167.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,2353.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.57,14.57,-1.15,71.72,71.72,0.0,0.0,0.0
收到的其他与投资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,445.18,0.0,62.36,0.0,2054.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0,800.0,961.43,1.92,366.66,620.51,345711.91,0.0,0.0,0.0,20000.0,557922.0,1168140.0,1218140.0,1356904.0,346090.0,826137.0,1189637.0,1229637.0,250340.0,775690.0,1003535.91,1059330.52,98087.0,357031.17,651353.97,882644.84,107146.0,160496.0,338946.0,444246.0,228139.0,636629.0
投资活动现金流入小计,0.0,0.0,0.0,45729.43,800.0,1650.86,5448.97,19070.7,2772.06,37831.56,39947.67,44189.2,6027.7,23449.46,26835.64,33229.05,12.23,12111.91,12524.76,21171.27,2.3,5416.99,5898.23,6316.22,0.0,410.91,605.13,1491.45,2700.3,2931.22,3113.5,3399.22,3.62,368.36,1568.21,346061.51,2483.07,2483.07,2488.23,22505.6,557947.03,1168731.24,1218735.09,1366819.45,378216.78,868992.34,1234584.51,1277377.41,253707.42,783857.68,1014803.59,1079031.97,101155.22,364802.26,673598.46,932280.51,155062.59,234428.68,426266.38,534167.04,232154.58,665162.44
购建固定资产、无形资产和其他长期资产所支付的现金,622.2,1057.27,3185.75,4396.16,1163.51,2080.13,2538.39,2862.35,53.77,71.39,174.5,227.34,128.67,168.27,316.03,9820.5,83.94,3455.3,3470.75,4643.47,865.77,2221.1,2956.31,7873.88,3911.47,4606.89,5459.15,8600.36,484.09,2390.29,4065.04,4450.54,304.3,340.59,401.15,9281.94,3365.83,4241.98,6496.93,9495.63,4898.03,6694.27,16412.14,26331.8,6569.31,51106.98,116064.2,170883.08,17618.0,25263.02,29225.69,34263.83,1691.34,2345.05,4244.6,6112.98,2398.42,7233.31,14882.87,24994.71,2384.1,3356.29
投资所支付的现金,0.0,0.0,4600.0,37968.63,2858.85,3021.47,3908.85,20829.19,5000.0,37000.0,37000.0,40647.04,10228.79,26228.79,26228.79,33361.82,0.0,12306.18,12680.69,20709.66,0.0,5200.0,5200.0,2708.06,0.0,0.0,219.88,219.88,91.8,106.78,106.78,445.24,0.0,0.0,0.0,46523.22,0.0,32331.0,52331.0,80297.67,14511.32,17801.07,31401.07,97171.03,42623.54,71723.54,103209.57,124125.57,10673.02,12883.02,19278.37,79847.37,127275.0,173089.0,318466.0,327072.27,48090.86,91267.35,110861.36,112374.36,1000.0,4280.0
取得子公司及其他营业单位支付的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352390.68,850.0,850.0,850.0,970.4,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.76,1557.24,1557.24,1557.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
支付的其他与投资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1246.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2173.35,0.0,2.02,2.02,32.83,0.5,0.0,0.0,0.0,0.0,0.0,0.0,222260.0,695735.0,965880.0,1069880.0,1447014.0,375320.0,745877.33,959512.33,1120652.33,484600.0,896722.66,1035440.11,1121534.72,201296.8,451249.6,715176.99,794946.99,103900.0,318650.0,543850.0,639771.83,418490.0,821030.0
投资活动现金流出小计,622.2,1057.27,7785.75,42364.79,4022.37,5101.59,6447.24,24938.53,5053.77,37071.39,37174.5,40874.38,10357.45,26397.05,26544.82,43182.32,83.94,15761.47,16151.44,25353.13,865.77,7421.1,8156.31,10581.94,3911.47,4606.89,5679.03,10993.6,575.89,2499.1,4173.85,4928.6,304.8,340.59,401.15,408195.84,4215.83,37422.98,59677.93,313023.7,717144.35,990375.34,1117693.21,1570516.83,424512.85,868707.85,1178786.11,1415660.98,512848.25,936425.93,1085501.41,1237203.16,330263.14,626683.65,1037887.6,1128132.25,154389.28,417150.67,669594.23,777140.9,421874.1,828666.29
