报表日期,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-06-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30
货币资金,189754.77,224857.92,158765.11,143128.85,144201.72,192902.93,157200.71,114736.3,195096.23,169541.41,181432.27,186057.82,195673.8,188568.22,158883.58,204691.04,210807.53,260861.26,253484.48,383679.56,446639.51,351210.38,349214.58,340822.85,432179.71
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.22,10.91,0.0,129011.94,118393.78,119253.01,126243.13,129808.01,48039.42,2202.25,128000.67,128000.71,129803.29,129003.66
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128022.09,172160.16,167774.07,151948.53,161703.0,189283.43,187704.02,170793.05,176365.96,184988.62,196079.88,167138.19
应收票据,610.28,4089.21,3324.9,97.19,122.97,87.28,5.0,97.17,130.62,217.0,317.37,1484.92,689.16,206.0,404.0,0.0,387.68,441.88,477.04,0.0,0.0,221.85,159.0,92.0,92.0
应收账款,58881.52,62936.13,64380.12,60744.83,83734.1,66005.16,128596.2,94427.08,136025.94,80117.89,107500.18,102301.48,118752.22,127816.09,171756.16,0.0,151560.85,161261.12,188806.39,187704.02,170793.05,176144.11,184829.62,195987.88,167046.19
应收款项融资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,742.27,728.96,700.79,400.87,325.82,668.48
预付款项,41424.61,7790.6,12425.09,7036.28,4764.53,6007.34,5122.97,5496.5,7043.85,9250.95,11464.65,16777.98,15259.95,7986.57,13046.89,10874.94,15546.74,7148.72,11009.47,9262.99,8191.1,5818.15,6118.3,7178.98,8942.56
其他应收款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10935.49,12970.99,14082.9,13777.44,9900.28,9905.81,12041.98,12192.64,10406.17,10881.72,14763.02,11563.67
应收利息,122.04,141.93,24.62,1.34,93.6,16.66,0.0,6.46,6.35,71.48,269.18,498.63,667.55,1078.98,1092.77,0.0,1529.15,32.62,115.31,237.76,333.59,0.0,0.0,0.0,0.0
应收股利,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,2000.0,333.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2800.0,0.0,0.0,0.0,3367.2,7.2
其他应收款,22639.0,32023.67,7636.17,16801.76,15693.29,7339.77,9788.43,11167.35,11245.38,7004.17,10416.47,11242.61,13025.55,9856.51,11878.22,14082.9,0.0,9867.66,0.0,9004.22,0.0,10406.17,0.0,11395.82,0.0
买入返售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
存货,122840.6,98283.8,139915.08,130876.85,121770.76,146417.98,139470.02,126212.54,153256.47,151255.06,151380.8,143073.23,204609.3,176444.55,181867.36,175394.36,221591.09,192154.48,209853.63,165857.68,243009.28,215744.83,223098.51,211776.18,272968.35
划分为持有待售的资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动资产,0.0,0.0,3400.0,0.0,0.0,12000.0,12000.0,12000.0,12000.0,12000.0,0.0,0.0,0.0,28000.0,28000.0,28000.0,28000.0,0.0,0.0,0.0,0.0,12560.91,12760.7,18394.63,14603.64
待摊费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待处理流动资产损益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他流动资产,12800.0,1020.0,12954.97,38307.72,18119.47,3167.2,12899.91,78628.43,61403.4,97462.98,65972.25,99305.84,87515.15,118432.95,486.81,8290.86,8495.73,7087.41,11386.03,7654.44,7431.78,7712.28,7684.4,10811.16,8079.42
流动资产合计,449072.83,431143.24,402826.07,396994.82,390500.45,433944.32,465083.23,444771.83,576541.57,526920.93,528753.15,560749.73,636203.59,658389.87,696427.75,727501.95,769420.07,765098.28,814730.85,814982.35,891188.57,908520.13,923148.4,929955.81,1045147.68
发放贷款及垫款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
可供出售金融资产,67938.34,64697.7,128276.63,157700.33,259233.0,294834.16,243563.23,238607.85,265076.54,293313.07,284551.63,246509.95,226282.91,211608.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
持有至到期投资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应收款,0.0,0.0,0.0,2857.44,2228.8,2314.52,2005.59,1970.17,1832.18,13458.16,11424.1,12413.31,10642.6,19480.19,31797.77,21645.67,30330.1,26774.22,23592.29,24205.73,23539.47,35095.77,31073.16,21018.54,21974.06
长期股权投资,70404.36,84058.42,60224.73,64667.04,64776.8,65073.99,65019.68,67609.95,67177.24,68519.27,68554.0,26027.76,28703.77,35658.57,34803.39,36315.43,36696.95,37413.06,33235.06,39687.85,42034.48,44965.39,45759.72,48302.1,49405.06
投资性房地产,4589.07,4370.62,4034.21,6199.83,6059.07,6114.95,6044.13,5969.82,5891.58,6867.17,5761.3,7205.81,7417.36,7068.85,6610.63,6902.97,6762.28,5391.91,5332.16,5260.06,5189.12,6864.88,6745.77,6665.67,8578.25
在建工程(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62214.93,61576.83,62727.52,63978.87,67146.0,68049.45,66844.76,62174.0,62668.66,62881.49,63898.43,64338.98
在建工程,7326.77,18866.99,15864.32,21464.03,18237.45,23259.08,28825.35,34665.21,40359.03,46020.37,51249.9,54467.24,59306.26,62214.93,61576.83,62727.52,63978.87,67146.0,0.0,66844.76,0.0,62668.66,0.0,63898.43,0.0
工程物资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
固定资产及清理(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129373.91,130346.09,128318.88,126862.8,128436.23,127122.74,127481.1,132304.5,132269.39,131012.99,129437.32,128420.98
固定资产净额,92038.07,166229.28,117506.28,127584.56,142714.56,140989.1,139101.94,136877.57,137508.84,135874.09,135253.12,132570.83,130483.11,129373.91,130346.09,128318.88,126862.8,128436.23,0.0,127481.1,0.0,132269.39,0.0,129437.32,0.0
固定资产清理,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
生产性生物资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公益性生物资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
油气资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
使用权资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34489.15,34438.6,34706.83,43796.41,44973.64,42366.33,40117.25
无形资产,21129.94,35698.25,25588.48,41162.36,41454.03,41129.35,40922.5,40641.59,40019.71,39703.82,39918.0,37776.56,37293.9,34075.42,33800.94,34157.07,33850.79,33474.13,33515.32,35900.74,35833.35,36701.17,36007.46,35401.46,34759.22
开发支出,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1094.47,847.12,3524.46,3709.71,4455.1,4683.3,3522.73,3769.92,4752.16,5446.67,2968.94,2879.88,1522.49,1935.51,2394.84,2610.52
商誉,50457.9,50650.84,50444.16,50444.16,50059.0,50059.0,50059.0,50059.0,50059.0,50059.0,50059.0,50059.0,50059.0,50059.0,50059.0,50059.0,50059.0,50059.0,50059.0,50059.0,50059.0,50059.0,50059.0,50057.16,50057.16
长期待摊费用,3519.85,3821.43,3289.69,2545.35,2333.01,2055.44,1751.9,1586.47,1340.59,1484.6,1516.69,1896.35,2083.97,1909.86,2041.24,2476.8,2331.62,2106.3,1952.01,2943.41,2791.17,2464.26,2000.72,1911.64,2021.22
递延所得税资产,671.05,720.62,840.48,1023.65,934.86,834.54,653.1,768.98,768.98,882.81,711.96,904.28,904.28,1025.71,945.16,924.33,924.33,1167.48,1167.48,1118.57,1118.57,1612.42,1606.53,1969.79,1969.79
其他非流动资产,10749.76,12679.29,28433.58,31956.98,27313.94,13720.45,13759.19,14038.85,14038.85,41319.89,41319.89,47072.87,42223.9,13350.37,7309.47,13902.74,13902.74,10981.34,10981.34,15019.58,15019.58,12182.19,12182.34,18423.13,16497.21
非流动资产合计,328825.12,441793.46,434502.58,507605.74,615344.54,640384.59,591705.61,592795.45,624072.52,698596.74,691166.7,620428.42,599110.78,570280.7,622830.96,575355.42,574149.75,563672.97,612748.98,597057.16,587502.95,623930.21,599454.23,621198.03,633929.29
资产总计,777897.95,872936.71,837328.65,904600.56,1005844.99,1074328.91,1056788.84,1037567.28,1200614.09,1225517.66,1219919.85,1181178.14,1235314.37,1228670.56,1319258.7,1302857.37,1343569.82,1328771.25,1427479.83,1412039.51,1478691.52,1532450.35,1522602.62,1551153.84,1679076.97
短期借款,11600.0,6800.0,6500.0,5000.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
交易性金融负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付票据及应付账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314429.14,352773.9,368882.31,403514.98,362051.39,393113.67,385327.89,448989.56,432983.62,452080.06,436669.5,515151.84
应付票据,10760.0,16529.0,18439.43,7642.0,1812.0,320.0,650.0,440.0,207.0,1258.48,325.52,4210.04,689.02,6085.59,969.88,0.0,0.0,2217.61,0.0,1282.36,6959.43,1405.47,4261.26,4401.14,7688.29
应付账款,146194.47,150327.93,193475.32,203324.09,210639.83,253785.95,257155.15,247722.94,293045.34,271500.34,281283.2,265929.14,339185.45,308343.55,351804.02,0.0,0.0,359833.78,0.0,384045.53,442030.14,431578.15,447818.8,432268.36,507463.55
