报表日期,2009-12-31,2010-12-31,2011-12-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30
销售商品、提供劳务收到的现金,41902.04,46258.43,112192.54,0.0,151860.95,29492.54,73997.37,0.0,203247.94,45078.77,107769.45,175704.01,260505.12,48269.66,109860.38,194250.62,299248.91,90725.33,227918.54,390665.61,561361.64,196700.22,425756.61,716835.16,1005131.79,238570.18,555415.86,926874.15,1344563.42,300559.66,709408.94,1167932.06,2044638.93,815850.39,2131497.67
收到的税费返还,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到的其他与经营活动有关的现金,4876.23,2079.6,2139.48,0.0,2940.36,260.3,1689.66,0.0,6252.64,1548.13,2730.34,4864.51,10534.31,3854.81,7017.46,11689.53,16947.1,2666.54,7157.28,13466.13,20547.62,25027.0,31752.17,47881.25,62313.97,15486.72,27925.18,41239.18,62891.04,26725.29,34007.37,54559.44,83671.44,78030.27,139874.02
经营活动现金流入小计,46778.27,48338.03,114332.02,0.0,154801.31,29752.84,75687.03,0.0,209500.57,46626.9,110499.79,180568.52,271039.43,52124.47,116877.84,205940.15,316196.01,93391.87,235075.83,404131.74,581909.27,221727.23,457508.78,764716.41,1067445.76,254056.9,583341.04,968113.33,1407454.46,327284.95,743416.31,1222491.5,2128310.37,893880.66,2271371.69
购买商品、接受劳务支付的现金,33930.6,34487.83,86470.3,0.0,101336.23,24996.41,79748.36,0.0,177099.18,39730.0,104851.53,152233.86,199648.23,30154.66,95750.85,132280.34,182298.65,56347.58,120923.53,218160.39,377347.18,152636.66,313075.7,510828.57,734350.36,219736.37,492420.18,722576.52,1020917.41,218938.7,413241.69,463009.24,723622.49,300236.4,817526.99
支付给职工以及为职工支付的现金,2472.28,3585.47,6458.44,0.0,9576.04,2923.96,6284.85,0.0,13873.93,4695.7,8988.36,12823.52,17423.04,4696.94,10061.25,16093.57,23378.76,9652.23,22225.32,36989.6,54860.36,23464.97,48416.71,79012.45,115133.58,41363.27,82924.58,125908.75,176950.4,59310.77,124120.98,200203.7,294201.45,112299.31,264926.27
支付的各项税费,16.32,31.3,28.98,0.0,47.79,19.42,70.81,0.0,195.94,145.0,201.63,275.34,468.98,97.84,474.15,620.23,801.69,206.98,427.43,579.91,853.93,534.54,838.91,1180.47,1775.38,578.54,1068.3,1435.71,2092.71,1027.23,1585.32,2425.76,3401.95,1299.04,2285.89
支付的其他与经营活动有关的现金,4186.64,1251.93,3564.88,0.0,3191.42,1191.84,1536.63,0.0,6245.37,1136.28,1783.85,2286.53,7960.72,4813.15,8134.68,13224.79,18176.51,14288.83,16573.51,21155.35,20600.81,10619.69,10757.21,23673.8,37472.84,13798.08,25133.82,46169.43,71728.01,61057.46,63359.38,84269.71,108194.95,41570.27,72571.47
经营活动现金流出小计,40605.83,39356.53,96522.59,0.0,114151.48,29131.63,87640.64,0.0,197414.42,45706.98,115825.37,167619.25,225500.97,39762.59,114420.92,162218.93,224655.61,80495.63,160149.79,276885.25,453662.28,187255.86,373088.52,614695.29,888732.16,275476.27,601546.89,896090.41,1271688.52,340334.15,602307.37,749908.41,1129420.83,455405.02,1157310.62
经营活动产生的现金流量净额,6172.45,8981.5,17809.43,19139.02,40649.83,621.21,-11953.61,-23445.89,12086.15,919.92,-5325.58,12949.27,45538.45,12361.88,2456.92,43721.22,91540.41,12896.24,74926.04,127246.49,128246.98,34471.37,84420.25,150021.13,178713.6,-21419.37,-18205.85,72022.92,135765.93,-13049.2,141108.95,472583.08,998889.54,438475.63,1114061.07
收回投资所收到的现金,0.1,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29800.0,71300.0,18000.0,21000.0,21000.0,31000.0,65000.0,115600.0,133600.0,138600.0,0.0,30000.0,81000.0,145000.0,38960.32,241219.28,435719.28,598500.0,95200.0,113000.0,155600.0,234000.0,203000.0,213500.0
取得投资收益所收到的现金,2.71,2.8,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.99,123.84,24.85,36.59,36.59,42.73,106.64,460.57,490.94,517.43,660.0,660.0,935.16,1452.51,175.12,2208.37,3950.02,5342.42,432.48,513.07,1229.26,2583.59,2812.65,3006.66
