报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31
销售商品、提供劳务收到的现金,434912.3,1024218.34,1689669.6,2484292.85,759649.35,1759387.4,2631549.29,3351356.5,637638.83,1398605.19,2259678.83,3061277.17,893497.65,1969363.94,3191294.82,4460344.61,1129959.79,2421911.73,3684752.5,4745182.05,897458.49,2045172.16,2848790.68,2007517.65,1129315.13,2186545.11,3285158.6,2273439.29,507492.09,1259859.83,1657013.23,2152319.36,464699.42,847210.25,1426224.35,1955664.14,468806.05,932148.07,1378288.57,2069042.21,639509.18,1442104.17,2214965.06,3238664.7,770218.13,1438557.27,2440150.45,3354810.64,668687.4,1354994.6,2175971.67,5470238.89,676005.66,1727192.91,2921176.37,4693171.84,1291210.59
收到的税费返还,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.63,0.0,0.0,444.35,6688.89,404.37,627.71,627.71,4922.79,557.49,573.23,691.77,4012.29,522.58,522.58,522.58,4409.3,454.61,808.97,894.72,3264.08,764.7,1127.38,2283.0,2283.0,0.0,1531.71,2830.32,2830.32,0.0,0.0,1294.86,64163.26,713.63
收到的其他与经营活动有关的现金,4333.68,8968.2,8558.54,1632.82,615.07,517.44,367.61,3307.25,1425.29,228.3,2230.65,1677.49,1896.14,2901.78,3019.77,9215.01,686.23,1923.11,1851.52,6221.74,795.85,2239.71,3032.22,7803.44,3633.16,1568.68,2500.14,5036.45,3726.97,1609.57,3551.78,24621.28,10344.4,32571.17,73272.14,83563.18,1663.94,4318.93,5019.94,10900.5,2529.07,13602.45,21460.74,52931.18,21241.96,25349.62,5236.05,10266.72,5181.96,10548.09,16501.76,23465.06,2867.95,4671.59,8899.69,60439.0,24088.55
经营活动现金流入小计,439245.98,1033186.55,1698228.14,2485925.67,760264.42,1759904.84,2631916.91,3354663.75,639064.13,1398833.49,2261909.48,3062954.66,895393.79,1972265.72,3194314.59,4469559.62,1130646.02,2423834.84,3686604.02,4751403.78,898254.33,2047411.87,2851822.89,2015594.71,1132948.29,2188113.79,3288103.09,2285164.63,511623.42,1262097.11,1661192.73,2181863.43,475601.31,880354.65,1500188.26,2043239.61,470992.56,936989.57,1383831.09,2084352.01,642492.86,1456515.59,2237320.52,3294859.96,792224.79,1465034.27,2447669.5,3367360.36,673869.36,1367074.41,2195303.75,5496534.26,678873.61,1731864.51,2931370.93,4817774.1,1316012.77
购买商品、接受劳务支付的现金,409610.25,944447.95,1483036.52,2254364.83,754712.16,1595349.93,2467247.83,3016996.72,602859.27,1290940.54,2055971.46,2777499.1,866659.92,1902186.32,3022837.95,4221241.01,1151253.96,2359955.99,3641699.7,4455649.47,1138763.14,2025619.92,2892571.38,2038994.02,863021.42,1903685.96,2894503.92,1887955.75,468731.27,935392.43,1084848.29,1610744.36,540517.14,855990.02,1301735.55,1788608.59,360595.14,693996.27,1035363.52,1672789.2,662534.6,1148379.11,1747886.85,2495614.1,523488.72,1236949.14,1665555.01,2339605.81,396449.35,852876.78,1422976.02,4610227.69,629662.92,1542603.39,2489989.64,4189535.79,1118442.03
支付给职工以及为职工支付的现金,11861.11,28045.26,57667.38,88363.41,19041.42,41882.11,65266.97,81324.32,21426.78,41450.12,63208.64,88048.3,30865.77,54224.93,76113.29,99613.04,31402.93,55703.11,82027.16,105374.33,30319.33,52078.21,72490.7,96049.29,31970.81,53654.37,76171.42,100015.72,31292.65,53937.5,84647.53,123094.13,43079.74,70266.8,98947.88,130371.57,36698.64,68199.21,96342.72,131644.23,42308.52,74994.22,109061.15,164627.08,55077.21,93233.03,141633.18,199879.21,57069.54,101353.5,153281.25,214000.78,48469.69,88640.34,140247.44,243029.7,96947.43
支付的各项税费,29256.71,52154.52,80780.44,116233.25,33984.34,71572.84,92709.34,130215.46,24657.52,39864.99,57757.16,96557.17,6457.23,25194.52,44462.89,81180.19,17489.0,44499.96,65015.58,96590.78,8221.55,36029.83,34846.07,53868.51,871.49,16185.48,16908.21,34774.98,899.18,18752.05,60392.4,62977.39,1493.04,26433.47,31233.76,47190.82,15652.26,43740.55,77202.16,101226.56,1249.48,9854.47,47192.53,124098.78,81653.89,107211.09,159532.93,238279.3,65161.85,75052.8,86134.09,139522.76,5575.52,18114.61,41565.74,73607.57,50942.74
支付的其他与经营活动有关的现金,26439.47,57172.86,86775.16,19248.83,2433.15,8850.0,12596.59,19298.32,2747.74,3141.47,8818.9,10472.72,2456.84,6733.55,10544.21,11505.51,4111.4,7985.8,11506.55,12500.39,3292.18,5385.5,8191.6,9877.24,9353.29,14442.59,20497.29,22353.7,8933.7,15606.85,25846.14,80311.46,18853.22,22257.05,25763.91,48656.64,8704.89,14020.87,17718.74,19899.94,2328.82,24932.43,37194.65,49260.73,2806.41,13032.56,12790.38,24436.86,15012.9,64374.31,99926.16,44244.32,33542.8,61427.59,89732.84,51043.35,48566.83
经营活动现金流出小计,477167.54,1081820.59,1708259.5,2478210.33,810171.07,1717654.88,2637820.73,3247834.81,651691.31,1375397.12,2185756.15,2972577.28,906439.76,1988339.31,3153958.34,4413539.75,1204257.29,2468144.87,3800248.99,4670114.97,1180596.2,2119113.47,3008099.75,2198789.05,905217.01,1987968.4,3008080.84,2045100.15,509856.8,1023688.83,1255734.35,1877127.34,603943.14,974947.33,1457681.1,2014827.62,421650.93,819956.9,1226627.15,1925559.93,708421.42,1258160.22,1941335.18,2833600.7,663026.23,1450425.81,1979511.49,2802201.16,533693.64,1093657.39,1762317.52,5007995.56,717250.93,1710785.93,2761535.66,4557216.41,1314899.03
经营活动产生的现金流量净额,-37921.56,-48634.04,-10031.36,7715.34,-49906.65,42249.96,-5903.82,106828.94,-12627.18,23436.37,76153.33,90377.38,-11045.96,-16073.59,40356.25,56019.86,-73611.26,-44310.03,-113644.97,81288.82,-282341.86,-71701.59,-156276.85,-183194.34,227731.28,200145.39,280022.25,240064.48,1766.63,238408.28,405458.37,304736.09,-128341.83,-94592.68,42507.15,28412.0,49341.64,117032.67,157203.94,158792.08,-65928.56,198355.37,295985.34,461259.26,129198.56,14608.46,468158.0,565159.19,140175.72,273417.02,432986.23,488538.71,-38377.32,21078.58,169835.27,260557.7,1113.74
