报表日期,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-06-30,2017-12-31,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
销售商品、提供劳务收到的现金,77923.8,101988.53,137361.06,169290.34,89329.47,234834.39,193337.34,81894.34,137126.21,219409.58,298075.64,75689.86,163570.4,248432.48,336767.37,77710.32,159748.77,258539.27,346925.15,89420.6,149757.77
收到的税费返还,0.0,0.0,0.0,98.3,89.83,89.83,0.0,16.96,567.5,619.14,57.2,15.69,45.98,58.88,269.96,97.33,299.75,499.1,893.59,52.38,5830.96
收到的其他与经营活动有关的现金,669.56,759.59,362.83,653.29,223.09,712.39,1385.95,12.61,195.07,1271.83,1520.89,799.98,897.82,5296.21,7652.07,2950.44,5997.61,6404.5,7077.96,3316.73,3949.98
经营活动现金流入小计,78593.36,102748.13,137723.89,170041.93,89642.39,235636.61,194723.29,81923.91,137888.77,221300.55,299653.73,76505.52,164514.2,253787.57,344689.4,80758.09,166046.12,265442.88,354896.7,92789.71,159538.72
购买商品、接受劳务支付的现金,6796.77,4517.43,11295.11,12590.26,13264.98,27898.67,29405.34,7289.04,16536.9,23728.5,32238.38,7032.72,16146.05,25493.64,36194.16,10008.79,24350.53,38398.8,47175.21,13343.28,26989.27
支付给职工以及为职工支付的现金,13855.92,16803.08,20876.19,23275.85,16005.68,29232.8,37810.78,10805.08,23444.17,33023.87,46021.57,12287.23,23499.83,35965.54,48278.38,14800.02,29939.67,45400.3,62127.35,16865.69,32994.77
支付的各项税费,16006.74,18841.95,16093.56,17559.2,11824.53,27517.33,22335.74,12635.81,20419.43,22107.69,26195.16,15680.71,23411.28,32006.46,44155.83,8771.91,19251.17,28237.14,33250.02,13493.24,18959.06
支付的其他与经营活动有关的现金,25224.38,32943.57,39211.67,48002.77,28674.28,56027.91,63367.69,22192.62,39814.66,60885.17,79437.98,17997.9,39444.96,62752.65,91926.77,26220.42,47905.18,75248.63,104526.49,25779.49,52470.81
经营活动现金流出小计,61883.81,73106.03,87476.54,101428.09,69769.47,140676.72,152919.54,52922.56,100215.16,139745.23,183893.09,52998.56,102502.12,156218.3,220555.14,59801.14,121446.55,187284.86,247079.06,69481.7,131413.92
经营活动产生的现金流量净额,16709.56,29642.1,50247.36,68613.85,19872.92,94959.89,41803.75,29001.35,37673.62,81555.32,115760.64,23506.96,62012.08,97569.27,124134.26,20956.95,44599.58,78158.02,107817.64,23308.01,28124.8
