报表日期,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
货币资金,30963.91,28399.41,26624.43,27772.05,27991.01,26580.84,26796.03,27209.86,19142.54,22368.62,15972.83,30850.89,14123.29,24104.94,20825.52,23035.24,29130.92,39857.72,109224.56,53938.63,26761.24,29682.54,21692.24,75538.06,25748.29,53469.12,35776.76,171327.99,152217.95,140914.41,82070.6,130716.91,121666.31,186451.57,177010.83,174303.2,160005.04,175720.07,215123.9
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29516.39,34716.39,34211.13,29324.37,28955.12,28271.01,26770.83,31026.39,27809.06,48292.95,40778.95
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122015.19,0.0,140651.73,0.0,168501.87,0.0,168743.79,195518.4,273825.16,286851.95,290980.42,323922.22,348614.87,361612.88,335964.38,350720.53,439351.64,470073.73,460253.59,528559.61,548241.96,620094.54
应收票据,50.0,54.0,110.0,138.0,107.0,93.0,91.14,199.34,288.46,133.76,352.42,280.56,418.05,149.19,364.28,592.05,1404.82,2132.66,950.88,1942.89,1072.13,1438.84,1449.01,1219.94,868.38,2434.08,2623.24,4240.89,3579.48,4697.0,5693.77,2956.27,3860.11,6905.06,6121.74,7263.71,9690.6,9035.82,11663.9
应收账款,12794.74,17744.81,18954.2,18222.91,20854.9,26966.95,27865.91,26455.3,27673.26,34745.95,36810.61,37499.93,38927.47,48462.13,61519.06,61896.42,91943.56,119882.53,136624.26,138708.84,150014.29,167063.03,183642.17,167523.85,194650.02,271391.08,284228.7,286739.52,320342.74,343917.87,355919.11,333008.12,346860.42,432446.58,463951.99,452989.88,518869.01,539206.14,608430.64
应收款项融资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2511.4,2626.12,1403.92,2797.5,1650.0,1650.0,1650.0,1650.0
预付款项,5803.21,5514.78,1712.12,1024.18,1219.02,1679.63,1834.69,1635.13,2547.03,2956.82,2538.87,1906.82,3011.53,3234.18,6295.98,6824.19,10472.33,8839.5,15594.79,11578.61,14864.18,14698.0,14518.21,15667.16,20322.88,25391.24,26896.02,25566.67,31748.76,33465.41,31301.28,24773.11,30694.84,37353.26,29532.09,29826.83,39575.05,32955.18,37703.79
其他应收款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2718.29,0.0,3559.55,0.0,4256.88,0.0,19767.35,19574.65,10196.68,11990.99,4923.34,5618.11,6148.11,6652.6,5671.33,6803.98,6304.13,7659.09,6846.28,14265.89,11207.66,11385.94
应收利息,377.82,506.54,82.06,163.41,56.45,103.38,65.74,0.0,24.1,20.31,14.73,0.0,1.52,7.19,7.15,0.0,15.13,2.52,2.94,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3572.0,0.0,0.0
其他应收款,904.53,487.85,554.65,402.35,780.17,586.58,628.49,518.01,901.47,742.74,816.12,619.6,927.8,1299.68,1668.82,1322.71,1763.13,2715.77,3354.84,3559.55,3296.43,4256.88,4664.71,19767.35,19574.65,10196.68,11990.99,4923.34,0.0,6148.11,0.0,5671.33,0.0,6304.13,0.0,6846.28,0.0,11207.66,0.0
买入返售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
存货,4386.0,8070.52,8722.87,9635.45,8105.16,9174.68,7818.01,7114.64,7163.32,7364.14,7605.61,8858.71,10691.32,11011.11,18629.63,20239.81,25212.64,32534.52,37117.46,46420.53,44811.69,58045.0,61721.17,67938.52,67459.4,102126.88,109597.35,119275.29,94896.92,114415.39,134724.77,134688.69,128315.6,133994.43,137277.13,112262.51,126747.56,118859.38,132369.56
