报表日期,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30
销售商品、提供劳务收到的现金,70706.16,127373.73,146252.33,26925.96,53751.65,77422.95,116181.98,27065.92,43473.08,77926.62,78004.19,15434.42,36513.71,59299.49,86707.11,19205.2,34713.82,72349.92,84228.36,25911.17,48107.64,77258.25,126354.62,32836.45,69341.61,114052.7,163763.42,34017.03,90957.92,134632.24,187803.33,42355.7,92657.03,174557.04,286436.23,41581.45,92571.26,156316.5,304915.45,48825.44,123516.4,185010.26,429159.89,74408.29,255178.63
收到的税费返还,413.1,315.06,873.25,0.0,290.87,290.87,425.89,276.15,440.96,440.96,440.96,19.36,97.46,241.08,268.87,38.44,147.04,256.43,396.83,168.02,435.9,708.76,827.0,589.79,968.87,2690.86,3431.14,842.32,2004.81,3264.48,4038.34,686.25,2075.31,4196.94,5473.24,1406.16,3904.43,6799.94,8374.23,1260.0,2741.74,3417.59,4225.45,1045.4,3278.04
收到的其他与经营活动有关的现金,238.76,6234.97,10810.04,215.59,218.69,719.17,722.4,1795.79,4167.46,5665.73,9919.11,4181.03,4760.24,8535.91,10422.14,2802.08,9826.76,10797.36,12155.97,4898.43,902.71,1412.72,1953.01,1197.9,881.61,1252.08,2517.41,787.74,1117.03,1247.71,2677.13,682.77,1194.03,1548.28,2223.8,724.19,1221.35,1823.71,3332.63,667.05,1711.17,2037.0,3682.08,766.3,1756.19
经营活动现金流入小计,71358.02,133923.75,157935.62,27141.55,54261.21,78432.99,117330.26,29137.86,48081.49,84033.3,88364.25,19634.82,41371.4,68076.48,97398.11,22045.73,44687.62,83403.71,96781.17,30977.63,49446.25,79379.73,129134.62,34624.14,71192.1,117995.64,169711.98,35647.09,94079.77,139144.44,194518.81,43724.72,95926.38,180302.26,294133.27,43711.8,97697.04,164940.15,316622.31,50752.49,127969.3,190464.85,437067.42,76219.99,260212.86
购买商品、接受劳务支付的现金,52497.53,104006.83,113604.37,19415.78,38735.59,55731.85,86018.81,29891.27,48640.19,80600.45,80057.03,12844.93,27822.48,44055.58,56776.73,28021.02,36784.26,63180.82,64560.14,25114.61,43967.6,74261.93,89643.55,30988.48,55378.52,87002.86,110263.66,18230.66,60402.95,87997.25,119334.97,28075.75,65275.14,130018.2,228193.94,25633.23,46827.83,94753.93,224565.01,32089.67,79535.42,120245.79,318675.92,53483.25,201507.74
支付给职工以及为职工支付的现金,2234.11,4623.83,4156.46,949.88,3038.52,4310.36,5791.81,1931.96,4227.42,6673.19,8577.37,3887.68,6739.31,10474.76,14239.93,3831.96,7460.47,12020.81,17278.98,3755.55,8707.81,15640.67,20808.07,4655.66,10139.75,17777.34,24409.46,5016.41,11854.98,19873.02,29057.94,4948.6,9840.42,23351.12,30228.91,9197.37,15524.03,25605.25,35975.72,7242.42,15970.1,25723.96,40479.99,9357.18,23205.81
支付的各项税费,4611.31,8955.39,11869.9,3054.63,8214.63,11989.18,14680.32,5140.84,9651.77,13945.77,15361.61,3098.98,6624.56,9099.78,10349.5,2062.0,5770.46,7262.94,10170.4,1516.44,3203.79,4853.25,6947.22,1806.08,3736.51,5826.06,7978.19,2577.45,5976.37,9534.19,12923.85,4570.1,9708.53,11609.24,14999.15,5467.34,10008.86,14828.01,18485.4,6111.32,12668.4,17791.6,21923.06,7631.86,13911.94
支付的其他与经营活动有关的现金,792.57,947.79,2199.74,588.33,1678.71,2504.41,3708.91,855.62,1665.24,3880.44,5713.28,1241.84,2287.15,4114.95,8515.38,1674.43,3597.31,10904.78,13607.33,4843.2,3231.61,5028.5,7093.59,2026.27,3843.14,4393.71,10329.81,1853.0,4779.57,4885.57,12587.72,1692.08,4899.26,6247.5,11977.66,1388.4,5033.17,7766.11,13741.92,1064.7,5134.55,8101.7,21537.63,1172.76,4806.17
经营活动现金流出小计,60135.53,118533.83,131830.47,24008.62,51667.45,74535.81,110199.84,37819.69,64184.63,105099.85,109709.29,21073.43,43473.49,67745.07,89881.54,35589.41,53612.49,93369.35,105616.86,35229.79,59110.81,99784.36,124492.43,39476.49,73097.93,114999.96,152981.12,27677.52,83013.87,122290.03,173904.48,39286.52,89723.35,171226.06,285399.66,41686.33,77393.89,142953.3,292768.05,46508.1,113308.47,171863.06,402616.6,71645.06,243431.66
经营活动产生的现金流量净额,11222.49,15389.92,26105.15,3132.92,2593.76,3897.18,7130.42,-8681.83,-16103.13,-21066.55,-21345.04,-1438.61,-2102.09,331.42,7516.57,-13543.68,-8924.87,-9965.64,-8835.69,-4252.16,-9664.56,-20404.63,4642.19,-4852.35,-1905.83,2995.68,16730.86,7969.56,11065.9,16854.41,20614.33,4438.2,6203.03,9076.2,8733.62,2025.47,20303.15,21986.84,23854.26,4244.38,14660.83,18601.79,34450.82,4574.93,16781.2
收回投资所收到的现金,250.0,377.3,0.0,0.0,0.0,0.0,0.0,150.0,150.0,150.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,57.35,46.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
取得投资收益所收到的现金,1.92,2.02,2.42,2.82,2.82,2.82,2.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,3.7,3.7,14.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,250.0,0.0,234.32,234.32,222.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
处置固定资产、无形资产和其他长期资产所收回的现金净额,12.34,114.9,0.0,0.0,0.0,27.0,22.32,0.0,20.6,37.0,38.69,6.0,27.6,28.89,9.61,0.6,0.6,89.75,89.75,0.0,17.97,27.97,59.42,0.0,0.0,44.19,0.0,0.0,0.0,0.0,57.8,8.4,0.0,0.0,5.53,0.0,0.0,28.29,1640.48,202.5,202.77,202.77,1551.85,1.7,1.7
处置子公司及其他营业单位收到的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2846.63,-2846.63,0.0,0.0,0.0,0.0,78.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到的其他与投资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,990.35,0.0,0.0,92650.0,120554.62,26814.61,41882.18,106147.38,132172.47,18449.62,25751.33,44336.48,45028.34,0.0,0.0,0.0,12351.65,1068.22,4024.89,6934.93,4024.89,17012.54,24245.11,102921.24,115389.49,21241.5,56314.42,84408.92,83408.92,683.0,0.0,0.0,14070.45,0.0,20390.97
投资活动现金流入小计,264.26,494.22,2.42,2.82,2.82,29.82,25.15,150.0,170.6,187.0,1179.04,6.0,27.6,92678.89,120564.24,26818.91,41886.48,106298.18,132323.26,18449.62,22922.67,41517.82,45087.75,0.0,0.0,44.19,12429.87,1068.22,4274.89,7184.93,4332.69,17020.94,32479.43,111155.56,115617.53,21241.5,56314.42,84437.21,85049.4,885.5,202.77,202.77,15622.29,1.7,20392.67
