报表日期,2017-12-31,2018-12-31,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31
一、营业总收入,22160.8,27197.02,23830.46,34189.97,9930.5,20120.11,32205.89,45552.64,10749.35
营业收入,22160.8,27197.02,23830.46,34189.97,9930.5,20120.11,32205.89,45552.64,10749.35
二、营业总成本,19372.83,23732.94,0.0,28004.97,0.0,16436.01,0.0,37285.86,0.0
营业成本,15254.22,17850.94,0.0,22560.88,0.0,14223.15,0.0,31882.05,0.0
营业税金及附加,174.9,270.69,0.0,274.46,0.0,178.64,0.0,417.6,0.0
销售费用,1819.27,2235.82,0.0,2636.57,0.0,623.73,0.0,1578.91,0.0
管理费用,968.02,1937.92,0.0,1204.81,0.0,656.98,0.0,1456.35,0.0
财务费用,169.62,308.19,0.0,0.58,0.0,-32.85,0.0,309.89,0.0
研发费用,986.8,1129.4,0.0,1327.67,0.0,786.36,0.0,1641.06,0.0
资产减值损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-204.65,0.0
公允价值变动收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
投资收益,0.0,98.1,0.0,40.18,0.0,0.0,0.0,0.0,0.0
其中:对联营企业和合营企业的投资收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
汇兑收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
三、营业利润,2965.07,2800.87,4445.5,6271.19,1655.67,3506.53,5626.58,7942.94,1159.72
加:营业外收入,1.96,2.7,0.0,2.0,0.0,0.3,0.0,1.49,0.0
减：营业外支出,15.94,29.61,0.0,0.23,0.0,0.21,0.0,0.8,0.0
其中：非流动资产处置损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
四、利润总额,2951.09,2773.96,4445.5,6272.96,1655.3,3506.61,5627.52,7943.63,1159.72
减：所得税费用,416.64,483.24,0.0,854.61,0.0,506.69,0.0,1106.54,0.0
五、净利润,2534.46,2290.72,3855.23,5418.35,1395.22,2999.92,4860.02,6837.09,1015.11
归属于母公司所有者的净利润,2534.46,2290.72,3855.23,5418.35,1395.23,2999.92,4860.02,6837.08,1015.1
少数股东损益,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.01,0.0
基本每股收益(元/股),0.0,0.0,0.0,1.1288,0.0,0.625,0.0,1.4244,0.0
稀释每股收益(元/股),0.0,0.0,0.0,1.1288,0.0,0.625,0.0,1.4244,0.0
七、其他综合收益,0.0,0.0,0.0,-16.74,0.0,-22.52,0.0,-116.47,0.0
八、综合收益总额,2534.46,2290.72,0.0,5401.61,0.0,2977.4,0.0,6720.62,0.0
归属于母公司所有者的综合收益总额,2534.46,2290.72,0.0,5401.61,0.0,2977.4,0.0,6720.61,0.0
归属于少数股东的综合收益总额,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.01,0.0
