报表日期,2011-12-31,2012-12-31,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30
销售商品、提供劳务收到的现金,88719.6,120481.23,150874.61,26642.24,61310.75,93349.96,148942.18,30501.8,51785.05,85860.97,129467.29,41929.06,63674.73,108220.27,215681.83,87640.45,141915.55,280560.08,316837.15,136725.64,228104.31,366519.14,439146.17,147251.96,246164.2
收到的税费返还,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474.01,197.14,497.95
收到的其他与经营活动有关的现金,4645.02,1597.05,1958.48,1643.37,1037.39,2967.21,1849.8,460.06,1671.33,2682.3,2028.01,930.53,1505.58,6133.08,3263.1,2972.83,3407.2,4052.46,14342.51,2762.18,8329.91,15813.84,19005.11,3648.01,15905.14
经营活动现金流入小计,93364.62,122078.28,152833.09,28285.62,62348.14,96317.17,150791.98,30961.86,53456.37,88543.27,131495.3,42859.59,65180.31,114353.35,218944.94,90613.28,145322.75,284612.55,331179.66,139487.82,236434.22,382332.98,458625.29,151097.11,262567.29
购买商品、接受劳务支付的现金,73897.48,104447.06,137494.29,34655.8,60400.9,91955.94,134007.6,38442.83,55759.86,80962.36,110787.58,47401.09,64383.81,115854.8,211772.38,88012.1,147269.18,232146.25,300622.94,145396.77,207535.27,309415.9,344132.32,162431.56,226774.65
支付给职工以及为职工支付的现金,6046.56,6076.99,6643.14,1931.57,4118.32,6514.2,8619.09,2177.36,4268.34,6637.66,8951.95,2927.17,6133.26,9687.47,13396.22,4198.01,8460.55,14003.09,19959.91,8125.17,16443.63,24470.75,32030.14,8593.7,16504.21
支付的各项税费,6835.75,6540.73,6208.3,2358.37,3782.69,5409.7,7302.48,2728.31,3869.05,5593.15,8029.48,2137.7,4745.05,8213.29,8797.32,3292.98,6497.56,9559.5,11333.03,8393.48,12976.74,17181.91,19793.56,8210.83,16160.33
支付的其他与经营活动有关的现金,3121.5,3376.99,4859.54,2296.83,5047.19,8450.21,6663.67,1648.09,3841.9,8163.76,4194.24,2942.92,4200.53,10553.74,14026.79,2912.92,5438.52,15917.32,27165.02,19601.92,30440.12,40186.03,43442.24,5330.19,15750.77
经营活动现金流出小计,89901.3,120441.78,155205.28,41242.57,73349.1,112330.05,156592.84,44996.59,67739.16,101356.92,131963.25,55408.89,79462.65,144309.3,247992.71,98416.01,167665.81,271626.17,359080.89,181517.34,267395.76,391254.59,439398.27,184566.27,275189.97
经营活动产生的现金流量净额,3463.32,1636.5,-2372.19,-12956.95,-11000.97,-16012.88,-5800.87,-14034.74,-14282.78,-12813.66,-467.95,-12549.3,-14282.34,-29955.94,-29047.78,-7802.74,-22343.06,12986.37,-27901.23,-42029.52,-30961.54,-8921.61,19227.02,-33469.16,-12622.68
收回投资所收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12000.0,26400.0,26400.0,0.0,0.0,0.0,8000.0,8395.0,51050.0,68883.65,80104.34,42655.0,62723.03,75858.19,93795.0,13440.12,31175.25
取得投资收益所收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.92,244.43,244.43,0.0,0.0,0.0,37.28,4.02,304.08,396.2,582.7,492.69,636.29,636.14,727.57,26.87,151.68
处置固定资产、无形资产和其他长期资产所收回的现金净额,1.55,3.5,7.35,0.01,0.6,0.68,223.09,0.07,0.33,0.98,19.7,1.0,1.64,1.64,4.89,2.0,2.08,2.13,2.04,0.13,0.13,0.37,0.5,0.0,14.52
处置子公司及其他营业单位收到的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到的其他与投资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1417.36,0.0,0.0,0.0,0.0,0.0,0.0
投资活动现金流入小计,1.55,3.5,7.35,0.01,0.6,0.68,223.09,0.07,12065.25,26645.4,26664.12,1.0,1.64,1.64,8042.17,8401.02,51356.16,69281.98,82106.45,43147.82,63359.45,76494.7,94523.07,13466.99,31341.46
购建固定资产、无形资产和其他长期资产所支付的现金,3960.5,369.91,596.83,1235.07,3431.1,4877.74,5961.16,1696.88,3300.42,27825.94,36840.74,1354.1,2423.03,4145.56,6299.54,512.09,1554.18,2158.63,4568.05,2035.39,2570.51,3220.85,6942.24,2393.88,5470.88
投资所支付的现金,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,26400.0,26400.0,26400.0,0.0,0.0,1713.6,19843.6,9479.0,55159.0,85099.0,114594.34,12588.0,33660.62,50363.13,61980.0,18705.2,32665.2
取得子公司及其他营业单位支付的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,598.98,0.0,0.0,0.0,0.0,0.0,-73.85,4830.0,5238.51,0.0,0.0,0.0,12375.19,0.0,0.0
支付的其他与投资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
投资活动现金流出小计,3960.5,369.91,796.83,1235.07,3431.1,4877.74,6161.16,1696.88,29700.42,54225.94,63839.72,1354.1,2423.03,5859.16,26143.14,11831.09,56639.33,92087.63,124400.9,14623.39,36231.13,53583.98,81297.43,21099.08,38136.09
投资活动产生的现金流量净额,-3958.95,-366.41,-789.47,-1235.06,-3430.5,-4877.06,-5938.07,-1696.81,-17635.17,-27580.53,-37175.6,-1353.1,-2421.39,-5857.52,-18100.97,-3430.07,-5283.17,-22805.65,-42294.45,28524.43,27128.32,22910.72,13225.64,-7632.09,-6794.63
吸收投资收到的现金,800.0,49.08,45.0,0.0,0.0,0.0,0.0,36024.25,36024.25,36864.25,40945.0,470.0,494.5,50494.5,50936.5,2000.0,3775.95,3887.47,4003.85,275.0,270.74,241.29,898.64,13.22,30034.39
其中：子公司吸收少数股东投资收到的现金,0.0,49.08,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1545.0,0.0,494.5,494.5,936.5,0.0,0.0,0.0,670.76,0.0,0.0,0.0,287.5,0.0,30081.36
取得借款收到的现金,10030.0,12150.0,24513.56,12150.0,20952.46,30987.39,39235.05,19777.15,24377.15,35810.91,48540.91,21796.62,26397.25,63853.71,85116.78,67500.0,71500.0,158100.0,189210.21,39700.0,82394.13,105802.88,148247.4,53370.0,93512.5
发行债券收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到其他与筹资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,775.75,775.75,775.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
筹资活动现金流入小计,10830.0,12199.08,24558.56,12150.0,20952.46,30987.39,39235.05,56577.15,61177.15,73450.91,89485.91,22266.62,26891.75,114348.21,136053.28,69500.0,75275.95,161987.47,193214.07,39975.0,82664.87,106044.16,149146.04,53383.22,123546.89
偿还债务支付的现金,3550.0,10430.0,25148.39,2465.17,6850.89,12680.32,17607.71,13914.49,27014.42,36173.79,42770.21,14137.57,18507.36,28815.21,54706.47,52250.0,59550.0,120465.06,126531.51,26262.49,73418.83,111353.96,156341.88,29826.2,78767.91
