报表日期,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31
销售商品、提供劳务收到的现金,3990.48,9590.79,16936.49,23637.92,2383.03,8197.22,13003.3,21830.71,2462.14,6281.25,10596.93,15467.18,1550.33,2479.04,4507.26,5992.0,1509.61,2168.96,2431.63,6783.88,771.59,2310.6,3084.2,4356.02,970.81,3898.67,6689.5,11006.0,1561.33,3414.04,5056.06,7433.66,1500.83,2406.1,5043.34,9263.9,4170.84,8746.35,13943.68,17159.25
收到的税费返还,18.17,0.0,0.0,18.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.31,13.31,0.0,0.0,30.42,34.08,35.37
收到的其他与经营活动有关的现金,1240.45,2889.88,2596.54,846.72,209.2,1566.27,3997.79,609.92,105.76,524.18,1263.38,320.83,83.63,186.76,652.3,3097.38,5565.53,6376.87,7768.06,7800.51,2506.18,5977.7,6325.72,5939.77,264.72,1482.26,2075.85,2610.28,326.43,8332.29,9186.76,1612.92,303.75,571.27,1186.17,983.93,708.16,662.49,934.97,1786.98
经营活动现金流入小计,5249.1,12480.68,19533.03,24502.82,2592.23,9763.49,17001.09,22440.63,2567.9,6805.43,11860.31,15788.01,1633.96,2665.81,5159.56,9089.38,7075.15,8545.83,10199.69,14584.38,3277.77,8288.3,9452.88,10295.79,1235.54,5380.94,8765.35,13616.28,1910.32,11845.56,14242.82,9046.58,1804.58,2990.67,6242.82,10247.83,4879.0,9439.26,14912.73,18981.6
购买商品、接受劳务支付的现金,3687.27,7204.67,9731.23,12236.11,2495.93,5709.66,9096.9,12847.82,2938.09,5824.77,9340.29,9745.51,1706.82,2917.49,3830.06,4104.57,1681.74,2779.65,3413.33,3407.73,625.51,1391.48,2292.4,3222.06,625.15,1759.58,4062.8,6429.55,742.51,2568.74,3879.14,5092.47,833.21,1973.25,3182.6,4495.5,2466.92,5899.34,9545.52,10319.83
支付给职工以及为职工支付的现金,709.29,1346.84,1933.12,2713.05,701.46,1272.07,1967.98,2886.84,603.95,1190.2,1802.16,2814.67,587.27,1098.08,1616.13,2735.99,711.24,1404.24,1815.8,2537.63,503.02,1017.2,1488.07,2130.59,543.72,1106.24,1675.93,2614.39,425.15,862.56,1295.34,2374.38,500.8,965.9,1583.11,2961.67,1405.53,2559.05,3567.81,5036.21
支付的各项税费,863.45,1335.04,1664.95,2119.2,377.07,770.99,1296.85,1790.58,296.83,417.47,713.89,1155.56,394.41,542.93,693.45,813.24,81.84,106.23,199.41,249.63,84.82,99.94,131.3,198.91,22.45,121.73,211.75,405.32,52.62,102.47,93.34,201.86,30.16,144.1,182.92,265.44,43.87,118.5,181.78,252.54
支付的其他与经营活动有关的现金,1992.58,2917.85,3763.67,4289.64,2210.27,4607.19,7506.01,2234.83,942.08,2270.23,3281.61,3895.98,1019.84,1274.44,2638.44,4424.73,1092.49,1483.62,1954.01,3793.21,2483.85,6296.05,9008.13,5203.78,758.34,2602.58,3908.33,3833.35,878.41,2140.94,2566.5,8993.28,1183.45,790.97,1299.43,1981.82,1466.66,1933.23,2655.03,3534.39
经营活动现金流出小计,7252.59,12804.41,17092.97,21358.0,5784.74,12359.91,19867.74,19760.07,4780.95,9702.68,15137.96,17611.73,3708.34,5832.94,8778.08,12078.53,3567.32,5773.74,7382.55,9988.2,3697.2,8804.67,12919.9,10755.34,1949.66,5590.13,9858.81,13282.6,2099.0,5675.29,7835.02,16661.99,2547.62,3874.21,6248.05,9704.43,5382.99,10510.11,15950.13,19142.96
经营活动产生的现金流量净额,-2003.48,-323.73,2440.06,3144.82,-3192.51,-2596.42,-2866.65,2680.56,-2213.06,-2897.25,-3277.65,-1823.72,-2074.38,-3167.13,-3618.52,-2989.15,3507.83,2772.09,2817.14,4596.18,-419.42,-516.37,-3467.02,-459.55,-714.12,-209.19,-1093.46,333.68,-188.69,6170.27,6407.8,-7615.41,-743.04,-883.54,-5.24,543.4,-503.98,-1070.86,-1037.41,-161.36
