报表日期,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30
客户存款和同业存放款项净增加额,63190100.0,68245300.0,74993500.0,55294500.0,61193700.0,0.0,82473900.0,117163300.0,0.0,0.0,0.0,54311500.0,0.0,0.0,0.0,49613200.0,0.0,47391000.0,0.0
向央行借款净增加额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
向其他金融机构拆入资金净增加额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收取利息、手续费及佣金的现金,8917600.0,14031100.0,17936000.0,19976300.0,23783800.0,23902300.0,9922700.0,19963700.0,0.0,0.0,0.0,22977500.0,0.0,0.0,0.0,27792100.0,0.0,14749100.0,0.0
收到其他与经营活动有关的现金,325300.0,383300.0,436300.0,272300.0,-603800.0,540300.0,65100.0,189400.0,0.0,0.0,0.0,485300.0,0.0,0.0,0.0,440500.0,0.0,386300.0,0.0
经营活动现金流入小计,72793400.0,82659700.0,93365800.0,75543100.0,130242000.0,180751400.0,105277000.0,140271600.0,0.0,0.0,0.0,84506200.0,0.0,0.0,0.0,118071100.0,0.0,77883500.0,0.0
客户贷款及垫款净增加额,32308300.0,20147000.0,17752200.0,26298300.0,39310700.0,60319100.0,29214600.0,54663600.0,0.0,0.0,0.0,62347200.0,0.0,0.0,0.0,63522600.0,0.0,42649600.0,0.0
存放中央银行和同业款项净增加额,38882100.0,26194500.0,19725100.0,28684900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26027700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
支付给职工以及为职工支付的现金,1113600.0,1562000.0,1891800.0,2380300.0,2802000.0,3127900.0,1615100.0,3680200.0,0.0,0.0,0.0,3976800.0,0.0,0.0,0.0,4330400.0,0.0,2138700.0,0.0
支付的各项税费,421300.0,977000.0,1203800.0,1140900.0,1644500.0,1804000.0,947400.0,1783100.0,0.0,0.0,0.0,1671100.0,0.0,0.0,0.0,2016700.0,0.0,2620600.0,0.0
支付其他与经营活动有关的现金,4339400.0,5262900.0,5597400.0,5779400.0,7262400.0,9657200.0,7570200.0,11023100.0,0.0,0.0,0.0,13753600.0,0.0,0.0,0.0,12897300.0,0.0,7816500.0,0.0
支付利息、手续费及佣金的现金,4384200.0,5587000.0,7590100.0,9364900.0,11127100.0,12377900.0,7431600.0,13083500.0,0.0,0.0,0.0,12689200.0,0.0,0.0,0.0,13046800.0,0.0,7927700.0,0.0
经营活动现金流出小计,81448900.0,72470900.0,74075400.0,73739400.0,62146700.0,87605100.0,63236600.0,118225900.0,0.0,0.0,0.0,124441000.0,0.0,0.0,0.0,99620600.0,0.0,66556400.0,0.0
经营活动产生的现金流量净额,-8655500.0,10188800.0,19290400.0,1803700.0,68095300.0,93146300.0,42040400.0,22045700.0,-13553900.0,-38030000.0,-44068800.0,-39934800.0,-23894100.0,7959000.0,7638800.0,18450500.0,34642100.0,11327100.0,8657000.0
收回投资收到的现金,21791200.0,16444700.0,7962700.0,31464200.0,26145000.0,58411200.0,103215700.0,194424400.0,0.0,0.0,0.0,114057300.0,0.0,0.0,0.0,75834400.0,0.0,25257400.0,0.0
取得投资收益收到的现金,3219800.0,3276100.0,3981200.0,4535700.0,5823700.0,8108900.0,5188900.0,11191200.0,0.0,0.0,0.0,11393800.0,0.0,0.0,0.0,12189100.0,0.0,6804300.0,0.0
处置固定资产、无形资产及其他资产而收到的现金,4300.0,9500.0,2500.0,5800.0,5000.0,51800.0,13400.0,15600.0,0.0,0.0,0.0,9700.0,0.0,0.0,0.0,64400.0,0.0,1400.0,0.0
取得子公司及其他营业单位所收到的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到其他与投资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
投资活动现金流入小计,25015300.0,19730300.0,11946400.0,36005700.0,31973700.0,66571900.0,108418000.0,205631200.0,0.0,0.0,0.0,125460800.0,0.0,0.0,0.0,88087900.0,0.0,32063100.0,0.0
投资支付的现金,19234700.0,26761000.0,27403800.0,44006700.0,55587700.0,197145200.0,121100200.0,238426300.0,0.0,0.0,0.0,76641100.0,0.0,0.0,0.0,96387600.0,0.0,60281100.0,0.0
购建固定资产、无形资产和其他长期资产支付的现金,443600.0,1094700.0,797000.0,806800.0,943000.0,571000.0,238100.0,740500.0,0.0,0.0,0.0,885400.0,0.0,0.0,0.0,632800.0,0.0,178700.0,0.0
支付的其他与投资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
投资活动现金流出小计,19678300.0,27855700.0,28200800.0,44813500.0,56530700.0,197716200.0,121338300.0,239166800.0,0.0,0.0,0.0,77526500.0,0.0,0.0,0.0,97020400.0,0.0,60459800.0,0.0
投资活动产生的现金流量净额,5337000.0,-8125400.0,-16254400.0,-8807800.0,-24557000.0,-131144300.0,-12920300.0,-33535600.0,22889200.0,35659000.0,41528800.0,47934300.0,15098900.0,-1312100.0,-5556600.0,-8932500.0,-21876400.0,-28396700.0,-20296300.0
吸收投资所收到的现金,1100000.0,0.0,0.0,200000.0,1000000.0,4552500.0,0.0,5010200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,0.0,0.0,0.0
发行证券化资产所吸收的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
发行债券收到的现金,0.0,0.0,0.0,0.0,0.0,2497200.0,0.0,2997000.0,0.0,0.0,0.0,2048900.0,0.0,0.0,0.0,775000.0,0.0,3193800.0,0.0
增加股本所收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到其他与筹资活动有关的现金,0.0,0.0,0.0,0.0,694800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
筹资活动现金流入小计,1100000.0,0.0,0.0,200000.0,1694800.0,7049700.0,0.0,8007200.0,0.0,0.0,0.0,6833500.0,0.0,0.0,0.0,825000.0,0.0,3193800.0,0.0
偿还债务所支付的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,0.0,0.0,0.0,775000.0,0.0,643600.0,0.0
分配股利、利润或偿付利息支付的现金,0.0,0.0,133200.0,200000.0,0.0,0.0,900000.0,1012700.0,0.0,0.0,0.0,810200.0,0.0,0.0,0.0,1736300.0,0.0,91700.0,0.0
