报表日期,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30
销售商品、提供劳务收到的现金,10793.58,18092.33,24005.75,31156.23,33136.28,17050.57,32710.86,5486.05,12883.32,21612.0
收到的税费返还,445.21,625.8,1480.79,967.46,1158.85,649.75,892.95,364.99,364.99,364.99
收到的其他与经营活动有关的现金,7331.46,5904.92,5646.42,2407.8,1459.64,1233.28,1305.62,289.43,512.21,1978.97
经营活动现金流入小计,18570.25,24623.06,31132.97,34531.49,35754.77,18933.6,34909.43,6140.47,13760.53,23955.97
购买商品、接受劳务支付的现金,2177.27,2977.94,5579.96,5915.77,8110.29,3170.32,5528.31,1520.95,2803.37,1982.52
支付给职工以及为职工支付的现金,7354.1,9083.74,10929.68,15007.29,15741.91,15797.75,19399.36,7470.78,13681.83,19554.6
支付的各项税费,988.29,1708.99,3538.3,2812.1,3249.98,2227.71,3089.99,1415.69,1741.3,2257.51
支付的其他与经营活动有关的现金,8871.73,7577.96,7603.28,5986.41,5602.73,5033.81,4898.67,1598.02,2875.42,6479.27
经营活动现金流出小计,19391.39,21348.63,27651.22,29721.57,32704.91,26229.59,32916.33,12005.44,21101.93,30273.89
经营活动产生的现金流量净额,-821.14,3274.42,3481.75,4809.92,3049.86,-7295.99,1993.11,-5864.97,-7341.4,-6317.92
收回投资所收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
取得投资收益所收到的现金,0.0,0.0,0.0,5.14,0.0,0.0,0.0,0.0,0.0,0.0
处置固定资产、无形资产和其他长期资产所收回的现金净额,11.97,2.06,1.83,8.21,0.31,9.41,9.41,0.58,0.58,0.83
处置子公司及其他营业单位收到的现金净额,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到的其他与投资活动有关的现金,0.0,0.0,0.0,2700.0,0.0,0.0,0.0,0.0,0.0,0.0
投资活动现金流入小计,161.97,2.06,1.83,2713.35,0.31,9.41,9.41,0.58,0.58,0.83
购建固定资产、无形资产和其他长期资产所支付的现金,1168.02,1560.99,298.14,189.87,155.08,207.22,313.01,51.38,115.39,140.5
投资所支付的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
取得子公司及其他营业单位支付的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
支付的其他与投资活动有关的现金,0.0,0.0,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
投资活动现金流出小计,1168.02,1560.99,2998.14,189.87,155.08,207.22,313.01,51.38,115.39,140.5
投资活动产生的现金流量净额,-1006.05,-1558.92,-2996.31,2523.48,-154.77,-197.81,-303.6,-50.8,-114.81,-139.67
吸收投资收到的现金,0.0,0.0,2034.0,0.0,0.0,0.0,0.0,5000.01,5000.01,5000.01
其中：子公司吸收少数股东投资收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
取得借款收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
发行债券收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到其他与筹资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
筹资活动现金流入小计,0.0,0.0,2034.0,0.0,0.0,0.0,0.0,5000.01,5000.01,5000.01
偿还债务支付的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
分配股利、利润或偿付利息所支付的现金,0.0,0.0,0.0,1.76,0.0,3339.0,3339.0,0.0,0.0,0.0
其中：子公司支付给少数股东的股利、利润,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
支付其他与筹资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
筹资活动现金流出小计,0.0,0.0,0.0,1.76,0.0,3339.0,3339.0,0.0,0.0,0.0
筹资活动产生的现金流量净额,0.0,0.0,2034.0,-1.76,0.0,-3339.0,-3339.0,5000.01,5000.01,5000.01
四、汇率变动对现金及现金等价物的影响,1.37,-9.95,-6.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
五、现金及现金等价物净增加额,-1825.82,1705.56,2512.96,7331.64,2895.08,-10832.79,-1649.49,-915.76,-2456.2,-1457.58
加:期初现金及现金等价物余额,7325.43,5499.62,7205.17,9718.14,17049.78,19944.86,19944.86,18295.37,18295.37,18295.37
六、期末现金及现金等价物余额,5499.62,7205.17,9718.14,17049.78,19944.86,9112.07,18295.37,17379.6,15839.16,16837.79
净利润,0.0,0.0,0.0,4493.73,4235.18,-1100.5,4803.14,-1702.65,-2218.01,-190.23
少数股东权益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
未确认的投资损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
资产减值准备,0.0,0.0,0.0,361.82,440.84,298.87,568.46,-122.17,-58.84,143.49
固定资产折旧、油气资产折耗、生产性物资折旧,0.0,0.0,0.0,382.37,226.2,114.33,157.92,45.02,89.56,135.42
无形资产摊销,0.0,0.0,0.0,210.04,211.76,160.18,211.14,37.24,47.94,54.75
