报表日期,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31
销售商品、提供劳务收到的现金,37504.53,38040.4,51433.5,63373.56,65038.73,88853.14,23631.02,51811.0,89594.95,108578.6,37755.68,57110.98,90011.48,114098.87,44956.54,86868.19,124054.2,181393.94,56049.99,103716.52,165906.19,237984.37,56491.55,109285.06,195719.68,279965.67,91434.06,198406.01,289847.04,389262.53,185511.36
收到的税费返还,888.46,1640.26,1030.64,1376.67,1247.38,2028.61,543.24,1775.61,1890.21,3459.72,1259.96,2381.56,3552.84,4186.87,1991.32,3669.41,4780.01,6508.92,2178.36,3540.13,7870.61,9791.02,2412.15,7067.38,12002.28,16668.3,6476.84,11474.55,17525.86,30380.74,6336.68
收到的其他与经营活动有关的现金,1078.13,1447.39,1379.34,1248.2,572.84,793.95,167.74,276.06,352.92,1416.47,286.35,3453.69,4307.2,5798.47,1272.86,3182.49,3630.05,7577.45,597.14,5033.61,4028.39,13531.72,136.26,4053.12,5076.72,12162.47,3358.14,10089.42,12343.03,16693.78,738.37
经营活动现金流入小计,39471.11,41128.05,53843.49,65998.44,66858.96,91675.71,24342.0,53862.67,91838.07,113454.79,39302.0,62946.23,97871.52,124084.21,48220.72,93720.09,132464.26,195480.32,58825.48,112290.26,177805.19,261307.11,59039.95,120405.56,212798.68,308796.44,101269.04,219969.97,319715.93,436337.05,192586.41
购买商品、接受劳务支付的现金,22247.86,20732.07,22828.57,28808.32,19871.54,30127.64,9551.78,25060.42,36567.35,40988.15,10535.89,22643.63,34807.22,51810.63,17432.38,33050.8,51675.76,78557.2,29542.57,54689.11,77785.45,110710.52,28039.02,55991.89,97713.04,138138.89,50645.35,90071.14,156863.21,250745.49,100367.7
支付给职工以及为职工支付的现金,9014.23,10943.68,11627.85,14976.94,13611.39,19149.6,6748.05,12395.5,18964.3,26079.1,9791.35,17026.62,25907.85,34464.43,10917.98,22411.99,34721.95,47867.46,16219.28,30919.53,46262.38,61941.56,19853.11,36668.76,56463.42,78166.43,29145.82,59204.82,90730.09,125886.72,49904.79
支付的各项税费,2025.8,2074.58,3911.9,3164.1,5777.13,7831.75,1424.5,2602.52,4947.21,8808.44,1999.96,4186.24,5897.58,8411.38,3302.32,5745.41,8768.06,11129.97,2445.32,4323.09,7788.34,9152.65,2590.91,6236.42,11209.3,13393.69,4620.3,9467.85,13823.41,14820.16,9575.05
支付的其他与经营活动有关的现金,3594.88,3939.22,4883.44,6344.51,5665.81,8867.3,550.38,4590.75,6623.38,9743.53,1546.52,3930.69,6639.58,9757.74,2641.39,6390.57,9990.44,16419.59,3056.58,6885.38,10867.36,19415.59,3636.18,7967.34,12798.59,22168.27,6791.66,13184.27,23755.33,33569.67,12278.16
经营活动现金流出小计,36882.76,37689.56,43251.75,53293.86,44925.86,65976.29,18274.71,44649.19,67102.23,85619.23,23873.71,47787.17,73252.22,104444.18,34294.08,67598.76,105156.21,153974.22,51263.75,96817.11,142703.53,201220.32,54119.23,106864.4,178184.36,251867.28,91203.13,171928.09,285172.04,425022.04,172125.7
经营活动产生的现金流量净额,2588.35,3438.49,10591.74,12704.58,21933.09,25699.41,6067.3,9213.48,24735.84,27835.56,15428.28,15159.06,24619.3,19640.03,13926.64,26121.33,27308.05,41506.09,7561.73,15473.15,35101.66,60086.78,4920.72,13541.16,34614.32,56929.16,10065.91,48041.88,34543.89,11315.01,20460.71
