报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,102961.63,155803.22,209787.1,260545.46,261382.93,311087.17,295965.33,293756.13,250119.32,246604.76,227200.42,307692.72,314595.39,497902.56,490573.5,597039.58,988860.31,1126573.31,1065688.62,1024699.27,689376.84,1066958.9,921381.38,963111.0,631756.2,726733.9,733982.7,638029.4,652132.9,615722.7,688417.6,604926.9,386207.3,245172.7,264033.3,684087.5,603656.8,531873.2,395550.0,744206.2,584653.4,374011.2,348501.2,410364.6,616395.2,1087119.1,1111132.1,1198503.9,1536269.0
交易性金融资产,19078.98,21717.43,53704.63,41920.35,42582.06,19223.33,791.45,1444.32,1444.39,1203.19,557.23,258.19,400.82,1957.9,4072.29,5313.54,4331.01,3022.78,2351.47,2072.72,8011.79,1667.49,4322.42,8088.9,7330.0,6947.4,9662.8,34412.0,17004.7,10874.0,11708.5,3578.0,4780.0,4630.0,3042.0,3116.0,2488.0,2352.0,2592.0,3075.8,3087.8,233982.5,241357.8,4006.9,56561.1,134181.0,71762.2,155671.9,146768.4
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1990.5,1415.0,7716.1,7699.3,33443.8,44440.3,56284.2,22961.4,5086.4,2395.7,19956.6,26298.2,101318.1,47127.8,14300.9,2256.0,55907.2,7367.8
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2242222.6,0.0,0.0,0.0,0.0,0.0,1923940.1,2092740.9,2044379.1,2071236.3,2080200.3,2612743.4
应收票据,18775.97,7778.15,25461.83,33187.68,27554.93,22435.5,17857.83,18956.48,13964.66,21721.36,26130.23,18386.96,42255.98,42846.51,23005.97,111317.18,77119.31,66413.67,123052.65,105091.56,37894.23,115453.85,57332.65,170677.6,64717.7,90648.9,44338.0,106586.0,94813.0,122701.1,77213.4,121497.9,14987.7,20538.0,74264.0,54732.1,58435.7,58379.6,56393.9,28300.6,87131.0,54126.8,47671.8,87376.7,87515.4,37255.0,36717.1,66864.3,74458.0
应收账款,165109.83,183152.14,214480.65,206650.37,266653.91,313720.97,347563.34,310186.09,347112.95,406507.13,478380.33,385152.01,745833.55,811826.16,792281.9,572791.17,1323958.22,1335510.95,1488771.5,1130487.41,2012284.7,2292375.22,2070061.91,1497444.6,2250394.3,2325942.2,2254989.2,1872766.4,2189962.3,2357871.9,2333384.5,1985130.7,2224120.1,2364951.5,2293139.4,2096138.9,2178143.3,2183843.0,2187510.6,1808478.7,1845497.8,1869376.0,1874282.9,1836563.4,2005225.5,2007124.1,2034519.2,2013336.0,2538285.4
预付款项,44014.5,53824.67,109067.2,49125.9,64152.82,66206.65,90257.8,66941.62,103984.09,49661.03,67047.64,51180.49,105492.33,118763.63,143927.93,133535.95,136964.64,203266.76,232879.31,197711.75,166691.38,184100.69,145409.17,99725.3,137428.3,88061.2,74811.6,56658.6,67716.2,57421.8,52834.7,28838.2,39949.4,35921.5,32106.4,25038.8,29162.5,35674.3,28375.5,33740.9,28840.3,49865.6,50710.9,69743.5,85875.0,91623.5,100470.1,98165.3,139231.4
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.1,199.1,4.5,11.1,27.9,4.0,5.6,9.0,99.2,12.2,13.0,2.3,343.9,344.2,358.2,508.8,468.2,2765.9,4235.4,9941.9,14259.4,23550.0
应收股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他应收款,18921.18,13427.37,15425.53,12450.57,21282.46,15294.22,18257.56,15042.86,18775.65,14765.01,17163.9,16628.66,30890.89,39176.3,35328.66,54951.37,70387.61,65555.12,58644.69,78386.05,138433.87,91391.77,100873.01,133974.1,178558.6,139218.9,171968.4,173391.8,211082.7,199015.5,195381.4,240529.4,263265.1,301560.4,296247.6,225971.0,250003.0,222233.2,233547.4,478152.7,481912.6,360633.5,389712.9,178415.5,181679.6,143199.9,157785.9,156101.8,0.0
买入返售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
存货,160069.27,172269.95,195569.34,234289.68,295100.45,343093.8,319380.05,301257.76,361742.49,364795.57,315517.5,293952.91,396628.44,492677.41,516962.9,568726.64,726652.96,780284.2,912027.86,813440.89,1029347.7,1022478.51,992703.6,1051135.6,1082235.1,1149000.0,989914.3,941683.7,948685.7,820692.5,732892.0,726915.4,750014.0,589154.2,592518.6,552085.2,586479.4,591377.6,579244.4,622029.9,681550.0,632944.1,653852.8,764188.9,854871.2,951127.2,1011756.4,1159462.7,1090722.0
划分为持有待售的资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7160.8,7157.4,6761.0,6130.5,8793.7,9967.0,13824.7,12521.6,18227.6,17877.2,19379.9,19474.8,15959.3,15885.8,15740.1,15428.0,20985.5,20790.1,18819.1,14479.8,23323.1,24573.3
待摊费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待处理流动资产损益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他流动资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26488.6,40783.7,51285.56,58660.59,64157.6,67771.9,50870.3,50161.4,56051.6,43879.5,63151.1,47207.0,89007.3,106336.9,54119.9,46363.2,39943.3,43081.8,48538.5,44578.2,59852.2,45930.7,48948.6,59286.9,147313.6,265365.8,119371.0,289287.6,247998.6,468074.8
流动资产合计,528931.36,607972.93,823496.28,838170.02,978709.56,1091061.64,1090073.36,1007585.26,1097143.55,1105258.06,1131997.25,1073251.93,1636097.41,2005150.47,2006153.15,2043675.43,3328274.05,3580626.79,3883416.09,3378378.25,4122824.23,4825711.99,4350744.74,3988314.7,4420192.1,4577422.8,4329828.4,3886981.4,4232633.5,4254216.1,4145180.7,3811235.9,3801046.5,3637594.6,3621944.4,3732883.4,3813780.2,3749948.5,3570230.5,3799226.6,3777229.3,3659943.2,3707612.2,3620744.9,4224172.6,4608356.2,4830166.4,5189594.2,6207653.5
发放贷款及垫款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
可供出售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30944.14,26721.96,23055.33,29444.2,27777.5,22499.8,22777.6,40133.2,35303.1,37449.8,74002.4,51974.9,52425.8,48175.1,43192.4,39604.7,51156.6,50040.6,62865.9,65250.6,52866.0,56371.4,56857.5,68124.0,70789.0,70283.0,120406.7,112051.0,0.0
持有至到期投资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应收款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1102.05,0.0,0.0,0.0,0.0,14531.9,16160.2,17537.5,17418.8,36416.2,26275.2,31636.4,30390.0,26216.9,24115.7,26505.1,26913.7,29759.4,28444.0,28839.6,27399.5,27323.8,24499.0,22315.9,25949.2,36579.3,43439.9
长期股权投资,4742.72,4808.91,4606.81,16940.96,16940.96,18351.61,18801.61,18620.56,19340.56,19371.89,19541.36,20666.92,21916.57,21441.99,22052.83,19794.31,18434.89,23248.29,24277.57,32889.95,29061.43,28408.24,31113.53,31041.3,35674.4,34975.9,35309.8,37549.6,37586.0,136677.2,109894.6,101723.5,102843.4,104634.8,106414.3,102553.1,103086.5,105274.1,106440.0,152793.9,154492.1,155786.6,133606.0,140426.8,141450.4,143850.2,152693.6,232835.2,234057.4
