报表日期,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31
销售商品、提供劳务收到的现金,20979.18,23945.36,28809.99,34139.58,24103.91,32108.26,10420.42,38466.35,85782.18,123894.55,41550.92,79777.82,114538.91,157759.42,36183.52,80198.72,119247.22,166281.36,57021.31,122214.25,178104.13,243038.08,69659.02,150931.6,216723.34,297764.52,91501.7
收到的税费返还,0.0,234.78,923.27,5.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到的其他与经营活动有关的现金,1930.64,3848.41,1179.51,1566.09,1348.95,2096.73,1343.28,552.93,1408.1,2491.19,679.48,2506.8,4384.03,7003.08,781.28,1715.09,4200.04,5859.98,1323.6,2845.63,3407.95,6748.05,2087.94,3676.87,4795.9,5590.66,2649.95
经营活动现金流入小计,22909.82,28028.55,30912.77,35711.04,25452.85,34204.99,11763.7,39019.28,87190.28,126385.73,42230.4,82284.61,118922.94,164762.51,36964.8,81913.81,123447.26,172141.34,58344.9,125059.88,181512.09,249786.14,71746.96,154608.46,221519.24,303355.18,94151.65
购买商品、接受劳务支付的现金,121.92,130.5,122.01,696.49,338.71,1222.25,106.75,1754.51,3295.38,2996.74,2374.91,5263.94,8235.66,11199.25,3433.91,5950.49,9275.69,13779.32,4738.19,9760.86,14075.94,21019.06,5423.48,11165.79,21645.08,32483.6,9045.19
支付给职工以及为职工支付的现金,5362.27,5395.67,5595.47,7795.49,7261.21,8263.25,3954.75,5812.95,10346.77,16436.44,15910.15,21356.35,27355.31,31975.55,13937.43,21903.66,28546.83,35429.76,18886.42,27384.73,38015.29,45930.5,20274.27,30425.37,42660.84,50699.66,28500.15
支付的各项税费,980.44,2608.25,3806.75,3630.69,2702.87,3539.54,1090.24,2904.69,6824.65,13678.84,7327.54,12274.51,15438.56,22824.07,3293.49,10797.22,15613.66,18997.81,7956.22,18370.93,22826.04,28124.78,4074.54,17280.35,22058.97,28498.33,7983.04
支付的其他与经营活动有关的现金,408.0,2990.43,2888.69,3209.8,1777.34,2516.19,1592.32,3126.63,6380.41,14036.95,5427.02,9715.95,14008.51,17868.89,2649.65,5943.88,8955.37,13473.85,4600.32,11395.13,18418.59,25006.5,5535.38,15945.44,29040.83,38372.11,15865.06
经营活动现金流出小计,6872.63,11124.85,12412.93,15332.48,12080.13,15541.24,6744.06,13598.77,26847.22,47148.97,31039.63,48610.75,65038.05,83867.76,23314.48,44595.25,62391.54,81680.73,36181.14,66911.64,93335.86,120080.84,35307.68,74816.96,115405.72,150053.71,61393.45
经营活动产生的现金流量净额,16037.19,16903.7,18499.84,20378.56,13372.73,18663.76,5019.64,25420.51,60343.05,79236.76,11190.77,33673.86,53884.89,80894.75,13650.32,37318.56,61055.72,90460.61,22163.76,58148.24,88176.23,129705.3,36439.29,79791.5,106113.52,153301.46,32758.2
收回投资所收到的现金,0.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.84,32184.84,99054.84,250352.0,136960.92,312525.2,494551.27,677888.2,164064.9,393774.9,527788.9,637960.9,144154.0,343572.54,436734.29,531454.36,102172.25
取得投资收益所收到的现金,0.0,0.47,0.0,0.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,381.88,1161.41,2643.39,1414.16,3736.4,5960.45,7562.02,1195.82,3567.53,5244.27,6244.64,926.32,2817.98,4253.95,8420.48,929.6
处置固定资产、无形资产和其他长期资产所收回的现金净额,2.45,637.52,127.7,118.11,0.22,1.03,1.85,8.89,46.16,28.39,1.32,7.96,7.96,9.79,0.0,0.66,0.67,3.3,0.0,0.0,0.0,3.46,4.13,4.39,6.68,10.15,4.22
处置子公司及其他营业单位收到的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.84,0.0,0.0,0.0,112.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到的其他与投资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4264.36,0.0,0.0,0.0,250.57,5728.89
投资活动现金流入小计,2.45,987.99,127.7,118.11,70.22,71.03,1.85,8.89,46.16,28.39,96.15,32574.68,100224.21,253100.01,138375.08,316262.26,500512.39,685566.51,165260.72,397342.42,533033.17,648473.36,145084.45,346394.9,440994.92,540135.56,108834.96
购建固定资产、无形资产和其他长期资产所支付的现金,1105.38,693.29,998.26,931.57,1805.61,2847.94,687.91,1140.62,6247.86,15557.4,4923.15,18113.48,29859.66,32032.34,3242.56,6663.62,26710.14,48560.14,1843.66,3750.22,5550.14,5852.76,2406.18,3385.44,5206.25,6945.21,627.61
投资所支付的现金,0.0,350.0,1000.0,1200.0,1336.0,2021.84,0.0,0.0,450.0,632.79,0.0,140388.2,238250.29,390917.38,175290.2,349162.14,539849.27,725128.23,169345.0,368273.87,517193.91,658617.28,146122.76,332594.18,429152.11,486416.51,164690.96
取得子公司及其他营业单位支付的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
支付的其他与投资活动有关的现金,0.0,5.35,0.0,108.02,0.0,544.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5861.5,0.0
投资活动现金流出小计,1105.38,1048.65,1998.26,2239.59,3141.61,5414.13,687.91,1140.62,6697.86,16190.19,4923.15,158501.68,268109.95,426669.72,178532.76,355825.76,566559.42,773688.36,171188.66,372024.1,522744.04,664470.04,148528.94,335979.63,434358.36,499223.22,165318.56
投资活动产生的现金流量净额,-1102.93,-60.66,-1870.57,-2121.48,-3071.39,-5343.11,-686.06,-1131.73,-6651.7,-16161.8,-4826.99,-125927.0,-167885.74,-173569.7,-40157.69,-39563.5,-66047.03,-88121.85,-5927.94,25318.32,10289.12,-15996.69,-3444.5,10415.28,6636.55,40912.34,-56483.6
吸收投资收到的现金,0.0,0.0,0.0,0.0,559.0,559.0,0.0,0.0,0.0,90877.58,0.0,8038.74,8038.74,8038.74,1424.44,1424.44,1424.44,1424.44,2000.0,2500.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0
其中：子公司吸收少数股东投资收到的现金,0.0,0.0,0.0,0.0,559.0,559.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,2500.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0
取得借款收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4617.0,13750.0,13750.0,13750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
发行债券收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
