报表日期,2014-12-31,2015-12-31,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30
销售商品、提供劳务收到的现金,390336.57,447582.44,647351.84,170353.0,360557.98,570863.61,795086.56,224508.34,429612.09,658702.36,926973.4,265580.55,564522.25,868284.52
收到的税费返还,5976.82,5912.82,5866.86,431.26,5518.17,1188.95,12053.09,8129.22,17335.17,18947.4,29722.82,8462.18,20475.36,26537.68
收到的其他与经营活动有关的现金,8034.18,9201.88,27012.95,3345.68,13887.1,22934.17,30760.88,5264.84,6490.93,9382.01,26125.06,5880.45,14015.26,43825.37
经营活动现金流入小计,404347.57,462697.14,680231.65,174129.94,379963.26,594986.73,837900.54,237902.41,453438.2,687031.77,982821.28,279923.18,599012.87,938647.57
购买商品、接受劳务支付的现金,149859.5,200023.26,251122.61,65270.46,128352.32,227876.54,331455.87,66038.63,166725.08,268756.67,385824.1,82012.39,247224.86,355905.66
支付给职工以及为职工支付的现金,124178.51,118298.32,168038.25,70784.3,129400.73,162655.51,208589.67,107241.18,147940.67,197429.93,277822.94,127903.46,191139.28,301092.86
支付的各项税费,16105.51,13995.81,25211.66,9558.31,25348.36,27820.89,32151.76,25879.91,49962.18,59405.18,48804.88,16672.01,26628.68,37162.91
支付的其他与经营活动有关的现金,42949.19,56520.18,60179.79,17703.54,39428.43,64425.44,86342.22,41911.88,38984.6,69710.08,106326.59,34327.66,36139.36,67167.64
经营活动现金流出小计,333092.71,388837.56,504552.31,163316.62,322529.84,482778.37,658539.51,241071.6,403612.52,595301.87,818778.5,260915.52,501132.18,761329.07
经营活动产生的现金流量净额,71254.86,73859.58,175679.34,10813.33,57433.42,112208.35,179361.03,-3169.19,49825.68,91729.9,164042.78,19007.66,97880.69,177318.5
收回投资所收到的现金,47654.61,108267.35,0.0,0.0,89491.67,88566.03,119718.44,12804.3,7984.58,7984.58,7994.94,1322.02,6134.31,8829.75
取得投资收益所收到的现金,9991.6,10693.85,3500.78,2048.52,3343.22,4907.41,5711.83,845.67,2558.75,7637.64,10485.53,3038.17,7437.49,12532.18
处置固定资产、无形资产和其他长期资产所收回的现金净额,251.72,9465.46,12406.29,151.62,222.13,870.85,566.54,174.7,318.86,356.21,946.88,332.25,277.31,851.65
处置子公司及其他营业单位收到的现金净额,0.0,2288.85,14462.02,0.0,0.0,0.0,0.0,0.0,0.0,2378.87,2378.87,0.0,0.0,0.0
