报表日期,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30
销售商品、提供劳务收到的现金,1036480.89,1119748.59,1247118.9,1226650.44,1217163.98,339642.88,620541.1,879324.55,1159497.4,339169.85,627363.82,900150.71,1193297.71,348951.93,648748.37,970468.96,1276507.64,406541.07,728571.66,1062411.75,1338853.57,270335.38,603138.97
收到的税费返还,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到的其他与经营活动有关的现金,33813.76,32333.17,30946.05,27360.81,24152.23,4503.18,12394.89,22214.13,25962.44,5243.7,10416.02,41416.39,32290.19,6282.28,14966.01,60210.33,51154.11,22409.05,29174.06,93382.08,127544.56,39722.49,52974.64
经营活动现金流入小计,1070294.65,1152081.76,1278064.96,1254011.25,1241316.21,344146.06,632936.0,901538.68,1185459.85,344413.54,637779.84,941567.09,1225587.9,355234.21,663714.37,1030679.28,1327661.75,428950.11,757745.72,1155793.83,1466398.13,310057.87,656113.62
购买商品、接受劳务支付的现金,887544.4,941195.61,1017594.03,1019286.53,1006079.34,264337.77,496630.66,707695.4,936385.03,278921.46,501215.53,725300.37,958804.42,286569.52,531386.7,789985.82,1076523.37,362776.84,626668.91,917965.91,1167824.04,203743.47,520687.2
支付给职工以及为职工支付的现金,43932.61,47831.05,53596.78,54583.53,55948.86,16250.6,29799.02,42298.89,56281.83,19201.9,34056.36,48300.48,64202.68,21278.51,37197.83,57302.39,87839.02,28747.08,50597.08,70324.13,92493.82,24353.04,41792.11
支付的各项税费,24459.39,52358.7,43232.97,47341.09,46017.62,17275.75,23688.89,34751.52,45648.28,16964.75,26130.5,37027.42,47932.88,13810.95,27374.98,38937.3,51857.21,16522.54,32292.32,49296.37,53512.62,9983.57,20696.45
支付的其他与经营活动有关的现金,131229.55,79545.82,61483.31,80134.28,59231.12,15784.64,29835.74,38282.83,54543.1,16263.61,30049.01,47239.57,60909.41,11978.63,34343.3,85025.75,109309.73,22849.79,49808.08,83950.74,120347.1,25225.42,62485.16
经营活动现金流出小计,1087165.96,1120931.19,1175907.09,1201345.43,1167276.94,313648.76,579954.31,823028.64,1092858.24,331351.72,591451.39,857867.84,1131849.4,333637.61,630302.81,971251.26,1325529.33,430896.25,759366.39,1121537.15,1434177.59,263305.5,645660.92
经营活动产生的现金流量净额,-16871.31,31150.57,102157.87,52665.82,74039.26,30497.3,52981.68,78510.05,92601.61,13061.83,46328.45,83699.26,93738.5,21596.61,33411.57,59428.02,2132.42,-1946.14,-1620.67,34256.68,32220.54,46752.36,10452.7
收回投资所收到的现金,38853.16,0.0,0.0,6644.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61502.42,0.0,56000.0,56000.0,56000.0,57436.6,0.0,0.0,0.0,0.0,0.0,150.0
取得投资收益所收到的现金,11864.07,210.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1351.02,875.47,1190.99,1321.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
处置固定资产、无形资产和其他长期资产所收回的现金净额,1863.8,4.72,2612.23,65.24,24.75,16.0,40.73,44.64,450.99,0.0,0.22,5.76,149.69,28.53,32.73,32.73,104.0,0.63,0.63,19.42,550.92,0.0,31.0
处置子公司及其他营业单位收到的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0
收到的其他与投资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,3000.0,3000.0,3000.0,0.0,0.0,0.0,65948.28,0.0,0.0,0.0,0.0,0.0,0.0
投资活动现金流入小计,52581.03,214.72,2852.23,6709.7,24.75,16.0,40.73,44.64,450.99,3000.0,3000.22,64508.18,4500.7,56904.0,57223.72,57354.39,123488.88,0.63,0.63,19.42,550.92,150.0,181.0
购建固定资产、无形资产和其他长期资产所支付的现金,30286.03,118653.76,77289.59,99016.9,17191.98,1681.6,7658.36,10980.02,20827.39,22091.02,28080.96,30189.84,76056.44,3951.51,12698.92,42689.0,60415.84,14743.8,28588.12,49673.47,78306.51,25631.42,51368.35
投资所支付的现金,37679.53,8304.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61000.0,146000.0,56000.0,39000.0,47000.0,90026.15,6436.35,123943.33,0.0,0.0,2000.0,0.0,80000.0
取得子公司及其他营业单位支付的现金净额,15868.63,958.0,14000.0,11400.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3140.0,3140.0,0.0,0.0,2577.59,2741.21,131110.65,0.0,0.0
支付的其他与投资活动有关的现金,1300.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,140863.89,141015.17,40060.64,0.0,9040.27
投资活动现金流出小计,85134.69,127916.51,91289.59,110416.9,17991.98,1681.6,7658.36,10980.02,28827.39,22091.02,89080.96,176189.84,132056.44,42951.51,62838.92,138855.15,66852.19,138687.13,172029.6,193429.86,251477.8,25631.42,140408.62
投资活动产生的现金流量净额,-32553.66,-127701.79,-88437.37,-103707.21,-17967.24,-1665.6,-7617.63,-10935.37,-28376.4,-19091.02,-86080.74,-111681.66,-127555.74,13952.49,-5615.2,-81500.76,56636.69,-138686.5,-172028.97,-193410.43,-250926.88,-25481.42,-140227.62
吸收投资收到的现金,84216.18,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150699.0,150699.0,150870.5,0.0,171.5,171.5,0.0,0.0,0.0,0.0,465.5,0.0,179258.0
其中：子公司吸收少数股东投资收到的现金,2857.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.5,0.0,0.0
取得借款收到的现金,98800.0,182300.0,181100.0,250169.36,217578.8,69000.0,125800.0,157215.74,194217.8,56000.0,56000.0,66000.0,81000.0,41000.0,61000.0,155000.0,185000.0,64000.0,136000.0,169000.0,226000.0,71000.0,132000.0
发行债券收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到其他与筹资活动有关的现金,535.0,6368.0,247.6,50.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
筹资活动现金流入小计,183551.18,188668.0,186347.6,250219.36,217858.8,69000.0,125800.0,157215.74,194217.8,56000.0,206699.0,216699.0,231916.5,41000.0,61171.5,155171.5,185000.0,64000.0,136000.0,169000.0,226465.5,71000.0,311258.0
偿还债务支付的现金,73100.0,101200.0,183900.0,182370.83,236783.76,78968.75,138776.9,197745.65,227714.4,70968.75,155311.27,181599.46,192863.29,43870.39,49740.78,78756.17,76481.56,43270.39,84140.78,106411.17,141777.12,65400.0,143400.0
分配股利、利润或偿付利息所支付的现金,18311.01,17046.22,19988.94,23232.01,24431.53,2682.69,13908.83,18208.98,20282.13,1985.8,12378.04,13448.23,14323.23,1016.57,2156.03,20945.28,23161.36,2484.75,5253.34,26009.61,26207.93,3140.64,5729.29
其中：子公司支付给少数股东的股利、利润,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
支付其他与筹资活动有关的现金,0.0,0.0,5500.0,0.0,52.1,0.0,0.0,0.0,71.4,0.0,984.0,984.0,984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3665.69,0.0,12103.49
筹资活动现金流出小计,91411.01,118246.22,209388.94,205602.84,261267.38,81651.44,152685.73,215954.63,248067.94,72954.55,168673.31,196031.69,208170.52,44886.96,51896.81,99701.45,99642.91,45755.14,89394.12,132420.78,171650.73,68540.64,161232.78
筹资活动产生的现金流量净额,92140.17,70421.78,-23041.34,44616.52,-43408.58,-12651.44,-26885.73,-58738.89,-53850.14,-16954.55,38025.69,20667.31,23745.98,-3886.96,9274.69,55470.05,85357.09,18244.86,46605.88,36579.22,54814.77,2459.36,150025.22
四、汇率变动对现金及现金等价物的影响,-19.22,-61.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.05,-42.63,12.17,68.06,52.65,45.16,18.45
五、现金及现金等价物净增加额,42695.98,-26190.83,-9320.84,-6424.87,12663.44,16180.26,18478.32,8835.78,10375.07,-22983.74,-1726.6,-7315.09,-10071.26,31662.14,37071.06,33397.31,144146.24,-122430.4,-127031.59,-122506.47,-163838.91,23775.46,20268.75
加:期初现金及现金等价物余额,23063.94,65759.92,39569.09,30248.25,23823.38,36486.82,36486.82,36486.82,36486.82,46861.88,46861.88,46861.88,46861.88,36790.63,36790.63,36790.63,36790.63,180936.87,180936.87,180936.87,181643.47,17804.56,17804.56
六、期末现金及现金等价物余额,65759.92,39569.09,30248.25,23823.38,36486.82,52667.08,54965.13,45322.6,46861.88,23878.14,45135.28,39546.79,36790.63,68452.77,73861.69,70187.94,180936.87,58506.46,53905.28,58430.39,17804.56,41580.02,38073.31
净利润,0.0,0.0,0.0,33397.01,33818.04,0.0,0.0,0.0,36190.33,0.0,20870.67,0.0,39449.32,0.0,28113.13,0.0,20205.83,0.0,17013.82,0.0,26720.59,0.0,-927.79
少数股东权益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
未确认的投资损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
资产减值准备,0.0,0.0,0.0,4278.41,4435.91,0.0,0.0,0.0,4433.68,0.0,4383.26,0.0,3490.76,0.0,3362.02,0.0,4816.19,0.0,1484.9,0.0,2629.8,0.0,2397.81
固定资产折旧、油气资产折耗、生产性物资折旧,0.0,0.0,0.0,13088.44,14362.28,0.0,0.0,0.0,14506.92,0.0,7165.38,0.0,15624.45,0.0,8150.86,0.0,21818.66,0.0,14006.35,0.0,29030.19,0.0,14570.64
无形资产摊销,0.0,0.0,0.0,1969.73,2035.29,0.0,0.0,0.0,2059.83,0.0,1534.73,0.0,2273.31,0.0,1068.76,0.0,3221.48,0.0,1892.86,0.0,2629.52,0.0,915.15
长期待摊费用摊销,0.0,0.0,0.0,4015.27,3844.59,0.0,0.0,0.0,3469.9,0.0,1841.64,0.0,3530.37,0.0,1794.35,0.0,6072.09,0.0,4262.7,0.0,8805.66,0.0,4448.95
待摊费用的减少,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预提费用的增加,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
处置固定资产、无形资产和其他长期资产的损失,0.0,0.0,0.0,-0.07,34.39,0.0,0.0,0.0,-253.03,0.0,36.41,0.0,24.34,0.0,-27.87,0.0,157.88,0.0,3.19,0.0,-23.29,0.0,-26.03
固定资产报废损失,0.0,0.0,0.0,12.21,53.04,0.0,0.0,0.0,1.25,0.0,0.0,0.0,41.5,0.0,0.0,0.0,169.56,0.0,0.0,0.0,1045.73,0.0,0.0
公允价值变动损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
递延收益增加（减：减少）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预计负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
财务费用,0.0,0.0,0.0,13251.71,13967.35,0.0,0.0,0.0,10035.35,0.0,3598.07,0.0,5556.23,0.0,2150.28,0.0,6113.7,0.0,5275.42,0.0,11887.43,0.0,7435.51
投资损失,0.0,0.0,0.0,36.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1351.02,0.0,-1190.99,0.0,-1436.6,0.0,-52.52,0.0,-35.82,0.0,-719.95
递延所得税资产减少,0.0,0.0,0.0,-33.68,-10.24,0.0,0.0,0.0,-199.37,0.0,741.65,0.0,243.85,0.0,251.15,0.0,-1077.1,0.0,1453.78,0.0,-222.73,0.0,353.25
递延所得税负债增加,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-442.59,0.0,282.66,0.0,-1085.72,0.0,-542.38
存货的减少,0.0,0.0,0.0,22852.62,-4237.75,0.0,0.0,0.0,9184.86,0.0,17414.15,0.0,5385.29,0.0,-4956.57,0.0,-79286.63,0.0,26297.59,0.0,-8793.51,0.0,36411.61
经营性应收项目的减少,0.0,0.0,0.0,11456.32,2430.92,0.0,0.0,0.0,-17048.77,0.0,8103.68,0.0,11799.68,0.0,-3215.78,0.0,-23081.07,0.0,-4898.54,0.0,-48060.82,0.0,-11704.02
经营性应付项目的增加,0.0,0.0,0.0,-51658.92,3305.44,0.0,0.0,0.0,30220.65,0.0,-19361.2,0.0,7670.42,0.0,-2087.76,0.0,45426.87,0.0,-68588.49,0.0,7759.01,0.0,-41588.92
已完工尚未结算款的减少(减:增加),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
已结算尚未完工款的增加(减:减少),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-545.87,0.0,-54.38,0.0,-65.51,0.0,0.0
经营活动产生现金流量净额,0.0,0.0,0.0,52665.82,74039.26,0.0,0.0,0.0,92601.61,0.0,46328.45,0.0,93738.5,0.0,33411.57,0.0,2132.42,0.0,-1620.67,0.0,32220.54,0.0,10452.7
债务转为资本,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的可转换公司债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
融资租入固定资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金的期末余额,0.0,0.0,0.0,23823.38,36486.82,0.0,0.0,0.0,46861.88,0.0,45135.28,0.0,36790.63,0.0,73861.69,0.0,180936.87,0.0,53905.28,0.0,17804.56,0.0,38073.31
现金的期初余额,0.0,0.0,0.0,30248.25,23823.38,0.0,0.0,0.0,36486.82,0.0,46861.88,0.0,46861.88,0.0,36790.63,0.0,36790.63,0.0,180936.87,0.0,181643.47,0.0,17804.56
现金等价物的期末余额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金等价物的期初余额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金及现金等价物的净增加额,0.0,0.0,0.0,-6424.87,12663.44,0.0,0.0,0.0,10375.07,0.0,-1726.6,0.0,-10071.26,0.0,37071.06,0.0,144146.24,0.0,-127031.59,0.0,-163838.91,0.0,20268.75
