报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31
销售商品、提供劳务收到的现金,4462.81,10406.01,18703.23,21465.86,9479.07,23953.04,35844.81,38158.64,7205.98,16591.97,27423.73,32842.86,8648.65,22018.48,32771.61,45278.52,12828.12,28038.86,42106.63,49781.39,6572.74,16525.67,24736.11,30005.32,6806.03,14771.7,21071.61,28974.87,5794.37,13895.96,21464.66,28455.19,7366.83,13851.84,20293.06,26445.64,5862.43,11887.29,18367.3,27160.11,4160.37,38512.64,56875.41,85874.34,16564.69,36298.9,63652.09,96052.59,15905.88,35115.65,56705.54,86791.49,17642.32
收到的税费返还,11.59,52.89,70.81,279.51,0.98,162.84,225.57,332.76,16.2,16.2,46.13,36.05,4.54,23.45,110.41,284.46,16.83,32.13,229.78,363.93,56.71,129.53,146.8,122.68,0.0,16.59,76.69,81.69,11.87,41.04,68.13,82.08,25.61,42.45,67.95,89.96,16.19,56.76,140.81,168.78,15.62,35.22,169.75,266.08,73.27,96.73,154.06,195.12,96.22,255.41,329.83,1196.82,30.54
收到的其他与经营活动有关的现金,328.34,542.41,645.98,2030.22,43.88,360.0,1086.1,152.31,2523.63,276.31,1953.58,1272.21,630.9,1081.34,2729.13,1599.76,81.38,635.77,871.93,9384.4,275.62,606.33,882.97,2094.59,99.66,843.17,960.13,2033.98,390.95,441.55,872.81,945.06,178.41,504.42,667.48,1830.31,95.88,1907.21,2231.14,3544.55,550.14,1976.71,2322.5,7098.65,671.47,1479.08,2573.74,5154.41,1544.33,2536.01,3936.4,6901.94,2037.46
经营活动现金流入小计,4802.73,11001.31,19420.03,23775.59,9523.94,24475.87,37156.49,38643.71,9745.81,16884.48,29423.44,34151.12,9284.08,23123.26,35611.15,47162.74,12926.32,28706.76,43208.34,59529.72,6905.07,17261.53,25765.88,32222.6,6905.69,15631.45,22108.44,31090.55,6197.19,14378.54,22405.6,29482.33,7570.85,14398.71,21028.49,28365.92,5974.5,13851.25,20739.25,30873.45,4726.13,40524.57,59367.66,93239.07,17309.43,37874.71,66379.89,101402.12,17546.43,37907.08,60971.77,94890.25,19710.32
购买商品、接受劳务支付的现金,5271.88,10099.92,18313.13,17545.77,10190.27,23621.38,34490.4,37820.0,9226.36,16742.48,27994.62,30680.71,9611.91,20617.8,29942.74,38873.29,14699.36,29373.88,39411.78,45431.23,6372.85,14917.84,22197.49,24000.34,6522.87,12632.87,17457.4,21704.56,5402.29,11197.58,17639.69,22166.98,4731.48,9357.14,13996.48,16883.8,3825.42,7859.37,12681.14,17512.87,3392.96,26803.14,39837.21,52175.28,14575.22,30955.94,48119.54,57311.03,13078.33,30648.91,43553.72,52344.23,17500.09
支付给职工以及为职工支付的现金,726.29,1166.38,1593.86,2092.14,706.05,1136.71,1596.04,2226.99,788.59,1199.85,1634.75,2187.83,997.39,1510.93,2127.7,2820.02,1143.54,1894.0,2537.53,3558.05,1112.35,1809.8,2690.27,3350.87,1064.12,1760.94,2669.17,3703.31,1375.77,2365.72,3442.97,4690.89,1736.92,2806.37,3866.71,4926.71,1834.18,3167.8,4378.63,5569.01,2157.21,8543.37,11760.39,17200.94,6399.69,10257.56,13846.18,20910.05,7201.69,11251.57,15335.66,22850.92,8263.14
支付的各项税费,188.89,532.15,691.4,1011.79,619.92,1001.24,1238.15,1473.32,113.21,471.04,679.12,893.99,408.64,818.08,1265.49,1850.49,492.45,828.9,1411.58,1604.95,337.11,766.45,1458.99,2110.08,461.36,1223.4,1603.62,1933.46,442.67,823.45,1287.62,1549.45,606.65,1062.24,1573.83,2275.84,795.23,1382.04,2089.8,2400.04,768.99,3967.03,5806.88,7258.58,2042.91,5879.57,7747.57,9008.23,2150.39,4217.38,5527.27,7031.84,1431.23
支付的其他与经营活动有关的现金,355.64,1024.28,1193.31,1482.95,1614.38,2658.13,3789.16,1889.32,1530.44,628.28,1834.86,2056.88,924.65,1765.23,4855.47,2453.57,248.83,2035.13,2226.67,6840.2,856.55,1199.15,1929.25,2358.47,577.54,1495.64,1988.87,2823.43,480.78,963.28,1545.44,2363.42,581.95,1064.58,1563.12,1935.03,485.22,1047.09,1464.25,1983.17,725.22,4155.76,6011.24,5085.09,1702.41,3431.2,4416.55,7463.69,2949.41,3336.54,4971.38,6092.6,2742.01
经营活动现金流出小计,6542.69,12822.72,21791.7,22132.66,13130.62,28417.46,41113.74,43409.63,11658.59,19041.65,32143.34,35819.4,11942.6,24712.03,38191.4,45997.37,16584.19,34131.91,45587.56,57434.43,8678.85,18693.24,28276.0,31819.77,8625.9,17112.86,23719.06,30164.76,7701.51,15350.03,23915.71,30770.74,7657.0,14290.33,21000.15,26021.38,6940.05,13456.3,20613.82,27465.09,7044.38,43469.3,63415.73,81719.89,24720.23,50524.27,74129.83,94692.99,25379.83,49454.4,69388.03,88319.59,29936.47
经营活动产生的现金流量净额,-1739.96,-1821.41,-2371.67,1642.93,-3606.69,-3941.59,-3957.25,-4765.93,-1912.78,-2157.17,-2719.9,-1668.29,-2658.51,-1588.76,-2580.25,1165.36,-3657.87,-5425.15,-2379.22,2095.29,-1773.78,-1431.71,-2510.12,402.83,-1720.21,-1481.41,-1610.63,925.79,-1504.32,-971.48,-1510.11,-1288.41,-86.15,108.38,28.34,2344.54,-965.55,394.95,125.43,3408.35,-2318.25,-2944.72,-4048.07,11519.18,-7410.8,-12649.56,-7749.94,6709.12,-7833.4,-11547.32,-8416.26,6570.66,-10226.16
收回投资所收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3192.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,4000.0,8000.0,8000.0,12000.0,15000.0,24000.0,42000.0,47000.0,3000.0,12000.0,12000.0,12000.0,0.0
取得投资收益所收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.58,65.35,140.21,140.21,218.99,152.4,332.71,712.91,770.41,254.6,377.49,377.49,377.49,126.0
