报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30
销售商品、提供劳务收到的现金,332499.66,1198667.45,1870640.07,2046926.9,607383.1,1621915.02,2273556.57,2938603.08,528161.1,1402959.55,2237663.33,2739411.85,669137.72,2164413.65,3265429.46,3565991.76,1325975.98,2501605.27,3641197.16,4708653.4,1101030.66,2059308.56,3609045.25,5310971.09,1507086.9,2936345.11
收到的税费返还,16737.0,32982.1,47497.69,68207.99,20496.23,43762.31,112317.42,146865.66,14791.9,24104.33,32786.2,44446.74,32943.28,71076.35,82844.14,150712.8,96954.91,165060.73,211537.69,274509.71,76447.18,152897.13,226033.1,261030.36,42830.78,105680.76
收到的其他与经营活动有关的现金,3399.59,5985.99,11835.64,18935.29,3063.05,9722.45,23547.2,50577.07,8648.5,18259.25,21967.97,56717.16,12643.45,90389.43,236466.26,306321.92,39239.06,56315.17,94309.02,133951.14,26332.82,57025.56,101365.64,250293.04,27651.21,72523.55
经营活动现金流入小计,352636.25,1237635.54,1929973.4,2134070.18,630942.38,1675399.78,2409421.19,3136045.81,551601.5,1445323.13,2292417.5,2840575.74,714724.45,2325879.43,3584739.86,4023026.49,1462169.94,2722981.17,3947043.87,5117114.25,1203810.65,2269231.25,3936443.99,5822294.49,1577568.89,3114549.41
购买商品、接受劳务支付的现金,255278.59,869780.03,1399920.26,1400310.54,483406.18,1138301.13,1524980.13,1965704.14,333637.1,818951.35,1335423.74,1702290.55,429533.18,1240363.16,1723939.27,2077884.26,1081864.02,1528186.36,2287419.79,3091588.75,1103472.45,1425607.89,2675874.99,3830783.19,1002665.94,1572043.0
支付给职工以及为职工支付的现金,26248.51,52608.52,79370.29,123190.0,37551.66,80558.73,132824.05,182686.04,46234.1,97711.42,140542.98,192629.18,86118.16,118838.83,203587.47,340459.77,118593.5,200571.47,289584.08,424529.91,109466.86,190810.13,297950.02,394070.31,149146.43,266909.78
支付的各项税费,7850.76,28209.57,54074.03,63170.76,13373.94,58443.22,90405.1,132148.12,23430.6,71679.85,145375.23,179410.17,37783.67,99229.81,190679.37,227678.61,65760.9,156619.64,256252.49,310885.17,54869.17,146954.64,269698.45,291252.2,47457.86,265544.04
支付的其他与经营活动有关的现金,65579.09,150297.78,268918.26,384045.64,71906.94,223784.03,354012.22,480222.74,70060.8,211850.18,353117.09,560599.15,148852.48,347182.58,597424.32,832431.75,183270.59,660499.13,911000.09,994218.78,168159.56,451946.51,611516.69,875534.27,215111.9,543709.15
经营活动现金流出小计,354956.95,1100895.9,1802282.85,1970716.94,606238.72,1501087.12,2102221.51,2760761.04,473362.6,1200192.8,1974459.04,2634929.04,702287.48,1805614.39,2715630.43,3478454.39,1449489.02,2545876.59,3744256.45,4821222.61,1435968.05,2215319.17,3855040.14,5391639.97,1414382.13,2648205.97
经营活动产生的现金流量净额,-2320.7,136739.64,127690.55,163353.24,24703.67,174312.66,307199.69,375284.77,78238.9,245130.34,317958.46,205646.7,12436.97,520265.04,869109.43,544572.1,12680.93,177104.58,202787.41,295891.64,-232157.4,53912.08,81403.84,430654.53,163186.76,466343.44
