报表日期,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30
销售商品、提供劳务收到的现金,2508.05,5615.75,7747.49,2443.85,4659.32,6797.77,9517.25,2708.44,6707.63,10057.53,16427.15,4622.74,10112.49,16905.31,26701.0,6636.65,17064.84,24608.15,37219.28,12706.16,24144.62,34515.37,55081.12,13760.09,27815.13,45996.05,79838.35,21036.14,53553.84,78398.13,111125.13,16566.55,40893.59,71534.15,132304.9,18361.39,46419.28,88901.45,165425.5,32459.99,69238.0,112881.68
收到的税费返还,309.04,458.58,706.41,77.81,402.63,577.29,758.32,0.0,223.73,223.73,789.74,0.0,0.0,32.51,87.84,12.71,193.19,251.72,107.21,83.46,269.78,337.73,391.96,469.46,1071.18,1423.57,2278.13,297.11,729.55,1261.96,2111.5,151.37,525.43,1223.58,1870.26,120.59,373.17,715.82,1017.1,103.44,376.69,1314.34
收到的其他与经营活动有关的现金,892.52,908.34,1406.65,83.16,331.3,362.04,645.34,143.83,407.79,1122.1,1663.74,1342.21,1432.69,2229.7,2209.61,441.14,3156.48,1028.8,1522.22,505.35,2581.42,4476.12,3312.6,238.19,2562.23,1040.49,6732.08,2980.57,2931.74,3673.21,8293.38,1008.27,2251.24,4163.96,8465.03,1375.79,4206.57,4278.61,13968.84,2285.25,5245.46,7733.55
经营活动现金流入小计,3709.62,6982.68,9860.56,2604.83,5393.25,7737.1,10920.91,2852.27,7339.15,11403.35,18880.63,5964.96,11545.17,19167.52,28998.45,7090.5,20414.51,25888.67,38848.72,13294.97,26995.81,39329.22,58785.69,14467.75,31448.54,48460.11,88848.55,24313.82,57215.13,83333.3,121530.01,17726.19,43670.26,76921.69,142640.2,19857.77,50999.02,93895.89,180411.43,34848.67,74860.15,121929.57
购买商品、接受劳务支付的现金,272.88,518.57,796.41,769.56,1217.35,1400.2,1508.05,771.14,1304.3,2168.42,4562.97,1202.16,3659.15,7089.89,11803.56,4480.5,9582.27,13683.71,17257.25,3710.91,9345.98,14675.43,20391.58,5991.92,11752.53,20257.89,29576.95,11921.03,21602.88,28668.66,35351.77,9553.84,21363.9,30056.73,39110.7,16662.97,30490.06,42208.16,52316.65,18910.16,29690.41,42832.06
支付给职工以及为职工支付的现金,1248.51,1839.23,2917.77,977.18,1970.82,3030.49,4113.87,1144.94,3031.73,4650.63,7835.49,2735.12,6895.09,10263.39,10445.63,4082.25,10008.77,12117.66,16148.07,5095.64,10567.53,14943.22,19122.67,7162.79,14652.77,21623.43,30234.02,11145.92,22949.45,35136.89,52304.62,13686.45,28830.33,42679.16,57250.28,16698.7,33858.85,50613.18,67986.01,18682.36,41134.95,58715.19
支付的各项税费,604.35,758.79,1537.37,851.77,1502.54,1740.65,2101.04,948.53,1484.09,2130.58,2741.75,1162.37,1982.93,2145.8,3146.37,974.76,2066.47,2599.03,3446.28,2008.45,3528.5,4302.36,5854.85,3579.6,5792.37,7775.13,10798.12,4766.91,7453.72,9339.27,8300.85,5123.2,7601.98,10842.48,12554.15,7882.61,10487.26,14607.84,14839.52,9397.52,13540.75,15144.24
支付的其他与经营活动有关的现金,1635.0,2460.74,2605.07,480.6,815.56,1218.86,1966.39,625.65,1409.62,2483.21,2141.58,1947.71,2192.62,5099.49,4681.03,1902.63,6164.12,5786.54,6204.53,1722.57,3872.3,5585.39,4837.93,2899.39,4808.69,7328.84,9400.6,7919.75,8635.72,12497.92,16550.17,3489.52,8308.41,10225.96,11820.18,5104.69,12448.0,15731.13,21344.31,7949.31,13199.13,20024.65
经营活动现金流出小计,3760.74,5577.33,7856.61,3079.11,5506.27,7390.19,9689.36,3490.26,7229.74,11432.84,17281.8,7047.36,14729.79,24598.57,30076.59,11440.14,27821.63,34186.94,43056.13,12537.57,27314.31,39506.4,50207.02,19633.69,37006.36,56985.28,80009.68,35753.61,60641.77,85642.73,112507.4,31853.01,66104.62,93804.34,120735.32,46348.98,87284.17,123160.32,156486.5,54939.34,97565.24,136716.15
经营活动产生的现金流量净额,-51.13,1405.35,2003.94,-474.29,-113.02,346.9,1231.55,-637.99,109.41,-29.49,1598.83,-1082.41,-3184.62,-5431.05,-1078.14,-4349.64,-7407.12,-8298.28,-4207.41,757.4,-318.49,-177.18,8578.67,-5165.94,-5557.82,-8525.18,8838.87,-11439.79,-3426.64,-2309.43,9022.61,-14126.82,-22434.36,-16882.65,21904.88,-26491.21,-36285.15,-29264.43,23924.93,-20090.66,-22705.09,-14786.58
