报表日期,2008-12-31,2009-12-31,2010-12-31,2011-06-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
货币资金,0.0,0.0,0.0,0.0,0.0,87547.53,92349.54,103012.15,104632.7,105278.32,91708.43,90880.19,78038.05,101541.1,80014.51,76379.23,72837.59,87507.26,56036.2,64807.47,48421.55,61620.25,36635.91,37208.57,44083.01,46441.14,50588.36,51833.33,1001269.5,1065484.4,1321262.6,1383242.4,1497698.8,1519811.9,1676514.5,1677060.8,1946273.9,1921589.2,2068663.0,2095614.4,2655588.1,2626423.6,2372713.9,2097902.1,1924565.6,2210090.2,2169697.0,2187905.2
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23097.5,2565.0,13285.0,13045.0,12840.0,2389.0,1888.0,2259.0,1977.0,1597.0,172827.0,263608.9,60288.9,37247.9,7247.9
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243759.5,201758.9,191851.6,244374.4,234550.6,216201.8,228203.2,227333.8,224017.4,159398.0,161397.8,151672.4,195264.9,163466.4,199974.9,215560.1,227687.1,180726.9,191778.9,171427.9
应收票据,0.0,0.0,0.0,0.0,0.0,867.97,797.26,1095.41,243.05,1183.7,430.0,395.74,564.91,1586.54,2539.58,497.01,87.1,444.0,610.5,288.33,312.74,654.0,196.52,892.9,477.2,69.01,244.15,173.3,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,34.6,1154.2,1133.8,1133.8,196.5,2160.0,160.0,160.0,5616.0,3268.0,5294.8,5249.6
应收账款,0.0,0.0,0.0,0.0,0.0,35801.02,38899.86,45074.32,44956.27,45777.92,49695.9,56736.02,56734.88,49502.8,54629.38,63348.79,71817.22,69849.48,78995.41,80196.66,79467.48,73892.0,79829.39,82528.47,83407.62,78600.0,82156.53,86399.73,243759.5,201758.9,191846.6,244374.4,234550.6,216201.8,228203.2,227333.8,223982.8,158243.8,160264.0,150538.6,195068.4,161306.4,199814.9,215400.1,222071.1,177458.9,186484.1,166178.3
预付款项,0.0,0.0,0.0,0.0,0.0,5860.41,4292.7,4098.76,3887.52,6146.28,6187.6,7178.02,9894.99,7019.38,9084.05,9319.02,8174.93,7962.81,8560.82,8768.0,8766.8,8178.32,4565.42,4777.73,8546.62,7533.73,7113.48,6402.27,9565.1,8175.5,14291.0,14211.6,9188.2,10141.0,10617.5,16738.6,16849.3,24957.9,25334.4,24037.9,33210.8,36660.0,43933.8,43137.0,20307.8,27645.5,24258.3,24208.1
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5206.4,10733.2,15404.4,21672.8,26789.1,39605.1,45267.1,58850.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2173.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他应收款,0.0,0.0,0.0,0.0,0.0,1865.38,2562.38,3188.08,4326.52,3240.26,4413.3,4497.57,3776.18,3497.99,4102.14,3812.99,3510.87,3779.93,4456.28,5168.66,3888.84,4593.29,5567.18,4106.49,4001.6,4534.38,4394.91,5726.88,7628.0,175143.4,9811.2,0.0,24945.2,0.0,278537.9,0.0,38402.9,0.0,21399.5,0.0,21754.4,0.0,31395.3,0.0,21833.6,0.0,24369.2,0.0
买入返售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
