报表日期,2007-12-31,2008-12-31,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30
销售商品、提供劳务收到的现金,51615.24,47416.99,37581.45,55338.04,11908.5,30463.1,46058.41,65244.65,14845.7,31312.65,54533.35,76760.81,13322.06,35858.53,60673.47,78268.57,18766.91,45223.86,77282.12,99597.16,22676.75,53683.68,85258.73,102591.92,24118.36,52534.3,83822.86,109213.06,29634.02,67074.27,104788.21,140551.24,41201.69,88047.09,139028.82,188824.28,48307.15,107095.84,169307.43,214220.73,49470.55,109269.36
收到的税费返还,50.35,7.34,0.0,0.0,0.0,0.0,0.0,0.0,8.35,8.35,8.35,8.35,10.86,21.55,21.55,10.86,0.0,4.43,4.43,0.0,0.0,0.0,0.0,2.88,0.0,0.0,0.0,2.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.7,80.7,80.7,80.7,0.0,0.0
收到的其他与经营活动有关的现金,1000.15,703.99,1812.92,2020.82,254.31,506.11,639.17,1908.87,647.78,939.98,1154.6,2075.28,215.09,1220.22,1453.09,1932.72,882.95,2116.98,2293.68,3752.4,490.97,1115.47,2336.05,3060.33,506.72,2540.39,3096.04,4342.53,241.14,623.49,1773.35,3803.44,534.45,3367.58,4157.06,4168.33,140.12,3288.99,7260.26,8035.39,218.2,789.89
经营活动现金流入小计,52665.75,48128.32,39394.37,57358.86,12162.8,30969.21,46697.59,67153.52,15501.83,32260.98,55696.3,78844.44,13548.0,37100.3,62148.11,80212.14,19649.86,47345.27,79580.23,103349.56,23167.72,54799.15,87594.78,105655.13,24625.08,55074.7,86918.9,113557.6,29875.16,67697.75,106561.56,144354.69,41736.14,91414.67,143185.88,192992.61,48527.96,110465.53,176648.39,222336.82,49688.74,110059.25
购买商品、接受劳务支付的现金,31697.86,28568.33,15269.66,23323.92,8125.68,16669.2,25166.52,35944.49,7722.55,18133.63,29605.11,38516.11,7000.93,15303.78,25251.76,33865.37,10822.16,21211.49,33655.8,45343.7,18913.69,31982.23,46347.39,50427.25,13638.44,27008.47,36008.37,44992.01,14208.31,30250.29,42215.49,53067.19,21430.09,42408.27,56973.79,79296.9,33586.07,50223.36,68898.64,87913.79,29887.59,43667.28
支付给职工以及为职工支付的现金,4798.59,6530.82,4279.18,5799.88,1356.0,3108.74,4790.71,5980.16,2798.71,3720.37,5117.37,8097.13,2622.1,4901.53,6512.67,9181.64,2839.89,5282.01,8013.78,10804.09,3139.34,6095.09,8974.85,12143.77,3363.09,6642.7,10094.55,13556.06,4321.63,8022.2,11687.04,15001.63,4501.41,8720.18,12910.74,17078.86,5408.82,10698.01,15291.12,20247.67,5969.72,11341.33
支付的各项税费,4009.69,4994.36,3996.02,6004.14,1167.97,2674.19,4396.54,5726.75,1037.09,3109.81,5297.02,7601.32,1263.28,3839.77,6658.89,8752.05,2452.82,5698.75,8639.28,11305.64,2303.22,7427.3,10734.15,13014.66,1899.39,6422.32,9970.33,13294.21,3218.11,9932.61,13966.39,18152.9,4724.79,11995.51,17263.81,23840.55,6352.7,16150.72,23924.01,30715.67,7055.93,16162.07
支付的其他与经营活动有关的现金,7916.41,6580.64,6960.88,7637.54,1422.81,3754.74,6541.47,8111.69,1662.29,5966.61,7594.68,12810.12,1967.36,6070.81,9802.3,13174.87,1880.93,7236.18,11140.35,15923.54,3216.96,10671.2,14889.29,19148.32,3652.09,9100.11,13740.93,17250.95,3817.61,6974.81,11331.78,17849.99,4317.23,8821.06,14882.65,20498.03,8107.74,14242.15,20329.12,27521.52,6366.89,16174.58
经营活动现金流出小计,48422.55,46674.16,30505.73,42765.48,12072.46,26206.87,40895.24,55763.08,13220.64,30930.42,47614.19,67024.68,12853.67,30115.89,48225.62,64973.93,17995.81,39428.43,61449.22,83376.97,27573.21,56175.82,80945.67,94733.99,22553.0,49173.6,69814.19,89093.23,25565.67,55179.91,79200.7,104071.71,34973.53,71945.02,102030.98,140714.34,53455.32,91314.24,128442.89,166398.64,49280.14,87345.26
经营活动产生的现金流量净额,4243.19,1454.16,8888.64,14593.38,90.34,4762.34,5802.35,11390.44,2281.19,1330.56,8082.11,11819.77,694.34,6984.41,13922.49,15238.21,1654.06,7916.84,18131.02,19972.59,-4405.49,-1376.66,6649.11,10921.14,2072.08,5901.1,17104.72,24464.37,4309.5,12517.84,27360.86,40282.97,6762.61,19469.65,41154.9,52278.27,-4927.36,19151.29,48205.5,55938.18,408.6,22713.99
