报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
销售商品、提供劳务收到的现金,419876.83,1074128.61,1714101.66,2416631.21,486596.56,1300758.03,2177956.11,2445584.84,480096.85,1285524.06,2109205.42,2882930.23,769261.07,1664878.86,2705602.87,3504899.8,963012.18,2087910.22,3337336.12,4450505.41,1045171.63,2397766.69,3773387.95,4822519.43,1203037.6,2652812.1,4253132.64,5606450.35,1341144.5,3073298.18,4705668.46,6104225.71,1589082.17,3416426.3,5258710.73,6892160.45,1625296.18,3423721.96,5217705.59,6761509.52,1633780.53,3593978.71,5785660.68,7569902.75,2072475.5,4332665.1,6780449.53,8926979.0,2427743.83,4877013.2,7528049.47,10146173.33,1972506.45,4820154.93,7786018.01,10602400.27,2674010.31,5834051.3,9034350.31,12196836.99,2939736.43,6379738.42
收到的税费返还,0.0,967.05,1877.36,8914.9,844.51,4878.09,11437.54,9688.79,777.95,2720.51,5727.17,1734.28,3625.15,6569.37,9522.14,0.0,0.0,42.52,104.04,81.37,0.0,4.2,59.34,60.67,0.07,0.74,90.9,172.1,27.09,32.49,32.49,32.49,3.01,3.01,3.08,3.08,113.72,113.72,146.2,170.15,41.33,129.32,205.81,205.81,0.0,0.0,106.9,112.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43380.47
收到的其他与经营活动有关的现金,2293.45,4435.76,8452.21,15079.89,3643.61,9276.95,17970.28,36481.08,2538.52,5219.07,13730.19,39327.73,3684.78,23067.18,25938.11,60281.61,18243.98,36102.08,46166.45,73071.61,10761.61,45297.19,56321.25,76902.75,17891.2,46481.88,64560.82,84115.53,15257.69,43970.98,57826.39,83219.42,5414.24,20028.91,39574.84,101948.32,25298.76,51083.82,83648.16,145253.79,32206.73,69049.82,103504.44,143724.17,26914.81,65692.43,105509.29,163268.8,34033.87,82563.8,118062.24,166509.81,28321.45,84210.03,119466.61,201520.4,52336.21,123574.4,174572.37,220135.31,89006.85,184050.41
经营活动现金流入小计,422170.28,1079531.42,1724431.23,2440626.0,491084.69,1314913.07,2207363.93,2491754.71,483413.32,1293463.63,2128662.78,2923992.24,776571.0,1694515.41,2741063.12,3565181.41,981256.16,2124054.82,3383606.61,4523658.4,1055933.24,2443068.08,3829768.53,4899482.85,1220928.87,2699294.72,4317784.37,5690737.99,1359872.18,3128056.34,4783713.86,6228263.81,1609059.08,3464192.38,5338677.83,7043557.92,1660978.18,3493457.34,5328647.18,6940645.23,1673530.77,3677390.4,5914742.38,7751437.63,2119582.1,4435170.92,6934673.49,9146941.85,2462052.41,4960215.79,7647641.7,10314844.08,2001577.83,4905899.42,7909289.0,10809432.51,2727520.3,5960351.78,9215499.8,12425181.63,3031332.96,6613340.04
购买商品、接受劳务支付的现金,273481.99,721269.65,1186967.7,2095103.42,355151.64,955809.83,1603290.44,2193594.13,338533.98,964882.37,1598241.5,2405701.99,611368.63,1368068.78,2270006.46,3015393.9,833721.5,1673602.62,2652202.66,3612831.04,979319.43,1947444.48,3042021.97,3971040.63,970889.81,1999172.28,3237589.8,4435293.26,1248480.84,2517899.6,3719134.44,4953182.18,1153309.32,2365506.92,3661490.51,5084315.71,1268969.27,2217572.28,3272102.07,4598671.08,1412087.99,2758380.33,4252690.02,5793473.94,1615033.69,3275671.2,5189051.01,7024575.35,1919696.54,3807772.33,5867802.11,7967980.67,1878637.84,3801621.5,6014392.7,8353749.54,2111228.11,4379917.05,6624366.09,9118246.26,2362295.9,4868559.96
支付给职工以及为职工支付的现金,25660.27,54482.4,75790.79,108294.58,32225.16,60093.12,92685.66,119362.14,30661.48,65048.6,104900.23,143049.0,53401.32,108527.63,119513.77,220869.19,71567.92,141464.34,210702.65,278260.31,87973.53,194072.68,280927.45,362418.09,102588.33,201537.79,305972.01,393857.6,122028.81,247682.0,363115.58,497888.45,135605.32,312659.23,470192.98,633662.33,169177.21,303609.23,436699.43,600151.47,168062.89,298567.08,451059.65,596926.52,208539.06,367968.47,542297.22,720817.28,266225.96,471472.66,701721.26,910905.73,267619.52,471718.21,701405.07,934032.04,334459.97,592821.32,845551.14,1104434.61,442094.54,793546.84
支付的各项税费,30033.64,61308.19,92091.49,107393.16,30877.0,70780.37,113627.99,126446.87,33065.96,66931.44,109953.25,141266.52,33234.31,71156.3,107278.3,140598.01,52257.16,106007.59,164013.25,218954.05,57110.43,146082.74,200867.0,265620.85,49678.62,145154.98,198465.08,250611.08,50525.8,132161.3,213644.94,273984.21,85203.78,172212.76,276070.68,365451.03,94474.49,199035.38,310288.15,392174.42,86436.64,230165.08,367318.27,462934.07,110582.81,247007.66,370329.32,466834.9,111119.2,236679.07,343399.41,441132.03,95980.36,193612.99,308029.96,403954.12,117001.35,274630.97,391915.96,507539.69,129401.13,306509.52
支付的其他与经营活动有关的现金,48522.72,110499.53,220388.86,52021.76,34741.09,100958.92,254057.98,34094.05,28112.75,41742.06,54063.06,31092.08,21333.32,45039.16,80684.03,40862.93,7689.23,16970.81,28717.72,46575.49,10038.29,26443.87,40987.43,59549.06,11739.85,27766.75,50232.56,63501.2,11168.97,30582.89,51291.22,78917.69,21287.4,43839.81,66331.74,102781.88,29324.74,49963.95,75221.72,109104.74,54053.24,77735.25,111752.94,139611.04,24072.26,65212.69,103639.94,145399.12,30012.0,67778.13,114427.55,149277.61,24622.68,66760.78,94005.82,132532.9,52657.92,79276.09,111800.11,142209.1,53399.46,91732.64
经营活动现金流出小计,377698.62,947559.77,1575238.83,2362812.92,452994.89,1187642.24,2063662.06,2473497.19,430374.17,1138604.48,1867158.04,2721109.59,719337.58,1592791.86,2577482.57,3417724.02,965235.8,1938045.36,3055636.27,4156620.89,1134441.67,2314043.75,3564803.84,4658628.62,1134896.61,2373631.81,3792259.45,5143263.14,1528209.57,3069206.93,4524906.06,5984615.11,1394056.51,2854563.94,4396287.87,6089908.06,1564335.08,2743270.37,4098739.06,5658912.65,1726493.67,3394482.75,5243170.48,7050807.91,1952575.62,3906901.16,6157113.71,8284464.67,2327053.7,4583702.19,7027350.34,9469296.05,2266860.4,4533713.49,7117833.55,9824268.59,2615347.34,5326645.43,7973633.3,10872429.66,2987191.03,6060348.96
经营活动产生的现金流量净额,44471.67,131971.66,149192.39,77813.08,38089.8,127270.83,143701.87,18257.51,53039.16,154859.16,261504.74,202882.65,57233.42,101723.54,163580.56,147457.39,16020.36,186009.45,327970.34,367037.5,-78508.43,129024.33,264964.68,240854.23,86032.25,325662.92,525524.92,547474.84,-168337.4,58849.41,258807.81,243648.7,215002.57,609628.44,942389.95,953649.86,96643.11,750186.97,1229908.11,1281732.58,-52962.9,282907.65,671571.89,700629.72,167006.49,528269.75,777559.77,862477.18,134998.71,376513.6,620291.36,845548.03,-265282.57,372185.93,791455.45,985163.92,112172.96,633706.35,1241866.51,1552751.97,44141.93,552991.08
