报表日期,2011-12-31,2012-12-31,2013-12-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30
销售商品、提供劳务收到的现金,14641.01,19782.66,16612.47,9236.54,13006.6,15689.24,4152.24,6550.53,10752.43,15752.55,5379.62,13009.09,21404.95,24130.01,1880.86,7219.2,16436.67,25582.52,7070.99,12010.94,18176.37,30458.92,6722.04,18685.83,26554.94,150450.45,25927.33,48728.42,93310.2
收到的税费返还,0.0,1.52,176.92,32.14,51.34,137.05,0.0,39.58,122.37,358.61,194.49,331.77,331.77,384.37,0.0,0.0,40.16,40.16,0.0,73.52,462.51,135.83,30.78,51.65,51.65,3000.09,67.26,2474.85,645.13
收到的其他与经营活动有关的现金,964.45,1507.21,1396.42,701.78,659.0,1357.15,85.71,279.06,316.38,1322.32,344.67,818.14,1662.55,1249.41,649.28,1799.49,1944.01,1572.05,506.14,1845.81,2645.21,2390.1,109.26,1101.99,2703.09,4811.92,450.96,4514.37,9247.52
经营活动现金流入小计,15605.46,21291.38,18185.81,9970.45,13716.95,17183.45,4237.95,6869.17,11191.17,17433.47,5918.79,14159.0,23399.27,25763.78,2530.14,9018.68,18420.83,27194.73,7577.12,13930.26,21284.08,32984.85,6862.07,19839.47,29309.68,158262.45,26445.55,55717.64,103202.85
购买商品、接受劳务支付的现金,9650.18,7688.95,9309.09,2567.87,4138.87,6012.1,1961.31,4556.47,7445.0,11023.89,3546.75,9709.67,16347.85,15979.01,4415.95,7103.51,11189.83,16320.92,2080.29,5064.45,7908.94,14696.18,4514.99,8480.23,12982.59,89463.86,38082.9,60092.69,75832.87
支付给职工以及为职工支付的现金,2152.94,2678.62,3044.27,1822.41,2736.01,3809.64,1131.97,2270.43,3328.09,4411.54,1327.13,2382.77,3478.84,5160.55,1449.25,2859.09,4169.18,5691.31,1765.64,3138.13,4662.53,6342.46,1960.24,3591.11,5138.16,12002.17,5348.48,8781.1,12768.96
支付的各项税费,606.25,2539.0,2135.31,1664.32,1878.44,1982.55,649.07,1533.11,1892.82,2553.14,437.32,1294.24,1396.58,1408.66,41.69,1477.83,1685.17,1746.33,1745.06,2731.8,2995.84,3029.47,906.0,2133.02,2512.43,7839.37,10847.48,13979.15,18027.86
支付的其他与经营活动有关的现金,1504.97,2253.97,1922.68,580.76,758.5,1635.43,843.17,902.22,1257.08,2115.87,324.89,1417.85,1894.66,2545.95,998.8,1592.99,1864.22,2475.48,968.17,1683.75,2980.56,2898.56,813.52,1616.54,2210.94,18840.85,4802.72,8871.83,10947.77
经营活动现金流出小计,13914.34,15160.55,16411.35,6635.37,9511.82,13439.72,4585.52,9262.24,13922.98,20104.45,5636.09,14804.54,23117.93,25094.18,6905.69,13033.41,18908.4,26234.04,6559.17,12618.14,18547.87,26966.68,8194.74,15820.9,22844.13,128146.26,59081.59,91724.77,117577.47
经营活动产生的现金流量净额,1691.13,6130.83,1774.46,3335.08,4205.12,3743.74,-347.57,-2393.07,-2731.81,-2670.97,282.7,-645.54,281.35,669.61,-4375.54,-4014.73,-487.57,960.69,1017.95,1312.12,2736.22,6018.17,-1332.67,4018.57,6465.55,30116.2,-32636.03,-36007.13,-14374.62
