报表日期,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31
销售商品、提供劳务收到的现金,19371.0,20462.52,24635.71,24803.34,20474.96,4044.23,10362.03,14222.71,21266.38,6320.86,14807.2,17801.6,22557.82,6738.74,22758.89,32925.08,49583.89,18975.18,40533.9,59295.91,86719.27,12266.51,27162.23,50410.87,84899.65
收到的税费返还,0.87,0.0,0.85,0.0,1.2,0.0,2.56,2.56,25.99,0.0,0.0,2.13,8.92,0.0,0.0,0.0,10.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到的其他与经营活动有关的现金,304.37,655.65,949.5,342.73,170.32,0.0,375.3,391.27,450.29,0.0,120.95,242.77,262.35,31.49,30.42,73.94,626.0,140.27,160.11,174.76,2334.19,1358.82,2461.35,2646.97,3559.64
经营活动现金流入小计,19676.24,21118.16,25586.06,25146.07,20646.48,4044.23,10739.89,14616.53,21742.65,6320.86,14928.15,18046.5,22829.08,6770.23,22789.31,32999.02,50219.92,19115.45,40694.02,59470.67,89053.46,13625.33,29623.58,53057.84,88459.29
购买商品、接受劳务支付的现金,10357.58,7233.56,7929.57,6200.24,11641.18,3375.05,3609.42,5768.21,7599.62,3177.51,7357.99,8114.17,10199.46,2097.34,11490.64,14780.57,15778.19,8508.18,12552.14,14916.88,18267.2,5663.14,9205.56,14829.19,24936.8
支付给职工以及为职工支付的现金,993.01,1294.91,2001.87,2337.56,2251.11,545.61,1112.29,1815.94,2519.59,723.03,1596.7,2498.06,3822.46,1231.31,2804.73,4255.69,5828.04,1766.56,3303.94,5049.41,7050.84,2112.62,4034.47,5672.19,7937.3
支付的各项税费,3710.58,5311.87,5336.91,6302.21,4332.41,669.69,1842.37,3393.91,4556.66,541.7,1793.66,3285.61,6024.69,2563.4,4884.01,6948.77,9156.3,5565.83,9989.87,13952.96,19551.74,3083.82,5784.71,9980.22,13306.68
支付的其他与经营活动有关的现金,3452.73,2364.37,2643.35,2439.66,1401.32,350.9,691.76,1811.31,1604.9,480.1,1070.35,2130.48,3227.28,634.34,2872.25,4034.74,7721.07,1463.31,4227.25,6555.2,14907.42,1673.6,3025.28,6898.3,8113.79
经营活动现金流出小计,18513.89,16204.7,17911.7,17279.66,19626.02,4941.25,7255.84,12789.38,16280.77,4922.35,11818.7,16028.32,23273.88,6526.39,22051.63,30019.77,38483.6,17303.87,30073.2,40474.45,59777.2,12533.19,22050.02,37379.9,54294.57
经营活动产生的现金流量净额,1162.34,4913.46,7674.36,7866.4,1020.46,-897.02,3484.04,1827.16,5461.89,1398.51,3109.46,2018.18,-444.8,243.83,737.68,2979.25,11736.32,1811.58,10620.81,18996.22,29276.26,1092.15,7573.56,15677.94,34164.71
收回投资所收到的现金,616.6,1120.0,0.0,0.0,37.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
取得投资收益所收到的现金,302.82,355.81,21.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
处置固定资产、无形资产和其他长期资产所收回的现金净额,151.52,2.84,8.04,50.0,5.46,0.0,1.82,1.82,319.0,0.0,0.0,0.0,24.3,0.0,0.0,0.0,70.54,0.0,0.27,9.57,50.68,0.0,0.0,0.0,2111.2
处置子公司及其他营业单位收到的现金净额,0.0,0.0,279.62,192.0,127.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到的其他与投资活动有关的现金,1154.86,2540.22,3507.07,3102.8,247.46,0.0,0.0,59.0,59.0,0.0,115.0,115.0,335.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
投资活动现金流入小计,2225.8,4018.87,3816.54,3344.8,417.81,0.0,1.82,60.82,378.0,0.0,115.0,115.0,359.3,0.0,7.0,7.0,70.54,0.0,0.27,9.57,50.68,0.0,0.0,0.0,2111.2
购建固定资产、无形资产和其他长期资产所支付的现金,3921.16,9897.75,12575.44,7689.96,10655.55,3275.11,6831.53,8793.81,12123.83,1859.07,6079.54,6731.46,5566.48,2068.72,3036.25,4403.31,7819.92,4180.09,7380.78,9611.44,18094.82,7510.0,11287.95,13568.62,15993.31
投资所支付的现金,2291.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,427.5,427.5,427.5,0.0,0.0,0.0,0.0,0.0
取得子公司及其他营业单位支付的现金净额,1193.72,0.0,4600.0,2662.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,577.19,577.19,577.19,663.75,0.0,0.0,0.0,3741.93,0.0,0.0,0.0,0.0
支付的其他与投资活动有关的现金,0.0,0.0,0.0,4500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,7420.67,7420.67,7420.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
投资活动现金流出小计,7406.67,9897.75,17175.44,14852.94,10655.55,3275.11,6831.53,8793.81,12233.83,1859.07,6079.54,6731.46,6366.48,10066.59,11034.11,12401.17,8483.67,4607.59,7808.28,10038.94,21836.75,7510.0,11287.95,13568.62,15993.31
