报表日期,2014-12-31,2015-12-31,2016-12-31,2017-06-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30
销售商品、提供劳务收到的现金,104811.42,235943.31,506335.15,347279.89,652321.75,263488.56,384314.78,536927.68,800867.49,338808.2,499919.57,781912.18,1178271.64,388247.15,557911.67
收到的税费返还,0.0,164.91,0.0,455.98,1000.17,0.0,627.49,627.49,741.15,0.0,0.33,0.33,0.35,0.5,0.5
收到的其他与经营活动有关的现金,1457.9,965.8,5735.67,2250.65,7839.14,872.07,1904.51,8340.67,8846.07,1381.71,4211.97,7636.11,7987.62,1767.39,10412.27
经营活动现金流入小计,106269.32,237074.02,512070.82,349986.52,661161.07,264360.63,386846.79,545895.84,810454.7,340189.91,504131.87,789548.62,1186259.61,390015.04,568324.44
购买商品、接受劳务支付的现金,76804.78,193783.95,384171.03,199707.98,448185.3,170608.63,231025.0,353806.68,554923.59,220622.2,347742.62,569713.62,924060.28,200893.83,357910.89
支付给职工以及为职工支付的现金,5337.81,11104.79,18832.79,11596.28,23591.4,7729.43,13689.88,20116.62,26840.3,8402.19,14045.72,25013.48,35772.72,10260.46,23013.17
支付的各项税费,2209.87,4948.76,14617.77,25783.83,39350.59,14040.43,22223.62,26978.36,32423.04,21284.27,28929.15,40495.08,46953.27,10283.96,25333.45
支付的其他与经营活动有关的现金,21152.17,45844.39,83494.05,54665.94,105333.46,37505.18,57904.22,87241.81,132617.75,58993.39,68776.93,122203.59,212397.84,64482.6,101227.75
经营活动现金流出小计,105504.63,255681.88,501115.64,291754.03,616460.75,229883.68,324842.72,488143.46,746804.68,309302.05,459494.41,757425.78,1219184.11,285920.84,507485.26
经营活动产生的现金流量净额,764.69,-18607.86,10955.18,58232.49,44700.32,34476.95,62004.07,57752.37,63650.03,30887.85,44637.46,32122.85,-32924.49,104094.2,60839.17
收回投资所收到的现金,36804.2,69349.81,116933.21,0.0,232787.76,20065.83,0.0,140000.0,155570.21,20095.42,30362.48,163655.69,256656.66,30000.0,50000.0
取得投资收益所收到的现金,44.26,29.13,60.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.88,770.44
处置固定资产、无形资产和其他长期资产所收回的现金净额,92.2,0.0,193.65,10.93,12.87,0.4,0.85,0.65,65.56,0.5,0.0,3.61,75.49,7.18,18.87
处置子公司及其他营业单位收到的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到的其他与投资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
投资活动现金流入小计,36940.66,69378.94,117187.45,10.93,232800.63,20066.23,0.85,140000.65,155635.77,20095.92,30362.48,163659.3,256732.15,30223.07,50789.3
购建固定资产、无形资产和其他长期资产所支付的现金,6146.36,7719.33,12081.74,7224.91,18546.66,4948.92,8097.78,14847.16,24420.51,6860.95,9808.49,15058.49,21556.76,2950.27,8426.55
投资所支付的现金,37700.0,68304.7,117000.0,200.0,232400.0,40000.0,0.0,140000.0,155000.0,40000.0,30000.0,163655.69,255655.69,50000.0,50000.0
取得子公司及其他营业单位支付的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
支付的其他与投资活动有关的现金,0.0,9.51,0.0,0.0,7.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
