报表日期,2012-12-31,2013-12-31,2014-12-31,2015-06-30,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31
货币资金,7418.07,4707.97,5284.97,6189.45,8326.98,5793.54,5545.06,12473.46,14624.32,17780.12,7202.21,10100.19,8730.58,6507.69,10208.42,10588.51,6101.31,12217.68,6254.79,10424.5,6002.38,6432.64,9820.07,10745.32,11769.67,12954.72,6201.69,4118.91,5869.84
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4270.0,3950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,15674.43,0.0,0.0,0.0,21631.28,0.0,23480.1,22733.92,27540.77,0.0,28324.49,25883.45,26924.2,25462.11,26544.79,24892.52,22565.93,19471.23,15529.49,13436.93,15957.03,13727.42,15148.56,11283.16,11284.59,10734.43,15936.09,12019.16
应收票据,871.62,460.48,579.91,281.52,994.45,659.38,670.58,667.46,843.66,759.35,1072.57,2030.36,935.55,1050.02,525.04,627.39,1001.39,1005.65,1167.57,0.0,0.0,0.0,0.0,490.63,302.08,273.63,395.21,315.15,206.89
应收账款,12339.69,15213.95,20522.14,20135.44,18853.02,20971.9,20127.48,22812.64,21890.26,26781.42,27680.94,26294.13,24947.9,25874.18,24937.07,25917.4,23891.13,21560.28,18303.66,15529.49,13436.93,15957.03,13727.42,14657.93,10981.08,11010.96,10339.22,15620.94,11812.27
应收款项融资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2486.22,982.55,452.21,1138.16,1340.08,958.81,576.57,403.26,89.0,185.7
预付款项,962.57,1026.59,837.2,1332.34,784.73,1055.18,1816.4,597.23,1735.82,2606.79,2114.74,1372.3,2379.02,1441.63,1486.58,621.37,924.2,736.57,676.34,342.5,719.9,550.7,1176.38,208.21,255.19,2595.83,9269.73,140.39,501.62
其他应收款(合计),0.0,307.25,0.0,0.0,0.0,322.29,0.0,908.98,470.3,539.44,0.0,402.48,478.02,611.99,513.68,260.98,328.42,257.58,246.99,154.08,182.13,2275.79,41.83,63.74,3996.14,4249.28,107.28,99.46,101.26
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他应收款,300.76,307.25,251.06,302.35,315.07,322.29,618.13,908.98,470.3,539.44,554.42,402.48,478.02,611.99,513.68,260.98,0.0,257.58,0.0,154.08,0.0,2275.79,0.0,63.74,0.0,4249.28,0.0,99.46,0.0
买入返售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
存货,18200.47,12005.01,11871.48,15067.92,12148.28,12149.99,12079.99,12613.64,15491.85,16545.7,16603.76,16999.83,19911.84,19573.07,20930.44,14166.17,13422.57,14503.07,15190.95,9870.83,11422.89,11911.51,13206.26,10459.39,12154.39,15488.12,13013.32,10244.27,10262.12
划分为持有待售的资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待摊费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待处理流动资产损益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他流动资产,85.2,36.77,0.17,1.32,66.44,40.62,228.11,10176.09,6500.0,235.05,8220.64,3020.98,3135.32,6917.85,120.17,78.32,5402.09,225.64,4415.3,192.8,178.15,182.17,200.59,90.71,506.81,163.72,475.82,729.99,1083.74
