报表日期,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
货币资金,8338.86,17774.99,26540.36,6982.11,11441.52,14072.39,17978.89,73448.61,104571.05,30708.29,33677.79,14283.6,11957.66,17647.87,16817.3,14582.58,15893.85,26738.41,14083.72,22897.18,17691.88,21989.89,34668.86,26797.76,18596.79,18847.03,16562.62,17715.98,36448.99,55818.88,37742.6
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72870.53,67663.21,117665.15,104182.6,73644.67,110327.11,100521.22,102762.15,93565.15,142920.06,130087.26,104242.82,92429.6,148669.12
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,6148.01,0.0,5484.66,3634.45,5338.36,0.0,4139.69,5293.27,9639.51,26676.74,3048.1,7142.66,10333.3,22165.16,5491.18,7443.71,14155.09,30909.41,6002.94,8344.7,12661.06,26257.46,5806.02,7941.42,10113.66,15227.97
应收票据,48.02,404.5,11.1,0.0,10.0,0.0,0.0,0.0,204.31,150.86,103.14,34.96,211.24,0.0,104.97,0.0,0.0,0.0,8.55,8.38,0.0,0.0,17.94,25.64,140.41,36.95,46.29,5.12,0.0,0.0,0.0
应收账款,2083.65,3585.65,4857.52,3290.21,3275.12,6148.01,16612.04,5484.66,3430.14,5187.5,25829.29,4104.73,5082.03,9639.51,26571.77,3048.1,7142.66,10333.3,22156.61,5482.8,7443.71,14155.09,30891.47,5977.3,8204.3,12624.12,26211.17,5800.9,7941.42,10113.66,15227.97
应收款项融资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预付款项,685.15,7870.91,275.46,416.16,445.52,959.14,324.09,500.87,2505.44,807.93,3622.0,482.23,2229.78,3462.9,4358.0,670.65,4644.4,4152.74,4201.13,909.01,2246.26,1772.61,4719.07,1224.72,3257.25,3659.67,5735.54,309.21,3386.42,744.97,759.11
其他应收款(合计),0.0,0.0,0.0,0.0,0.0,2315.32,0.0,2649.45,7412.95,2793.28,0.0,2904.34,3153.17,2390.93,2406.96,4027.38,4363.55,3555.73,4165.05,3494.7,3663.42,4011.66,4022.66,3541.25,2864.05,3179.77,2868.35,3313.29,2775.42,2977.66,2889.08
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
