报表日期,2016-12-31,2017-12-31,2018-12-31,2019-03-31,2019-06-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30
货币资金,2334089.0,3894167.0,6605368.0,7372370.0,7666584.0,6461197.0,0.0,0.0,6032087.2
交易性金融资产,0.0,0.0,0.0,0.0,0.0,48277.0,0.0,0.0,367049.8
衍生金融资产,148621.0,28364.0,204805.0,124783.0,66903.0,106508.0,0.0,0.0,52821.8
应收票据及应收账款,679245.0,584032.0,514478.0,491742.0,556455.0,618841.0,0.0,0.0,585959.9
应收票据,112339.0,97544.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收账款,566906.0,486488.0,514478.0,491742.0,556455.0,618841.0,0.0,0.0,585959.9
应收款项融资,0.0,0.0,151058.0,87742.0,77361.0,97421.0,0.0,0.0,109118.8
预付款项,287611.0,285696.0,383526.0,317587.0,283125.0,253577.0,0.0,0.0,438614.5
其他应收款(合计),542297.0,252707.0,229148.0,251729.0,171638.0,141518.0,0.0,0.0,407431.6
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
其他应收款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
买入返售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
存货,2830438.0,3399410.0,3708828.0,2932366.0,2982573.0,3455068.0,0.0,0.0,3272489.1
划分为持有待售的资产,0.0,0.0,1979.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待摊费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待处理流动资产损益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他流动资产,383116.0,672262.0,368526.0,395220.0,429643.0,409640.0,0.0,0.0,319716.9
流动资产合计,7710942.0,9304966.0,12339444.0,11977081.0,12238375.0,11601910.0,0.0,0.0,11594785.6
发放贷款及垫款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
可供出售金融资产,136731.0,130999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
持有至到期投资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应收款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
