报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2020-03-31
销售商品、提供劳务收到的现金,11444.64,19105.86,34901.29,36988.75,11971.77,25392.64,49556.37,78218.13,25409.66,54333.32,83159.0,118742.01,42975.1,101848.79,155145.46,218243.75,50036.15,120241.38,180298.59,270812.37,62998.0,139957.1,232728.33,294260.27,75835.32,168864.5,260631.75,340289.12,91601.13,198536.76,339202.96,440409.82,131847.54,291786.65,451743.7,672065.32,152906.68,339677.64,550159.21,771733.19,216636.65,522698.79,785304.77,962599.41,277394.69,623688.03,870206.62,1043833.0,259353.02,576345.15,831702.19,248878.25
收到的税费返还,240.0,0.0,0.0,12.9,0.0,171.88,176.71,1599.26,83.82,307.06,804.08,987.95,388.62,1101.53,1391.38,1705.39,498.93,1468.22,2117.26,2395.16,452.04,1781.41,2606.56,3391.18,326.3,1697.5,2842.61,4112.71,38.15,219.93,1904.23,2726.11,321.21,1376.73,1986.24,1948.31,2001.37,2940.57,4259.84,4021.37,490.62,4992.31,12086.81,3903.24,533.54,705.84,2579.25,3013.8,2513.64,3806.47,6619.19,2250.35
收到的其他与经营活动有关的现金,28.0,296.64,2045.71,6980.69,186.22,115.34,1234.18,2799.88,2061.96,1400.67,6185.22,1288.71,897.2,3525.75,7463.9,1443.56,4208.86,3875.21,4284.47,6260.06,3476.42,4040.18,5258.13,3446.45,2597.41,6942.63,5680.57,4685.65,2209.18,3299.37,8894.18,4713.52,2179.48,2653.61,4607.31,5076.2,2740.47,6032.36,7869.42,8468.12,2704.12,4311.65,5300.75,14540.96,3316.12,9223.71,11335.42,17499.2,4007.47,8746.67,11101.98,3655.35
经营活动现金流入小计,11712.64,19402.5,36947.0,43982.34,12157.99,25679.86,50967.26,82617.27,27555.44,56041.05,90148.31,121018.67,44260.91,106476.07,164000.74,221392.7,54743.93,125584.81,186700.32,279467.59,66926.46,145778.69,240593.02,301097.9,78759.03,177504.63,269154.92,349087.48,93848.46,202056.07,350001.37,447849.45,134348.22,295817.0,458337.25,679089.83,157648.52,348650.57,562288.47,784222.67,219831.4,532002.75,802692.33,981043.61,281244.34,633617.58,884121.28,1064345.99,265874.13,588898.29,849423.37,254783.95
购买商品、接受劳务支付的现金,5259.97,11676.64,21525.31,23712.05,9146.61,16501.49,37033.33,56541.92,9573.52,22781.58,40743.74,51954.97,29991.83,68935.17,108580.81,133710.82,34391.89,87041.84,124237.65,184828.48,38057.79,84467.97,157119.48,161361.0,54844.7,97501.28,146056.06,168863.48,47342.68,104941.12,181737.95,216265.63,68722.14,150681.84,220139.31,363894.65,82632.32,181658.4,291908.19,439101.46,112538.73,296592.79,438126.22,493514.63,152101.44,369776.85,483692.13,504535.28,139942.7,308218.41,454095.3,133023.17
支付给职工以及为职工支付的现金,1259.65,2551.57,3928.23,6510.97,1890.22,3636.67,6809.28,9898.69,3929.73,8649.26,13373.06,21209.72,6211.33,14566.53,20351.72,37272.85,14477.56,28413.4,39590.19,43339.25,14818.8,34122.41,48788.59,55666.61,19543.11,40659.69,54449.23,80021.99,22910.57,47715.81,79803.15,115453.14,35889.27,74675.7,110428.27,130289.09,37283.91,84409.92,131460.08,161466.77,50856.34,117786.28,185939.46,253874.8,68045.42,151240.56,237908.78,307475.3,66762.2,157590.45,236690.15,69835.02
支付的各项税费,272.56,977.46,3227.75,6220.93,1107.1,1736.11,3112.95,7477.36,2342.32,5443.06,9302.06,13872.67,5723.01,11257.34,14815.6,18947.69,5914.99,12533.6,17577.01,24066.59,6616.42,13164.84,19620.7,26443.62,9673.91,17211.65,30021.36,32168.58,8145.3,16994.68,26875.79,31393.32,10463.43,22323.67,30420.9,39477.08,15359.64,31117.17,46577.45,49900.89,18817.88,40705.96,59407.85,53188.38,24141.38,47354.79,62792.11,76988.32,21369.86,37130.93,51399.81,17614.86
支付的其他与经营活动有关的现金,1400.6,1273.59,4410.94,2537.14,629.08,2070.36,7334.79,7513.75,495.5,4493.53,8361.49,11726.82,2549.31,6765.35,10025.8,15430.11,6258.12,6777.05,9527.46,16053.17,6528.01,7370.02,12133.56,15731.31,5444.04,16472.25,15737.59,21013.88,5727.43,15981.28,22750.5,29997.73,9399.23,16113.91,28507.36,36362.33,10579.58,18845.19,42110.09,42692.14,15798.41,32962.08,57286.86,65501.03,16657.32,34084.07,44174.14,78045.49,15777.12,32984.6,41850.91,14409.01
经营活动现金流出小计,8192.78,16479.26,33092.23,38981.09,12773.01,23944.63,54290.35,81431.72,16341.07,41367.44,71780.35,98764.17,44475.5,101524.38,153773.92,205361.47,61042.56,134765.89,190932.31,268287.49,66021.01,139125.24,237662.32,259202.54,89505.77,171844.87,246264.24,302067.93,84125.99,185632.88,311167.4,393109.82,124474.08,263795.12,389495.83,570023.15,145855.45,316030.68,512055.82,693161.25,198011.36,488047.11,740760.39,866078.83,260945.56,602456.28,828567.16,967044.4,243851.89,535924.39,784036.18,234882.07
经营活动产生的现金流量净额,3519.86,2923.24,3854.77,5001.25,-615.02,1735.23,-3323.1,1185.55,11214.36,14673.61,18367.96,22254.5,-214.58,4951.69,10226.81,16031.23,-6298.63,-9181.08,-4231.99,11180.1,905.46,6653.45,2930.7,41895.37,-10746.74,5659.75,22890.68,47019.55,9722.47,16423.19,38833.97,54739.64,9874.15,32021.87,68841.42,109066.68,11793.07,32619.89,50232.64,91061.42,21820.04,43955.64,61931.93,114964.78,20298.78,31161.3,55554.12,97301.6,22022.24,52973.9,65387.19,19901.87
