报表日期,2008-12-31,2009-12-31,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31
销售商品、提供劳务收到的现金,1344.69,5239.69,11055.78,2070.49,6625.27,11929.46,17549.28,3734.26,8369.05,13808.48,21555.54,5939.95,12819.41,24003.73,38497.46,10175.85,31718.98,55057.19,82556.81,18057.52,42090.12,67547.37,110134.01,48665.63,95240.21,140357.57,186146.22,40160.23,80863.63,134221.48,185985.9,51327.16,124118.54,175183.93,217262.79,27726.96,68632.18,115910.57,170526.3,33932.94,84141.45,134638.4,178421.93
收到的税费返还,0.0,0.0,0.0,0.0,0.0,82.31,198.25,27.32,27.32,33.41,185.5,3.44,3.44,4.0,113.56,0.0,0.0,1.96,439.04,0.0,0.0,0.0,383.97,45.99,639.87,651.79,1036.76,1.83,136.28,497.21,404.81,28.95,34.15,1286.27,1929.62,70.0,268.5,357.74,197.21,721.86,890.55,1443.71,1601.96
收到的其他与经营活动有关的现金,100.62,300.82,1436.83,481.18,162.72,711.09,334.06,86.01,270.13,617.99,2107.73,510.65,888.8,1840.26,3760.62,1401.61,3198.77,4672.73,4828.76,1130.36,2963.64,3626.68,4713.65,404.42,1968.2,2896.49,7976.45,509.55,3882.94,5527.68,17159.63,807.34,2273.6,3785.32,6083.45,1108.13,4388.93,5046.33,4975.12,966.97,2839.89,4240.13,5660.88
经营活动现金流入小计,1445.31,5540.5,12492.61,2551.68,6787.99,12722.86,18081.59,3847.6,8666.5,14459.88,23848.77,6454.03,13711.65,25847.99,42371.64,11577.45,34917.75,59731.89,87824.61,19187.88,45053.76,71174.04,115231.63,49116.04,97848.28,143905.85,195159.44,40671.61,84882.85,140246.37,203550.34,52163.45,126426.29,180255.53,225275.85,28905.09,73289.62,121314.64,175698.63,35621.77,87871.9,140322.24,185684.77
购买商品、接受劳务支付的现金,798.53,2566.64,4987.61,1371.69,2816.39,5986.57,7775.77,2124.55,3644.73,6595.82,11560.44,3170.19,6377.44,10414.34,14981.71,2975.19,10151.35,17147.72,23517.77,7288.99,12760.92,20693.23,33949.75,15085.28,29031.12,39143.0,55809.76,9528.53,28909.88,53992.09,74771.45,15644.95,25018.54,38905.47,54729.55,9438.52,22321.33,36797.4,60007.36,11344.49,26607.74,55155.26,34146.42
支付给职工以及为职工支付的现金,191.47,586.95,1378.44,644.86,1161.97,1862.46,2384.98,825.49,1335.04,2136.07,4064.26,789.23,1324.23,3156.11,4985.56,3157.82,5644.22,9392.03,13150.49,4809.45,8766.98,12956.88,16744.82,7515.25,13159.47,19298.15,26911.39,10294.76,18124.32,28574.76,40875.11,13525.88,24409.34,34328.84,46735.42,15196.58,23773.42,33727.49,45098.09,17926.08,28598.26,40090.34,53051.8
支付的各项税费,41.63,150.4,1146.84,451.43,814.63,1105.59,1642.62,306.93,778.82,1346.5,1881.48,716.12,1349.87,5069.93,3233.88,1337.4,4294.53,4889.97,6281.43,1290.97,3967.13,6598.39,9089.59,3688.54,6399.32,8527.23,9931.45,1641.48,5038.98,6273.57,7939.24,3641.76,7568.42,12211.31,14020.95,1435.72,7864.73,10167.02,10035.35,2507.18,4969.02,7647.33,6268.04
支付的其他与经营活动有关的现金,352.04,695.25,786.59,691.14,410.14,1161.07,817.49,238.22,865.55,1303.62,1114.19,618.2,938.1,2967.99,5124.65,1174.48,5858.19,9376.61,4008.74,1765.17,3470.48,4807.05,6980.16,2124.48,4142.54,7092.52,14915.52,2365.48,7833.95,10921.22,13022.28,13856.66,17838.21,20724.16,25199.68,2331.72,5602.13,8843.8,9070.29,1734.94,4477.78,9296.71,44249.61
经营活动现金流出小计,1383.67,3999.24,8299.47,3159.12,5203.13,10115.7,12620.86,3495.19,6624.13,11382.01,18620.37,5293.74,9989.63,21608.37,28325.79,8644.9,25948.29,40806.33,46958.43,15154.58,28965.51,45055.56,66764.32,28413.56,52732.45,74060.9,107568.12,23830.25,59907.13,99761.64,136608.08,46669.25,74834.51,106169.78,140685.6,28402.54,59561.61,89535.71,124211.09,33512.69,64652.8,112189.64,137715.87
经营活动产生的现金流量净额,61.64,1541.26,4193.14,-607.44,1584.86,2607.16,5460.73,352.4,2042.37,3077.86,5228.39,1160.29,3722.02,4239.62,14045.85,2932.56,8969.46,18925.56,40866.18,4033.29,16088.25,26118.49,48467.31,20702.49,45115.83,69844.95,87591.32,16841.36,24975.73,40484.73,66942.25,5494.2,51591.78,74085.75,84590.25,502.55,13728.01,31778.92,51487.54,2109.08,23219.09,28132.6,47968.9
收回投资所收到的现金,0.0,95.44,27352.75,2408.41,2408.41,2408.41,2408.41,0.0,5139.3,5190.13,23220.04,0.0,6033.91,12082.95,13081.56,0.0,0.0,6000.0,13143.25,0.0,1223.84,1248.61,5361.26,0.0,60.98,60.98,6936.1,208.1,1049.11,24852.84,25887.65,1153.0,1753.0,3963.38,4195.35,517.22,6605.72,8422.62,14795.98,13113.25,23478.35,26762.07,26942.3
