报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31
销售商品、提供劳务收到的现金,21064.44,48988.04,77840.22,116426.95,31023.87,65180.07,103988.36,146529.35,35462.58,81866.79,126693.38,182294.58,45419.87,101163.67,155189.25,230763.32,63760.47,118052.15,170777.07,253844.39,65960.1,133446.47,204269.32,285630.51,67629.68,154012.34,243618.47,353209.88,90296.31,187871.07,294887.38,420453.21,100278.69,215758.19,326317.78,432256.5,120218.86,258143.89,397293.27,529810.98,134644.68,295977.44,459730.66,652207.07,164707.89,315285.71,532416.39,781117.6,184552.33,345223.73,593174.35,881317.72
收到的税费返还,0.0,268.7,731.26,0.0,52.97,430.93,1177.29,1556.78,466.64,1901.64,2692.41,2976.88,87.84,5014.89,5144.98,7022.31,1015.7,4917.13,5199.67,7096.69,3705.97,3827.49,8404.37,8678.1,4042.33,5431.55,10069.79,11829.66,2917.82,4858.51,7198.01,8147.39,1508.52,3514.66,5139.89,4676.41,1756.97,3993.95,5885.87,6479.44,4669.67,5140.78,12575.07,7227.58,2398.84,4165.27,6662.84,9108.41,2271.78,4387.9,5666.44,5813.48
收到的其他与经营活动有关的现金,80.34,188.74,790.79,1078.66,234.94,437.64,978.92,1083.53,664.44,1748.11,2381.99,3405.76,451.9,971.42,2223.24,5177.99,248.12,3111.74,8142.11,8755.29,986.45,3899.24,7555.06,9084.2,351.24,847.99,2170.52,2914.01,226.21,1731.93,3027.35,6791.78,688.46,2828.4,5045.09,3201.07,1255.07,3809.58,4856.77,2786.39,1783.52,4511.46,5998.76,4622.37,1975.76,5199.11,8503.87,7476.7,1716.41,9257.01,12091.87,9590.48
经营活动现金流入小计,21144.78,49445.48,79362.28,117505.61,31311.78,66048.64,106144.56,149169.66,36593.66,85516.54,131767.79,188677.22,45959.61,107149.99,162557.47,242963.62,65024.29,126081.01,184118.84,269696.37,70652.52,141173.2,220228.74,303392.81,72023.25,160291.88,255858.78,367953.56,93440.33,194461.51,305112.74,435392.38,102475.66,222101.25,336502.76,440133.98,123230.9,265947.42,408035.9,539076.82,141097.88,305629.68,478304.49,664057.02,169082.49,324650.08,547583.1,797702.71,188540.51,358868.65,610932.66,896721.69
购买商品、接受劳务支付的现金,18290.77,32242.64,53490.5,80367.12,28080.54,45044.77,64379.13,87358.25,21653.71,49348.9,80097.73,122649.92,34583.64,74144.3,110208.31,157735.0,58401.91,100352.43,141317.94,192353.93,60342.29,107421.3,168957.26,199111.14,62575.09,121960.91,184325.09,227476.1,71332.99,132827.91,177343.17,254620.72,82654.73,158370.41,219469.16,271104.84,91332.88,179410.34,256912.11,326917.86,96569.15,191180.86,287813.14,387604.9,132778.99,216837.9,357439.53,488415.17,130884.82,234891.82,390222.57,551314.97
支付给职工以及为职工支付的现金,2074.75,3641.66,4566.85,7727.4,3177.69,4704.79,6730.96,8844.96,3499.65,5628.0,8250.02,10789.89,4285.8,7202.72,10570.36,13578.4,5490.2,9608.69,14753.46,19917.09,7244.32,12531.4,18588.99,25532.49,8634.6,15685.31,22778.2,31492.64,11224.85,19371.12,27440.94,39787.4,13358.89,22037.39,31556.18,43626.33,16816.59,27871.32,42209.35,57684.15,23057.66,40085.24,57890.09,70501.53,24556.42,46716.71,66432.25,86668.59,28353.69,54153.58,73301.3,95695.9
支付的各项税费,1426.56,2689.39,4389.35,5081.47,1619.74,3633.76,5348.82,7557.56,2573.46,4734.96,6585.88,10764.33,3622.52,8879.29,12651.26,15638.59,4264.39,9530.81,13568.61,17322.62,3430.35,8580.54,13830.05,20699.59,4909.76,11731.69,16313.49,22304.12,6540.38,14211.5,18800.09,25579.36,6301.76,11691.2,17845.5,23101.81,5479.02,13460.08,19888.62,25728.09,9871.96,17708.43,25177.42,33467.51,10341.35,19889.53,27378.74,35452.94,9811.4,21262.95,27597.53,37800.91
支付的其他与经营活动有关的现金,3715.75,7267.61,11270.72,14077.49,3872.69,7521.14,12527.57,17422.15,4831.83,9462.97,14004.54,19602.8,4949.91,9605.71,14745.63,21128.12,5342.8,11683.82,16616.73,25235.54,6108.79,12291.27,18710.47,26788.02,7427.73,15398.11,23702.61,37862.63,10855.18,19447.27,29808.65,45475.71,10727.21,20196.47,29638.03,45247.37,11184.17,22833.27,36370.16,50718.24,12706.86,22350.69,38601.6,60298.27,13291.85,23483.14,41274.01,72779.84,16777.61,31072.7,45120.04,82311.79
经营活动现金流出小计,25507.83,45841.3,73717.42,107253.48,36750.66,60904.46,88986.49,121182.92,32558.65,69174.83,108938.17,163806.95,47441.88,99832.02,148175.56,208080.11,73499.3,131175.75,186256.74,254829.18,77125.75,140824.51,220086.77,272131.24,83547.18,164776.01,247119.39,319135.49,99953.41,185857.79,253392.85,365463.19,113042.58,212295.47,298508.88,383080.35,124812.66,243575.02,355380.25,461048.34,142205.63,271325.21,409482.25,551872.21,180968.61,306927.28,492524.53,683316.54,185827.53,341381.05,536241.45,767123.57
经营活动产生的现金流量净额,-4363.05,3604.18,5644.86,10252.13,-5438.88,5144.18,17158.08,27986.74,4035.01,16341.71,22829.62,24870.28,-1482.26,7317.96,14381.91,34883.51,-8475.01,-5094.74,-2137.9,14867.19,-6473.23,348.69,141.97,31261.57,-11523.94,-4484.13,8739.38,48818.06,-6513.08,8603.72,51719.89,69929.19,-10566.92,9805.78,37993.88,57053.63,-1581.75,22372.39,52655.65,78028.48,-1107.75,34304.47,68822.24,112184.82,-11886.12,17722.8,55058.57,114386.17,2712.99,17487.59,74691.2,129598.12
