报表日期,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30
销售商品、提供劳务收到的现金,122850.4,158818.55,202502.21,202628.11,145205.22,218334.82,46174.05,76432.62,154809.65,218411.42,50808.4,83672.29,171808.17,239821.41,30938.03,91456.78,193687.9,264056.7,41383.31,93701.51,215034.1,273367.98,40266.53,100248.04
收到的税费返还,0.0,0.0,0.0,0.0,0.0,0.0,4.56,0.0,0.0,0.0,5.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到的其他与经营活动有关的现金,957.56,1310.71,1308.84,2962.65,1284.15,1839.87,68354.11,1191.18,1375.18,1875.51,94661.02,1276.9,2316.4,1928.26,1367.31,1965.41,2977.46,2082.4,421.77,778.52,1753.28,1367.49,352.82,1279.79
经营活动现金流入小计,123807.95,160129.26,203811.05,205590.76,146489.37,220174.69,114532.72,77623.8,156184.83,220286.92,145474.5,84949.2,174124.57,241749.67,32305.34,93422.18,196665.36,266139.1,41805.09,94480.02,216787.38,274735.47,40619.34,101527.83
购买商品、接受劳务支付的现金,45555.29,61058.89,87985.87,92166.87,47077.74,96780.19,23858.21,32905.09,43307.47,92471.23,32136.41,34708.83,58080.75,97440.63,10411.85,30949.58,58882.2,107436.71,19650.81,33614.08,60654.95,110946.65,18759.42,34571.13
支付给职工以及为职工支付的现金,16130.24,21511.07,25902.68,29936.38,24135.87,33170.36,9199.02,17578.1,25954.02,35289.32,10715.5,20364.51,29656.67,41413.2,12115.39,22044.74,32526.99,45249.74,12923.61,24191.38,35747.39,48674.76,13240.57,22821.14
支付的各项税费,16197.9,21174.35,28367.19,22541.78,9291.86,22554.05,2988.81,5012.04,9909.28,23277.5,2957.79,4559.13,6902.46,25036.28,1561.78,5418.84,11611.33,22883.74,2804.83,6407.85,16105.71,24319.63,2726.01,5840.05
支付的其他与经营活动有关的现金,27753.56,35670.92,39068.76,39137.41,29169.09,38632.53,85617.71,18527.68,29776.87,40695.21,102975.16,19494.25,35632.79,45384.74,11455.24,21963.51,38241.47,54039.27,11872.0,22410.11,40933.03,56674.48,9255.56,24850.58
经营活动现金流出小计,105636.98,139415.22,181324.51,183782.44,109674.56,191137.12,121663.75,74022.91,108947.64,191733.26,148784.86,79126.71,130272.67,209274.85,35544.26,80376.67,141261.99,229609.46,47251.24,86623.42,153441.09,240615.52,43981.57,88082.9
经营活动产生的现金流量净额,18170.97,20714.04,22486.55,21808.33,36814.82,29037.57,-7131.04,3600.89,47237.18,28553.67,-3310.36,5822.49,43851.9,32474.82,-3238.92,13045.51,55403.37,36529.64,-5446.16,7856.6,63346.29,34119.95,-3362.23,13444.94
收回投资所收到的现金,47272.32,76246.18,10000.0,71900.0,40200.0,62800.0,23389.29,57400.0,74900.0,119800.0,34899.99,63900.0,63900.0,255100.0,168200.0,262200.0,339700.0,506500.0,63000.0,119000.0,154200.0,202370.89,39000.0,107100.0
取得投资收益所收到的现金,1872.04,1470.94,414.77,597.79,245.65,566.39,285.78,504.8,655.96,937.49,268.87,756.95,1925.24,2759.07,972.01,1598.82,2220.11,3748.32,966.44,1505.56,2104.6,2921.12,538.5,1820.74
处置固定资产、无形资产和其他长期资产所收回的现金净额,4086.08,10.59,4531.3,196.02,62.65,155.11,1.23,145.52,145.53,232.2,8.95,132.92,341.6,700.62,23.36,95.13,155.88,1202.31,137.14,106.65,150.99,10207.9,22.02,153.92
处置子公司及其他营业单位收到的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到的其他与投资活动有关的现金,2022.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
投资活动现金流入小计,55253.15,77727.71,14946.06,72693.82,40508.3,63521.5,23676.3,58050.32,75701.49,120969.69,35177.82,64789.88,66166.84,258559.69,169195.37,263893.95,342075.99,511450.63,64103.58,120612.21,156455.58,215499.91,39560.51,109074.66
购建固定资产、无形资产和其他长期资产所支付的现金,17608.48,6698.58,7842.23,8916.61,8447.2,12794.7,1570.28,4124.24,5652.62,7300.15,698.43,4332.53,6569.4,13297.46,3686.88,6439.67,10010.13,11460.28,2146.16,4158.29,6122.66,12405.48,1403.59,3526.9
投资所支付的现金,39596.0,64100.0,0.0,88900.0,62800.0,69500.0,0.0,47200.0,103100.0,131000.0,0.0,103500.0,137700.0,331400.0,164595.53,256095.53,373895.53,500470.89,55200.0,106207.97,198338.07,213200.0,40000.0,91100.0
取得子公司及其他营业单位支付的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24595.53,0.0,0.0,0.0,0.0,0.0,0.0
支付的其他与投资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
