报表日期,2012-12-31,2013-12-31,2014-12-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31
销售商品、提供劳务收到的现金,32735.39,30000.02,29543.56,16184.69,27720.47,36432.18,8039.78,14284.0,22881.78,29802.94,8527.11,15301.45,24594.3,34019.17,9358.06,19553.72,25227.57,31729.49,5678.63,10318.09,15809.66,19099.52,3974.45,6783.46,11221.57,17056.15,5747.03,9481.3,13148.71,19669.87,5336.07
收到的税费返还,81.55,336.62,105.01,164.52,172.28,302.02,88.55,147.62,228.93,374.39,601.19,781.68,977.13,1109.02,47.49,126.88,572.82,657.23,92.83,142.35,147.8,55.92,140.88,230.39,284.34,173.99,3.76,402.97,402.97,393.32,0.0
收到的其他与经营活动有关的现金,1244.38,1018.97,847.86,577.29,671.14,785.75,614.3,1217.52,1272.06,239.92,437.33,753.19,1511.11,1729.67,438.22,720.36,1443.09,1074.3,890.4,2497.9,3143.09,1295.12,445.77,789.35,1028.48,6340.87,6492.74,20419.27,22258.73,342.14,314.92
经营活动现金流入小计,34061.32,31355.62,30496.44,16926.5,28563.89,37519.95,8742.63,15649.15,24382.77,30417.25,9565.64,16836.32,27082.54,36857.86,9843.77,20400.96,27243.47,33461.01,6661.87,12958.35,19100.55,20450.55,4561.11,7803.21,12534.39,23571.01,12243.53,30303.53,35810.4,20405.33,5650.99
购买商品、接受劳务支付的现金,15673.11,17081.14,15035.43,6783.57,14642.85,17622.14,5340.62,9779.55,14951.41,17592.69,5761.56,11392.68,17402.4,26285.84,5192.19,9534.72,14305.28,17335.56,2605.1,4716.33,7124.81,8108.0,1877.96,4141.41,8491.23,11021.53,2169.52,8076.4,17959.54,19537.5,1724.86
支付给职工以及为职工支付的现金,6347.47,7024.57,7447.89,3969.14,5640.06,7746.69,1768.21,3410.43,4823.98,6611.32,1750.53,3636.26,5642.48,8488.89,1533.08,3434.51,5313.68,8117.96,1324.32,2626.02,4238.86,5828.06,981.16,2075.94,3112.41,4582.21,1288.51,2438.49,3585.33,4755.99,734.43
支付的各项税费,4442.84,4876.82,3995.04,2906.33,4166.72,4605.82,1362.03,1905.43,3307.63,4505.39,1266.15,1767.67,2791.93,3219.59,1037.42,1470.24,2303.84,2576.44,789.04,1275.15,1494.4,1480.89,172.25,1287.66,1562.05,1695.77,713.31,835.71,1172.63,1739.47,653.66
支付的其他与经营活动有关的现金,5431.06,4500.49,3406.56,2420.15,3569.52,3803.32,2371.07,2349.2,3930.88,4579.83,1952.39,3042.86,4850.93,4400.15,1604.21,3065.17,4600.63,3372.4,1629.87,2959.16,4319.23,2746.73,913.21,1299.03,2315.0,2255.61,6948.59,17130.08,20403.04,2778.49,679.63
经营活动现金流出小计,31894.49,33483.03,29884.92,16079.18,28019.15,33777.95,10841.92,17444.61,27013.9,33289.23,10730.63,19839.47,30687.74,42394.47,9366.91,17504.64,26523.43,31402.36,6348.33,11576.66,17177.31,18163.69,3944.58,8804.04,15480.69,19555.11,11119.92,28480.68,43120.55,28811.45,3792.57
经营活动产生的现金流量净额,2166.83,-2127.41,611.51,847.32,544.74,3742.0,-2099.3,-1795.46,-2631.13,-2871.98,-1164.99,-3003.15,-3605.19,-5536.61,476.86,2896.32,720.04,2058.65,313.54,1381.69,1923.24,2286.87,616.52,-1000.83,-2946.3,4015.9,1123.6,1822.86,-7310.14,-8406.13,1858.41
收回投资所收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,24500.0,24500.0,29800.0,2800.0,9900.0,16500.0,22750.0,0.0,10040.0,10040.0,18616.34,0.0,4270.0,8220.0,8271.25,0.0,5800.0,5800.0,11600.0,0.0
取得投资收益所收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.81,115.35,115.35,172.42,61.86,111.76,183.01,206.96,0.0,48.51,48.51,0.0,0.0,33.18,51.25,0.0,0.0,15.16,15.16,14.3,0.0
处置固定资产、无形资产和其他长期资产所收回的现金净额,1.7,7.0,0.0,0.0,0.7,0.8,0.0,3.92,5.07,11.88,16.52,7.15,12.09,25.83,0.03,13.21,19.46,22.38,6.9,6.9,7.25,9.51,0.0,2208.0,4458.0,4461.77,0.0,0.0,0.17,0.17,0.0
处置子公司及其他营业单位收到的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4855.06,4855.06,0.0
收到的其他与投资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1845.0,0.0
投资活动现金流入小计,1.7,7.0,0.0,0.0,0.7,0.8,0.0,3.92,5.07,11.88,10085.33,24622.5,24627.44,29998.25,2861.89,10024.97,16702.47,22979.34,6.9,10095.41,10095.76,18669.54,0.0,6511.18,12729.25,12733.02,0.0,5815.16,10670.39,18314.53,0.0
购建固定资产、无形资产和其他长期资产所支付的现金,789.81,645.96,684.09,700.32,791.32,1153.12,69.67,532.28,696.06,1627.4,166.95,1797.5,3146.64,3179.89,592.21,1113.06,1533.35,2470.8,822.72,1160.2,1966.81,2583.89,393.48,698.67,1565.4,1796.77,56.22,420.78,2261.52,7164.16,62.84
投资所支付的现金,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,6500.0,14500.0,22600.0,22600.0,3000.0,13700.0,13700.0,19950.0,5360.0,10040.0,14260.0,18520.0,4270.0,8220.0,8220.0,14020.0,0.0,5800.0,5800.0,5800.0,0.0
取得子公司及其他营业单位支付的现金净额,3687.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
支付的其他与投资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5720.22,0.0
投资活动现金流出小计,4632.6,645.96,684.09,700.32,791.32,1153.12,69.67,532.28,696.06,11627.4,6666.95,16297.5,25746.64,25779.89,3592.21,14813.06,15233.35,22420.8,6182.72,11200.2,16226.81,21103.89,4663.48,8918.67,9785.4,15816.77,56.22,6220.78,8061.52,18684.38,62.84
投资活动产生的现金流量净额,-4630.9,-638.96,-684.09,-700.32,-790.62,-1152.32,-69.67,-528.36,-690.99,-11615.52,3418.38,8325.0,-1119.2,4218.37,-730.32,-4788.09,1469.12,558.54,-6175.82,-1104.79,-6131.05,-2434.35,-4663.48,-2407.49,2943.85,-3083.76,-56.22,-405.62,2608.86,-369.85,-62.84
吸收投资收到的现金,8174.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其中：子公司吸收少数股东投资收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
取得借款收到的现金,218.64,100.0,789.19,800.0,1400.0,1400.0,0.0,1000.0,1820.0,1820.0,0.0,1000.0,1900.0,1900.0,0.0,0.0,200.0,200.0,1400.0,1400.0,1400.0,1400.0,0.0,0.0,0.0,0.0,2000.0,2000.0,2000.0,2000.0,0.0
发行债券收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到其他与筹资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.0,266.0,0.0
筹资活动现金流入小计,8393.61,100.0,789.19,800.0,1400.0,1400.0,0.0,1000.0,1820.0,20345.0,0.0,1000.0,1900.0,1900.0,0.0,0.0,200.0,200.0,1400.0,1400.0,1400.0,1400.0,0.0,0.0,0.0,0.0,2000.0,2000.0,2266.0,2266.0,0.0
偿还债务支付的现金,705.0,18.64,639.19,375.2,987.8,1050.0,300.0,600.0,600.0,600.0,108.8,1073.1,1803.4,1820.0,800.5,1400.0,1900.0,1900.0,0.0,0.0,1200.0,1200.0,400.0,400.0,400.0,400.0,0.0,0.0,0.0,0.0,0.0
分配股利、利润或偿付利息所支付的现金,29.75,0.8,32.41,16.05,30.66,39.67,2.05,5.31,25.44,59.42,26.43,49.01,588.76,596.9,19.01,32.63,299.77,307.25,14.31,37.14,158.14,164.3,2.23,2.23,2.23,4.19,0.0,29.56,50.0,50.0,0.0
其中：子公司支付给少数股东的股利、利润,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
支付其他与筹资活动有关的现金,157.75,23.65,86.54,18.21,21.28,113.41,13.61,17.47,24.23,927.0,11.14,138.9,153.3,32.07,3.07,18.53,25.73,32.93,7.2,7.2,16.28,38.88,0.0,7.92,15.84,15.84,2018.19,2018.16,2030.51,117.26,44.64
筹资活动现金流出小计,892.5,43.09,758.15,409.46,1039.74,1203.08,315.66,622.78,649.67,1586.42,146.38,1261.01,2545.46,2448.97,822.59,1451.16,2225.5,2240.18,21.51,44.34,1374.42,1403.18,402.23,410.15,418.07,420.03,2018.19,2047.72,2080.51,167.26,44.64
筹资活动产生的现金流量净额,7501.11,56.91,31.05,390.54,360.26,196.92,-315.66,377.22,1170.33,18758.58,-146.38,-261.01,-645.46,-548.97,-822.59,-1451.16,-2025.5,-2040.18,1378.49,1355.66,25.58,-3.18,-402.23,-410.15,-418.07,-420.03,-18.19,-47.72,185.49,2098.74,-44.64
四、汇率变动对现金及现金等价物的影响,-16.15,-24.74,5.11,0.04,-7.29,-15.33,-12.94,10.36,7.03,-3.75,-0.66,-16.64,-16.71,-10.33,-1.87,-2.7,0.05,0.53,-3.42,-3.38,-3.85,-26.72,3.15,2.96,2.56,-2.46,0.0,-0.85,-0.84,-0.92,-0.0
五、现金及现金等价物净增加额,5020.89,-2734.2,-36.42,537.58,107.09,2771.27,-2497.56,-1936.23,-2144.77,4267.33,2106.35,5044.2,-5386.56,-1877.54,-1077.92,-3345.63,163.7,577.54,-4487.21,1629.17,-4186.08,-177.38,-4446.04,-3815.51,-417.97,509.65,1049.19,1368.67,-4516.63,-6678.16,1750.93
加:期初现金及现金等价物余额,2397.18,7418.07,4683.87,4647.45,4647.45,4647.45,7418.72,7418.72,7418.72,7418.72,11686.05,11686.05,11686.05,11686.05,9808.5,9808.5,9808.5,9808.5,10386.04,10386.04,10386.04,10386.04,10208.66,10208.66,10208.66,10208.66,10718.32,10718.32,10718.32,10718.32,4040.16
六、期末现金及现金等价物余额,7418.07,4683.87,4647.45,5185.03,4754.54,7418.72,4921.16,5482.49,5273.95,11686.05,13792.4,16730.25,6299.49,9808.5,8730.58,6462.87,9972.21,10386.04,5898.83,12015.21,6199.96,10208.66,5762.62,6393.15,9790.7,10718.32,11767.51,12086.99,6201.69,4040.16,5791.09
净利润,4501.72,3945.63,3878.79,1322.37,0.0,3950.4,0.0,1231.81,0.0,3022.01,0.0,846.88,0.0,1616.82,0.0,708.33,0.0,643.34,0.0,-792.45,0.0,-6843.03,0.0,650.13,0.0,-5124.83,0.0,-1746.77,0.0,1327.69,0.0
少数股东权益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
未确认的投资损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
资产减值准备,569.69,452.01,667.0,60.97,0.0,309.21,0.0,170.38,0.0,1241.74,0.0,89.38,0.0,886.07,0.0,-66.09,0.0,1383.92,0.0,-26.86,0.0,4626.78,0.0,6.4,0.0,3752.0,0.0,192.61,0.0,2292.33,0.0
固定资产折旧、油气资产折耗、生产性物资折旧,608.19,452.35,470.11,352.51,0.0,456.71,0.0,225.79,0.0,417.41,0.0,229.52,0.0,506.3,0.0,321.75,0.0,782.82,0.0,402.49,0.0,913.72,0.0,405.11,0.0,761.39,0.0,444.17,0.0,1132.9,0.0
无形资产摊销,0.0,51.26,53.5,0.0,0.0,53.68,0.0,26.84,0.0,52.74,0.0,33.34,0.0,77.02,0.0,52.76,0.0,111.18,0.0,57.68,0.0,542.93,0.0,50.65,0.0,89.99,0.0,25.35,0.0,48.37,0.0
长期待摊费用摊销,0.0,170.53,188.62,0.0,0.0,187.9,0.0,93.92,0.0,185.22,0.0,58.51,0.0,103.8,0.0,38.6,0.0,96.91,0.0,76.09,0.0,-0.99,0.0,69.62,0.0,241.29,0.0,81.78,0.0,148.14,0.0
待摊费用的减少,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预提费用的增加,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
处置固定资产、无形资产和其他长期资产的损失,15.68,1.56,1.42,1.21,0.0,1.76,0.0,-2.19,0.0,-4.66,0.0,26.91,0.0,28.53,0.0,7.98,0.0,3.49,0.0,2.22,0.0,24.65,0.0,-1696.35,0.0,-1883.21,0.0,0.06,0.0,137.46,0.0
固定资产报废损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,0.0,6.11,0.0,7.97,0.0,25.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.33,0.0,0.0,0.0,1.38,0.0
公允价值变动损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
递延收益增加（减：减少）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预计负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
财务费用,76.09,55.83,57.7,39.73,0.0,85.9,0.0,4.69,0.0,93.93,0.0,66.12,0.0,154.77,0.0,48.23,0.0,81.44,0.0,62.49,0.0,122.06,0.0,14.77,0.0,23.67,0.0,39.27,0.0,80.61,0.0
投资损失,36.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-108.82,0.0,-172.42,0.0,-105.43,0.0,-195.25,0.0,-45.76,0.0,-91.38,0.0,-9.82,0.0,-48.35,0.0,-14.3,0.0,-5820.18,0.0
递延所得税资产减少,-163.8,-11.62,-142.32,-4.11,0.0,-84.96,0.0,-44.3,0.0,-191.68,0.0,13.54,0.0,-23.4,0.0,0.77,0.0,-183.38,0.0,24.91,0.0,-1225.12,0.0,254.17,0.0,884.44,0.0,-34.49,0.0,205.59,0.0
递延所得税负债增加,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
存货的减少,-1383.31,6195.47,133.53,-3196.44,0.0,-276.8,0.0,64.13,0.0,-465.36,0.0,-3886.02,0.0,-4674.59,0.0,-2573.24,0.0,2527.97,0.0,-259.98,0.0,1601.76,0.0,-1996.78,0.0,-2493.02,0.0,-4981.39,0.0,-3497.7,0.0
经营性应收项目的减少,-5104.8,-2957.39,-6286.4,80.44,0.0,720.6,0.0,-2127.45,0.0,-5503.82,0.0,-4585.66,0.0,-4371.78,0.0,1309.19,0.0,2003.52,0.0,3767.91,0.0,6389.07,0.0,933.65,0.0,337.97,0.0,3666.25,0.0,-16591.43,0.0
经营性应付项目的增加,2544.54,-10573.95,2017.74,2673.79,0.0,-1384.16,0.0,-1923.81,0.0,-1621.62,0.0,4524.44,0.0,326.14,0.0,3145.51,0.0,-5222.39,0.0,-1887.05,0.0,-3773.58,0.0,316.09,0.0,7470.23,0.0,4151.18,0.0,12128.69,0.0
已完工尚未结算款的减少(减:增加),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
已结算尚未完工款的增加(减:减少),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他,466.54,90.9,-428.17,-483.15,0.0,-278.24,0.0,484.71,0.0,-97.9,0.0,-312.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53,0.0,0.0,0.0,-0.88,0.0,0.0,0.0
经营活动产生现金流量净额,2166.83,-2127.41,611.51,847.32,0.0,3742.0,0.0,-1795.46,0.0,-2871.98,0.0,-3003.15,0.0,-5536.61,0.0,2896.32,0.0,2058.65,0.0,1381.69,0.0,2286.87,0.0,-1000.83,0.0,4015.9,0.0,1822.86,0.0,-8406.13,0.0
债务转为资本,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的可转换公司债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
融资租入固定资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
