报表日期,2009-12-31,2010-12-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30
销售商品、提供劳务收到的现金,6453.46,11281.77,8789.55,12242.87,18272.65,3604.69,8623.36,13214.63,19652.96,6099.4,14376.75,23527.86,31628.16,7449.14,15875.87,34973.65,50060.6,20829.16,37948.88,61603.65,96974.45,22115.47,49958.48,78748.17,119280.28,34558.5,73030.63,102664.59,163274.43,41215.56,95384.65,156143.3,234195.91,57761.59,114952.44,186021.15
收到的税费返还,0.0,0.0,0.0,216.07,0.0,0.0,319.54,328.78,9.9,0.0,47.55,138.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.02,0.0,0.0,0.0
收到的其他与经营活动有关的现金,2564.25,396.59,496.32,1697.23,287.08,279.52,119.51,385.51,723.47,455.72,564.36,1371.1,2720.62,107.03,490.69,1978.84,3547.23,1090.34,1090.73,1409.03,4557.06,1147.47,1491.56,2633.54,4822.66,6989.65,1751.32,7464.23,9547.98,9847.57,12085.36,12972.86,5897.23,1827.53,6187.48,7084.39
经营活动现金流入小计,9017.71,11678.37,9285.87,14156.16,18559.73,3884.21,9062.42,13928.92,20386.33,6555.12,14988.66,25037.75,34348.78,7556.16,16366.56,36952.49,53607.84,21919.5,39039.61,63012.69,101531.5,23262.94,51450.04,81381.71,124105.3,41548.15,74781.95,110128.82,172822.41,51063.13,107470.0,169116.16,240414.16,59589.11,121139.92,193105.54
购买商品、接受劳务支付的现金,3170.18,3997.34,2698.39,4418.04,5918.78,1564.38,3116.02,3681.3,7102.12,2119.7,6028.6,9279.09,10855.38,3440.72,6561.78,13024.05,17710.36,5322.29,9756.62,15332.67,26178.86,9011.35,12131.49,14956.16,37668.39,9795.95,22444.72,32086.52,51921.51,13368.12,31647.6,54159.69,75787.77,19243.4,35679.05,49058.45
支付给职工以及为职工支付的现金,1071.34,3132.12,2361.67,3732.65,5300.26,1881.04,3117.68,5557.57,7421.89,2692.73,5030.65,7629.9,10331.78,3977.02,6462.14,13809.72,21483.03,7088.02,16136.92,20670.95,35566.96,8749.33,25463.93,36765.0,49032.86,12757.13,29185.26,43939.29,61007.18,21099.37,38930.77,50784.87,80160.17,23958.33,51518.53,77379.13
支付的各项税费,343.43,463.13,784.8,1374.61,1533.31,519.11,952.06,1456.55,1751.05,666.1,1458.49,1920.91,2640.09,762.44,1822.9,3563.08,4112.36,1318.26,3218.32,4893.96,5928.05,2138.27,4809.05,7220.15,7177.73,2066.14,6912.33,10243.14,12708.79,3552.74,7819.38,11425.06,14355.77,5260.3,12038.73,17232.37
支付的其他与经营活动有关的现金,2237.93,1427.19,1052.12,1632.5,1938.22,356.76,1065.78,1100.21,2613.02,748.9,1162.52,1612.4,2811.57,1091.56,1990.96,5063.61,5935.99,5571.63,4777.66,15236.43,15284.42,5786.5,6907.13,16561.06,11035.21,8030.03,5231.54,9991.72,15687.85,4474.27,9195.12,18299.43,17886.18,6011.63,9297.4,15405.91
经营活动现金流出小计,6822.88,9019.79,6896.99,11157.81,14690.58,4321.28,8251.55,11795.62,18888.08,6227.43,13680.25,20442.3,26638.83,9271.74,16837.79,35460.47,49241.75,19300.19,33889.52,56134.01,82958.29,25685.44,49311.61,75502.37,104914.21,32649.25,63773.86,96260.68,141325.33,42494.51,87592.86,134669.05,188189.89,54473.65,108533.71,159075.87
经营活动产生的现金流量净额,2194.83,2658.58,2388.88,2998.35,3869.16,-437.08,810.87,2133.3,1498.25,327.69,1308.41,4595.45,7709.96,-1715.58,-471.23,1492.02,4366.09,2619.31,5150.09,6878.67,18573.21,-2422.5,2138.43,5879.34,19191.1,8898.9,11008.09,13868.14,31497.09,8568.62,19877.14,34447.11,52224.27,5115.46,12606.21,34029.67
收回投资所收到的现金,500.0,0.0,8015.0,0.0,12786.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,52198.7,0.0,7850.0,8087.39,35703.55,800.0,18900.0,32285.02,56350.47,13024.0,33770.34,59511.01,66122.38,6716.11,18562.47,34306.39,58580.85,4283.42,4672.5,7970.18
取得投资收益所收到的现金,0.1,2.61,73.26,79.1,70.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.92,0.0,114.21,114.21,505.94,9.39,61.02,61.99,99.28,3.18,186.29,251.75,2217.39,4.99,1484.29,3766.38,5597.31,216.86,8891.02,10822.59,1630.77,1710.66,5369.69,11060.17
处置固定资产、无形资产和其他长期资产所收回的现金净额,0.0,150.01,0.0,3.83,6.82,0.0,0.0,0.0,0.06,0.0,0.2,0.63,0.66,0.0,0.18,0.26,0.56,0.0,17.67,701.93,272.86,9.09,467.49,492.79,1302.3,0.0,12.66,13.99,784.74,203.51,141.6,243.33,49.21,475.21,495.22,519.94
处置子公司及其他营业单位收到的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,600.0,600.0,600.0,522.77,0.0,0.0,0.0,0.0,0.0,0.0,89.2,1820.21,0.0,-1933.74,-1933.74,-1743.74,2800.0,3462.24,0.0
收到的其他与投资活动有关的现金,0.0,0.0,0.0,0.0,324.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,7800.0,7800.0,0.0,2237.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1097.34,0.0,0.0,0.0
投资活动现金流入小计,500.1,152.62,8088.26,82.93,13188.58,0.0,0.0,0.0,0.06,0.0,0.2,0.63,45.58,600.0,7914.39,7935.48,52726.2,2846.78,8528.68,9451.31,36598.46,812.26,19553.78,33029.55,59870.17,13028.99,35267.29,63380.58,74324.64,7136.48,25661.36,43438.58,59614.43,9269.3,13999.66,19550.28
购建固定资产、无形资产和其他长期资产所支付的现金,1387.87,829.02,555.16,1209.31,1624.09,609.52,982.69,2369.11,2168.97,1998.45,1978.71,1675.11,3744.62,705.23,2124.54,6005.12,3810.39,1617.82,1591.23,3214.4,8708.07,343.95,1703.04,2851.76,6165.92,600.89,3055.68,4444.62,4596.35,1650.42,5531.66,6162.95,9171.81,2568.2,5735.8,10177.97
投资所支付的现金,250.0,1400.0,6400.0,0.0,11100.0,0.0,0.0,0.0,100.0,623.33,3493.0,2493.0,1893.0,5535.83,8264.55,2770.0,50975.34,1605.0,9590.22,9824.47,52831.51,23090.56,34845.02,48150.71,97916.69,9722.53,32557.38,67351.61,100771.68,13994.16,22967.26,40678.44,84292.28,12441.23,24262.92,40520.01
