报表日期,2008-12-31,2009-12-31,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30
销售商品、提供劳务收到的现金,9492.42,9260.29,15974.99,1908.26,6855.86,11942.52,20261.85,2003.87,6630.67,11983.11,23518.85,5068.06,12152.43,18518.79,27213.73,2185.79,8897.71,14631.17,26393.36,2206.01,7712.32,15238.36,38209.84,8301.91,22948.54,36616.62,64954.46,19935.13,45899.11,72022.37,120513.4,24961.15,54801.34,74742.27,119666.93,20238.32,43486.58,62180.45,100845.74,14970.36,34722.12
收到的税费返还,114.84,418.73,266.4,301.81,218.65,218.65,403.5,104.13,497.81,497.81,708.14,0.0,0.0,729.51,1235.39,88.47,178.01,247.72,1060.75,468.46,645.72,1047.25,1453.91,215.02,990.62,1349.28,1746.27,222.26,510.95,2515.67,2748.78,963.29,1541.37,2280.08,5043.05,630.47,1497.06,2358.54,2725.18,252.87,822.41
收到的其他与经营活动有关的现金,568.02,508.64,1409.58,29.54,286.01,842.26,1664.54,32.52,473.87,965.16,2374.7,813.25,1803.75,2546.14,3143.05,1227.52,1460.91,2735.0,3015.28,803.83,1233.06,2091.0,3872.39,733.84,1612.32,2501.04,3872.61,1714.48,2180.37,4830.06,5622.86,887.03,5036.43,9229.93,6864.31,2681.68,5294.92,10293.82,6116.99,1457.93,9636.16
经营活动现金流入小计,10175.28,10187.65,17650.98,2239.6,7360.52,13003.43,22329.89,2140.51,7602.35,13446.09,26601.7,5881.31,13956.18,21794.45,31592.16,3501.78,10536.62,17613.88,30469.39,3478.3,9591.1,18376.61,43536.14,9250.77,25551.48,40466.93,70573.33,21871.87,48590.43,79368.09,128885.04,26811.47,61379.14,86252.27,131574.29,23550.47,50278.56,74832.81,109687.92,16681.16,45180.69
购买商品、接受劳务支付的现金,3258.24,3848.24,7172.47,501.25,2300.91,5073.09,9946.31,973.33,3467.04,5908.4,8691.28,3526.15,8572.76,11058.26,15496.12,1803.21,5092.41,5758.25,13131.39,1746.72,3449.49,7295.65,13435.78,7043.75,12797.01,20130.45,30435.91,16227.58,29441.14,44235.65,62575.91,24004.23,42118.33,58320.76,78797.63,17811.42,30947.0,44148.58,46667.8,12071.98,22815.53
支付给职工以及为职工支付的现金,1708.57,1863.18,2645.69,826.79,1718.17,2626.59,3440.15,1304.34,2323.11,3448.79,4882.57,1628.87,3073.03,4759.18,6557.96,2249.12,4008.37,5873.4,7559.15,2314.77,4440.2,6607.67,8977.77,3648.81,6386.3,9682.84,12979.88,5789.94,10137.49,15597.71,20791.96,8709.73,14811.37,21546.37,30511.4,9562.16,16016.89,22517.54,30457.23,10261.18,15987.96
支付的各项税费,1048.31,1298.77,1563.74,412.55,667.49,1396.84,1991.9,317.52,629.7,950.84,1656.12,923.69,1272.76,1684.67,1940.86,451.94,567.7,832.55,1642.59,1041.76,2031.24,3210.14,4486.41,1124.54,3110.8,4201.64,6675.75,2212.28,4374.53,5983.24,9169.25,2632.79,4890.87,7557.2,10831.34,3635.46,6415.71,8185.75,9434.44,1491.78,2785.97
支付的其他与经营活动有关的现金,2153.21,2199.34,2628.56,693.01,1315.95,2126.55,2873.2,585.5,1308.37,2657.69,3852.23,970.32,2935.73,4027.95,4015.08,1003.54,1966.34,3743.58,5006.0,1404.33,3129.87,6335.5,9119.37,2075.97,4621.28,8043.31,11311.69,5017.24,8177.25,12693.22,16185.65,4096.44,8501.09,15075.47,18420.97,7940.98,11386.1,18744.6,22773.83,2267.75,13901.86
经营活动现金流出小计,8168.33,9209.52,14010.46,2433.61,6002.53,11223.06,18251.57,3180.68,7728.21,12965.73,19082.2,7049.04,15854.28,21530.06,28010.02,5507.81,11634.83,16207.77,27339.12,6507.58,13050.8,23448.96,36019.34,13893.07,26915.39,42058.25,61403.23,29247.04,52130.4,78509.82,108722.77,39443.19,70321.66,102499.8,138561.35,38950.02,64765.7,93596.47,109333.3,26092.68,55491.32
经营活动产生的现金流量净额,2006.95,978.13,3640.52,-194.0,1357.99,1780.37,4078.32,-1040.18,-125.86,480.36,7519.5,-1167.73,-1898.1,264.39,3582.14,-2006.03,-1098.2,1406.11,3130.27,-3029.28,-3459.7,-5072.35,7516.8,-4642.3,-1363.9,-1591.31,9170.1,-7375.17,-3539.96,858.27,20162.27,-12631.72,-8942.53,-16247.52,-6987.06,-15399.55,-14487.14,-18763.66,354.62,-9411.52,-10310.64
收回投资所收到的现金,0.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5500.0,3000.0,5557.62,5580.62,12872.62,5507.0,8421.0,17244.0,27284.35,5000.78,18860.78,21960.78,30406.72,3730.0,14800.0
取得投资收益所收到的现金,12.78,10.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,205.0,233.3,10.22,174.22,174.22,205.96,27.19,209.1,236.0,16466.94,5187.73,7282.42,7293.54,4229.53,34.73,1096.44
处置固定资产、无形资产和其他长期资产所收回的现金净额,23.0,4.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,0.0,14.1,14.1,14.1,0.0,0.0,9.5,23.37,0.0,0.44,0.72,0.72,0.02,22.02,22.02,22.98,0.0,0.0,2.6,2.6,6.43,9.06,12.45,67.04,0.0,33.13
处置子公司及其他营业单位收到的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,550.0,550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
收到的其他与投资活动有关的现金,0.0,33.42,609.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.89,70.89,11064.07,1500.0,0.0,0.0,0.0,0.0,1000.0,11000.0,11000.0,11000.0,0.0,0.0,0.0,0.0,5000.0,5000.0,5000.0,0.0,0.0,0.0
投资活动现金流入小计,35.78,209.69,609.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,0.0,14.1,14.1,14.1,70.89,620.89,11623.57,2073.37,0.0,205.44,205.72,5734.02,4010.24,16753.85,16776.86,24101.56,5534.19,8630.1,17482.6,43753.89,15194.93,31152.26,34266.77,34703.29,3764.73,16929.58
购建固定资产、无形资产和其他长期资产所支付的现金,69.19,751.7,3214.93,21.22,2014.47,2167.42,5074.08,477.55,1769.13,2727.91,2596.96,25.6,232.54,1757.47,1728.44,4541.99,5007.25,5041.8,7620.86,181.57,773.07,1086.99,1203.79,53.41,711.65,7687.45,7884.83,83.15,916.18,1946.5,2532.08,189.62,662.93,866.6,926.55,511.92,566.19,627.92,2730.88,23.29,3544.51
