报表日期,2011-12-31,2012-12-31,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
销售商品、提供劳务收到的现金,36569.43,42993.0,46616.99,10880.73,23776.86,40602.39,52542.85,12713.5,25558.04,41515.73,59086.74,13712.81,26636.94,42711.11,57464.64,13606.48,29743.5,47506.08,67325.19,19528.51,33475.09,53509.39,80146.99,22685.87
收到的税费返还,1524.18,1616.25,1396.63,628.85,632.46,1432.56,1957.31,551.78,969.03,1578.67,2329.22,545.97,1295.93,1928.17,2274.03,436.6,723.53,1341.82,1688.16,513.27,1095.08,1610.49,2073.15,425.82
收到的其他与经营活动有关的现金,58.23,890.17,410.22,8.49,18.72,185.26,108.52,1236.44,153.8,623.5,315.44,32.73,134.25,656.9,847.35,74.03,287.71,400.49,406.75,59.69,657.27,675.24,650.51,355.29
经营活动现金流入小计,38151.85,45499.43,48423.84,11518.07,24428.05,42220.2,54608.68,14501.73,26680.87,43717.9,61731.4,14291.5,28067.12,45296.18,60586.02,14117.11,30754.74,49248.38,69420.1,20101.48,35227.44,55795.12,82870.65,23466.99
购买商品、接受劳务支付的现金,20055.82,21236.29,21803.27,5051.69,10464.33,18387.33,24081.23,6827.82,13622.36,20977.09,29927.29,7322.48,12817.12,22287.75,27738.07,7648.15,14391.37,24048.84,33122.63,12645.57,15645.82,25852.89,38597.18,10363.37
支付给职工以及为职工支付的现金,8430.22,9631.49,12134.72,2750.29,6145.88,9259.22,12698.71,3349.35,7563.46,11219.86,15216.05,3463.58,7060.96,10608.29,15016.21,3903.62,7938.01,12393.18,18327.16,5091.54,9506.56,14919.85,21791.51,6955.34
支付的各项税费,2522.46,3439.07,3862.13,581.46,1462.7,3352.79,3493.13,702.74,1690.54,3346.6,3867.43,879.34,2188.61,3434.93,3682.79,949.03,2346.32,3716.68,3924.35,1269.6,2364.06,3809.72,3914.16,1661.33
支付的其他与经营活动有关的现金,2735.75,2869.17,3338.4,2046.6,2035.62,5065.69,3601.27,2185.6,2277.52,4674.22,4574.02,1524.76,3544.91,5612.31,5614.16,1946.58,4290.53,6432.98,6611.57,2417.15,5126.77,8744.97,9578.91,3399.9
经营活动现金流出小计,33744.26,37176.01,41138.53,10430.04,20108.53,36065.03,43874.34,13065.51,25153.88,40217.76,53584.79,13190.16,25611.6,41943.28,52051.22,14447.38,28966.23,46591.67,61985.72,21423.86,32643.21,53327.44,73881.77,22379.94
经营活动产生的现金流量净额,4407.59,8323.41,7285.31,1088.03,4319.52,6155.17,10734.35,1436.21,1526.99,3500.14,8146.61,1101.34,2455.52,3352.9,8534.8,-330.27,1788.51,2656.71,7434.38,-1322.38,2584.23,2467.68,8988.89,1087.05
