报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31
销售商品、提供劳务收到的现金,15610.79,48572.43,76399.35,134184.88,29812.03,36577.45,56299.9,91005.51,45557.43,82878.36,128444.46,228191.97,49202.23,115032.22,164692.19,261913.71,58647.46,120829.57,179618.09,688873.69,137565.59,320665.11,540889.21,912840.63,282272.08,540721.77,847213.27,1205254.52,311014.97,573712.89,912596.45,1115819.9,269012.82,507053.94,967552.51,1365311.01,364228.64,742480.74,1100536.08,1550411.47,431505.47,1249875.18,1840196.03,2367397.05,622793.26,1230079.19,1766071.55,2369693.32,604212.63,1306514.64,1816966.84,2442570.96,641794.02,1352569.45,1933690.61,2525414.99,624563.36
收到的税费返还,571.83,1319.44,1582.2,1931.79,635.93,859.51,1489.24,2107.1,698.21,1242.6,2069.63,3590.57,1222.95,1659.19,2413.27,3979.41,1031.42,2111.77,2982.96,11209.56,3750.75,5767.71,12985.85,14269.19,3106.85,6364.31,10630.82,13347.01,3820.46,7122.53,10788.29,11536.2,4082.34,5881.5,8993.26,4516.34,5935.97,6901.34,11182.49,3039.54,3226.88,6308.81,8798.88,9701.14,2860.16,11567.19,10756.91,9169.45,4011.77,7056.87,9256.81,11095.51,3390.55,6056.14,9263.97,11460.61,4210.07
收到的其他与经营活动有关的现金,1293.72,325.73,3077.93,1520.62,368.39,1397.56,1673.49,6257.84,2996.65,6041.25,6169.22,6989.76,1125.74,855.92,1571.13,2084.77,1136.15,432.53,3656.16,8506.09,2822.71,6396.13,11478.82,13526.72,2688.65,2907.54,5346.59,13473.39,783.93,3714.61,4630.09,8502.27,1957.04,6536.28,20921.25,10509.76,3395.47,4967.9,6094.9,16320.96,2186.36,5257.32,6002.45,13082.25,1526.11,7135.89,7281.2,15589.95,2348.11,20802.39,22334.04,19974.13,3634.32,13313.28,30328.83,25585.81,10347.16
经营活动现金流入小计,17476.34,50217.6,81059.48,137637.29,30816.36,38834.53,59462.64,99370.45,49252.29,90162.21,136683.31,238772.3,51550.91,117547.34,168676.59,267977.89,60815.03,123373.86,186257.2,708589.33,144139.06,332828.95,565353.89,940636.54,288067.58,549993.62,863190.69,1232074.92,315619.36,584550.03,928014.83,1135858.37,275052.2,519471.72,997467.01,1380337.12,373560.07,754349.99,1117813.46,1569771.97,436918.71,1261441.31,1854997.37,2390180.44,627179.53,1248782.27,1784109.66,2394452.72,610572.5,1334373.9,1848557.69,2473640.6,648818.88,1371938.87,1973283.41,2562461.41,639120.59
购买商品、接受劳务支付的现金,13653.66,39062.12,60211.9,113892.36,22205.33,33898.33,53402.84,93366.43,50137.08,88448.88,131227.18,219339.86,41374.75,97664.58,145678.42,241239.18,50263.05,107203.59,157843.4,615820.43,109615.23,270624.66,471622.54,821336.31,252891.68,481240.01,753743.67,1047087.5,265777.47,491015.92,792220.85,934081.95,218738.56,413784.38,823658.32,1142837.02,284018.2,595722.82,887084.52,1211359.7,360377.41,1012903.5,1451308.16,1880806.93,504769.35,999938.94,1403886.78,1889715.0,542634.09,1069347.73,1439891.5,1895673.44,531252.0,1050678.8,1413065.84,1967094.05,532394.86
支付给职工以及为职工支付的现金,2562.89,4994.9,7373.31,10964.47,2785.69,5006.2,7019.48,10070.37,3010.4,5671.25,7989.12,10796.49,3671.53,6265.25,9320.5,12910.41,3978.02,7017.47,12318.16,37821.56,10226.45,24699.19,36401.86,54556.56,17053.05,34105.11,52026.99,75144.73,19331.16,35376.51,55455.03,83828.39,20548.27,38076.15,65891.46,97523.68,25189.21,48094.5,69689.91,115463.98,39991.53,143011.9,198647.05,268620.01,69985.31,137199.19,198988.84,278385.17,76038.29,142279.38,201960.25,288097.97,80165.42,148528.02,222054.79,291527.19,82421.61
支付的各项税费,725.49,1606.4,2262.37,3898.12,1368.73,3081.97,3707.51,3528.8,1027.05,1859.83,3107.88,4292.14,1579.09,2339.4,3330.94,5100.43,1481.47,3483.12,5100.46,18947.92,7949.88,15268.84,23608.2,27698.07,12277.54,21455.14,27650.83,30620.68,9524.96,17706.77,27169.04,30357.01,12416.75,20559.1,30880.81,39885.38,12293.25,24264.15,31918.87,37854.05,14256.3,29503.74,33374.09,36892.72,15023.29,29135.82,50350.67,39717.23,17877.9,27994.38,37481.64,47662.49,9241.73,20560.72,30583.55,30906.23,24504.49
支付的其他与经营活动有关的现金,4499.03,3715.16,5944.92,6329.24,2637.76,2016.88,3203.13,5068.32,1845.19,4668.98,6841.33,7779.72,1548.14,2635.24,3595.13,8999.14,1463.24,3107.76,4929.16,32326.39,12198.17,17636.51,27566.08,33128.83,10626.91,31208.71,42002.5,58521.59,13654.78,31897.46,42532.95,71722.29,10500.14,26187.07,54357.1,76140.23,25388.82,37942.69,61215.65,88999.09,14144.35,52380.17,62398.85,148718.18,17728.16,30215.43,71011.1,143452.74,18272.78,46487.99,62141.33,144904.79,23379.44,47978.5,83663.98,51611.01,25041.0
经营活动现金流出小计,21441.06,49378.58,75792.49,135084.19,28997.5,44003.38,67332.96,112033.92,56019.71,100648.94,149165.52,242208.21,48173.51,108904.47,161924.99,268249.16,57185.77,120811.95,180191.18,704916.3,139989.73,328229.21,559198.69,936719.77,292849.18,568008.97,875424.0,1211374.5,308288.37,575996.67,917377.88,1119989.65,262203.73,498606.7,974787.69,1356386.31,346889.48,706024.15,1049908.95,1453676.82,428769.59,1237799.31,1745728.15,2335037.83,607506.1,1196489.39,1724237.39,2351270.14,654823.06,1286109.48,1741474.71,2376338.68,644038.6,1267746.03,1749368.16,2341138.47,664361.96
经营活动产生的现金流量净额,-3964.72,839.01,5266.98,2553.1,1818.86,-5168.85,-7870.32,-12663.48,-6767.42,-10486.73,-12482.2,-3435.91,3377.41,8642.87,6751.61,-271.28,3629.26,2561.92,6066.03,3673.04,4149.32,4599.74,6155.2,3916.77,-4781.6,-18015.35,-12233.31,20700.42,7330.99,8553.36,10636.95,15868.72,12848.46,20865.02,22679.33,23950.8,26670.59,48325.84,67904.52,116095.15,8149.12,23641.99,109269.21,55142.61,19673.43,52292.89,59872.27,43182.58,-44250.56,48264.42,107082.98,97301.92,4780.28,104192.84,223915.26,221322.94,-25241.37
