报表日期,2014-12-31,2015-12-31,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31
销售商品、提供劳务收到的现金,73281.34,415374.36,1152466.43,340452.79,670118.91,1033313.07,1887290.86,256165.12,1134924.53,2107011.14,3385363.96,1287855.26,2483890.36,3803636.06,5214907.84,1225045.22,2401666.39,3637119.96,5400298.86,1969915.56,5108502.47,8362674.63,13061657.56,5297134.62
收到的税费返还,416.55,67.01,147.64,1323.64,631.5,1859.0,2101.32,13660.09,14517.85,30132.56,3712.77,29.94,10926.99,16329.89,39568.66,1031.62,3233.26,11448.29,15192.85,6846.38,14058.54,53534.7,41454.28,5300.29
收到的其他与经营活动有关的现金,1134.52,22117.35,42152.25,36250.54,23636.93,43876.53,52917.68,21151.47,56029.96,70492.07,227438.34,42149.84,78151.68,177483.69,376324.43,164162.63,243882.71,482531.63,639733.59,163760.55,409893.79,778211.64,1429854.93,279873.64
经营活动现金流入小计,74832.42,437558.72,1194766.33,378026.97,694387.34,1079048.61,1942309.86,290976.68,1205472.35,2207635.78,3616515.07,1330035.04,2572969.03,3997449.63,5630800.93,1390239.47,2648782.37,4131099.87,6055225.3,2140522.5,5532454.81,9194420.96,14532966.77,5582308.55
购买商品、接受劳务支付的现金,60100.92,230213.25,595491.73,272223.53,568081.92,933984.42,1235759.23,489997.12,874002.79,1258830.0,1904161.46,622193.8,1370089.13,2304608.38,3326008.1,819621.16,1618832.39,2482209.76,3346195.17,731194.96,2155976.88,5137949.45,8639387.63,4082255.29
支付给职工以及为职工支付的现金,9841.91,43755.43,124967.2,36985.28,95474.01,144794.01,212263.74,45166.17,97657.02,155432.04,229996.15,74869.34,175289.4,261121.23,370406.25,90362.1,190368.01,282336.09,402784.81,175928.36,421152.9,657157.15,942318.3,404397.14
支付的各项税费,2868.92,47455.42,155989.13,23887.08,54434.47,97352.84,149329.67,33909.89,67145.62,126980.07,186808.17,70106.93,165507.91,233247.6,268880.01,81801.45,134054.36,174590.86,226558.74,102129.26,252399.78,348017.19,412778.9,176024.18
支付的其他与经营活动有关的现金,15911.11,49681.21,107405.6,25557.73,38361.36,76253.8,110882.4,48886.95,60834.3,106050.61,163922.71,65179.84,134452.3,165979.47,318311.12,83779.73,122872.33,161370.68,236696.3,34582.86,128719.28,182673.32,247681.07,212043.31
经营活动现金流出小计,88722.86,371105.32,983853.66,358653.61,756351.75,1252385.06,1708235.04,617960.13,1099639.74,1647292.71,2484888.5,832349.92,1845338.73,2964956.68,4283605.48,1075564.44,2066127.08,3100507.39,4212235.03,1043835.44,2958248.84,6325797.11,10242165.9,4874719.91
经营活动产生的现金流量净额,-13890.44,66453.4,210912.67,19373.36,-61964.41,-173336.46,234074.82,-326983.45,105832.61,560343.07,1131626.57,497685.12,727630.29,1032492.95,1347195.46,314675.03,582655.29,1030592.48,1842990.26,1096687.06,2574205.97,2868623.86,4290800.87,707588.64
