报表日期,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
销售商品、提供劳务收到的现金,70629.57,160177.69,246058.55,343389.2,77260.91,166851.71,249655.68,342460.41,67351.09,150258.0,233220.8,334269.25,78174.77,170169.59,273629.19,391766.03,97856.8,204062.1,324215.57,454430.28,114159.54,237139.04,385432.31,557640.94,120845.02,269076.7,424693.89,587220.8,74899.74,199453.2,336570.92,506957.82,97146.01,230192.93,340330.58,474234.31,93019.23,169997.83,291349.1
收到的税费返还,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555.4,0.0,0.0,0.0,889.72,0.0,532.87,532.87,1159.92,6.99,206.47,4346.77
收到的其他与经营活动有关的现金,1273.03,1143.35,1062.06,1507.35,3590.62,0.0,0.0,1016.31,1145.04,0.0,0.0,1669.5,169.3,0.0,0.0,2241.59,407.23,0.0,0.0,4999.9,2404.06,0.0,0.0,5924.82,1454.84,1819.74,0.0,6396.38,1049.97,6064.93,0.0,7589.68,510.46,1057.48,1752.94,2929.9,1142.76,2144.7,3628.31
经营活动现金流入小计,71902.6,161321.04,247120.61,344896.55,80851.53,166851.71,249655.68,343476.72,68496.13,150258.84,233220.8,335938.75,78344.06,170169.59,273629.19,394007.61,98264.03,204062.1,324215.57,459430.18,116563.6,237139.04,385432.31,563565.76,122299.85,270896.44,424693.89,594172.59,75949.71,205518.13,336570.92,515437.23,97656.47,231783.28,342616.39,478324.13,94168.98,172349.0,299324.18
购买商品、接受劳务支付的现金,55039.85,121311.32,187152.01,259223.72,55459.69,112827.07,174785.57,244953.51,44454.03,100934.86,160854.28,242133.62,56006.26,126333.25,209318.91,308136.04,76326.95,163821.29,269549.72,371377.1,102383.98,194887.31,311215.15,450265.31,99101.57,215412.37,340879.28,462714.97,63691.87,169376.08,276955.78,418725.02,82904.61,188952.86,268785.89,366427.27,76745.02,141190.16,236219.8
支付给职工以及为职工支付的现金,6518.89,13556.79,17819.67,27528.66,7239.0,15001.51,22992.81,32521.88,9457.79,18995.55,27800.41,36423.47,12054.31,20809.45,29586.96,38722.59,11695.18,22208.28,32416.05,42306.56,12636.16,21797.65,32064.89,43653.23,10222.48,20252.45,30565.44,40631.52,7554.0,13628.15,19204.42,26240.28,8836.43,16544.2,23644.89,31220.67,9449.84,15809.22,22976.53
支付的各项税费,4464.17,8187.33,11682.49,15768.59,4502.96,7912.78,12053.37,16083.96,3978.38,8853.86,12684.8,16519.15,3670.69,7318.57,9995.51,12843.61,3696.08,6446.85,8892.77,12085.36,4607.95,8183.58,11480.51,15439.99,5406.31,10201.39,14004.26,17687.54,4634.17,8519.86,12389.66,16083.6,4977.4,8437.17,13853.77,18769.64,4661.72,5818.12,8931.95
支付的其他与经营活动有关的现金,7594.15,8017.73,20495.85,24451.86,3623.6,6185.97,15306.35,12973.74,4012.89,3324.89,5526.93,13394.06,2837.95,5458.05,8015.2,12879.32,2940.42,5248.29,8840.73,14553.01,5266.43,6630.18,10776.3,23909.25,4870.1,12650.28,11718.66,22634.79,4052.29,8294.64,3974.59,14069.02,3928.56,4875.63,7870.51,12679.99,3226.19,4783.57,7460.77
经营活动现金流出小计,73617.07,151073.17,237150.02,326972.82,70825.25,141927.32,225138.1,306533.09,61903.09,132109.16,206866.42,308470.3,74569.22,159919.32,256916.59,372581.56,94658.63,197724.71,319699.27,440322.03,124894.52,231498.73,365536.86,533267.78,119600.45,258516.49,397167.63,543668.82,79932.33,199818.72,312524.44,475117.92,100647.0,218809.86,314155.06,429097.57,94082.77,167601.07,275589.05
经营活动产生的现金流量净额,-1714.46,10247.87,9970.59,17923.73,10026.28,24924.38,24517.57,36943.63,6593.04,18149.68,26354.38,27468.45,3774.84,10250.27,16712.6,21426.05,3605.4,6337.39,4516.3,19108.15,-8330.91,5640.32,19895.45,30297.98,2699.4,12379.95,27526.26,50503.77,-3982.62,5699.41,24046.48,40319.31,-2990.53,12973.42,28461.33,49226.56,86.22,4747.93,23735.13
