报表日期,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30
销售商品、提供劳务收到的现金,10606.13,24947.34,25786.07,22405.24,20511.58,27369.04,6524.04,14408.14,22056.66,29836.91,6157.87,13274.85,21572.02,26292.31,5418.47,13194.72,19766.36,29508.31,10398.07,22738.08,34006.68,47002.41,14349.69,28269.31,41444.31,60104.48,11830.86,23389.82
收到的税费返还,0.0,62.41,26.07,692.23,405.0,758.66,152.18,281.71,409.6,837.63,170.38,328.01,425.53,821.5,152.28,341.63,713.17,1069.21,217.15,442.56,867.9,1273.32,547.81,1001.56,1554.65,2591.52,184.69,575.01
收到的其他与经营活动有关的现金,181.44,125.8,480.77,429.23,174.7,230.16,176.89,244.94,992.28,1133.09,894.8,1131.98,1160.43,1203.37,269.95,836.19,1049.45,1225.76,451.06,547.99,895.89,904.8,754.0,1118.75,1189.11,1333.51,1345.47,1508.38
经营活动现金流入小计,10787.57,25135.55,26292.91,23526.7,21091.28,28357.86,6853.1,14934.79,23458.54,31807.63,7223.04,14734.84,23157.99,28317.18,5840.7,14372.54,21528.98,31803.29,11066.27,23728.62,35770.47,49180.52,15651.49,30389.62,44188.06,64029.51,13361.02,25473.21
购买商品、接受劳务支付的现金,7101.09,15023.78,15443.59,13109.24,11512.53,16309.18,4558.89,8706.48,13269.1,17854.51,4038.69,7671.73,11371.33,11792.48,3148.16,7291.21,11754.34,16559.74,4533.46,9319.58,16840.73,23860.48,8060.18,13227.54,21216.14,28846.73,7037.28,14060.63
支付给职工以及为职工支付的现金,1328.16,3279.83,4384.14,3831.81,3490.64,4605.59,1045.98,2470.23,3801.44,5329.4,1179.21,2566.04,4316.41,5822.27,1312.32,2883.28,4677.34,6642.02,1914.47,4298.35,7122.74,9652.67,3007.08,5912.77,8891.09,11888.77,3383.14,7303.53
支付的各项税费,583.8,1640.67,2263.93,2561.88,1610.99,2016.64,549.97,1170.7,2173.1,2571.03,556.43,1171.27,2087.96,2782.14,166.12,747.22,1632.78,2760.5,789.43,2054.58,3232.92,4524.07,1142.42,2916.84,4310.49,5317.87,454.97,1106.33
支付的其他与经营活动有关的现金,755.93,2146.21,2275.65,1803.71,1433.24,1950.16,615.88,1310.7,2292.08,2931.17,579.73,1469.35,2163.93,2942.04,791.19,1700.85,2613.1,3206.84,1130.3,2240.36,3465.53,4556.74,1872.93,3776.59,5117.6,5765.67,2128.06,4008.79
经营活动现金流出小计,9768.97,22090.49,24367.31,21306.64,18047.39,24881.58,6770.73,13658.1,21535.72,28686.12,6354.06,12878.39,19939.62,23338.93,5417.79,12622.57,20677.56,29169.1,8367.66,17912.87,30661.92,42593.97,14082.61,25833.73,39535.31,51819.04,13003.45,26479.27
经营活动产生的现金流量净额,1018.6,3045.06,1925.6,2220.06,3043.89,3476.29,82.37,1276.68,1922.82,3121.52,868.98,1856.45,3218.36,4978.25,422.91,1749.98,851.42,2634.19,2698.62,5815.75,5108.55,6586.55,1568.89,4555.9,4652.76,12210.47,357.57,-1006.06
收回投资所收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600.0,23800.0,44227.0,20103.0,39465.0
取得投资收益所收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.08,20.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,66.16,178.98,128.51,280.5
处置固定资产、无形资产和其他长期资产所收回的现金净额,253.48,0.0,0.0,30.3,0.0,5.6,0.0,0.0,0.0,0.0,0.0,6.4,15.3,16.0,0.0,2.68,13.06,13.11,0.0,0.0,0.0,0.0,0.0,7.0,7.0,9.72,0.0,2.0
