报表日期,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30
货币资金,1173.93,3196.24,5853.8,7468.08,4741.23,37015.28,40592.88,36957.93,36378.7,33380.32,41238.43,37041.98,35810.48,35088.33,45809.35,42292.16,38549.57,24076.98,36284.18,15740.16,9206.11,10507.72,22674.93,77279.46,49723.99,32031.77,59970.91,52057.23,33499.22,27702.4,48204.63,16992.25,16445.2,19994.17,51465.29,24740.4,28236.99,27235.41,71512.28,42964.65,44980.97
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18994.84,18096.99,0.0,0.0,39268.86,0.0,0.0,0.0,0.0,0.0,0.0,66386.86,0.0,72180.71,0.0,84430.91,0.0,96535.48,102220.76,113598.56,122441.97,118867.76,125739.38,136711.61,157348.66,148758.75,56251.61,58834.45
应收票据,0.0,0.0,20.0,85.19,10.5,17.32,123.14,105.82,73.6,73.6,378.37,133.2,50.0,48.0,20.56,93.06,82.5,47.5,649.5,603.08,220.0,115.52,525.15,456.84,370.73,436.73,343.0,194.3,90.0,485.36,1033.6,622.6,248.0,1053.0,463.54,452.54,505.11,197.0,438.08,691.94,739.0
应收账款,2518.6,2617.25,2546.69,2736.43,6291.58,8137.02,6118.62,8015.37,8908.97,14630.34,10472.9,11863.82,15356.34,18946.84,18076.43,18777.32,25772.07,39221.36,37474.2,38436.03,47002.54,54521.1,55515.53,60028.28,66016.14,75962.76,71837.71,80438.69,84340.91,95207.99,95501.88,101598.16,113350.56,121388.97,118404.22,125286.84,136206.5,157151.66,148320.67,55559.67,58095.45
应收款项融资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预付款项,0.0,423.48,146.01,263.43,1221.4,1643.0,282.26,352.8,112.72,691.61,315.04,349.76,215.34,454.41,221.81,191.43,149.99,422.97,764.52,1001.57,737.35,1001.37,928.66,1628.97,2441.32,2271.96,1374.01,1979.61,3993.51,3969.11,2246.8,3264.07,3719.19,4664.17,3571.32,4237.16,4536.21,5622.07,2813.3,4827.72,4250.33
其他应收款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2913.38,3068.91,0.0,0.0,6705.22,0.0,0.0,0.0,0.0,0.0,0.0,10071.11,0.0,8804.69,0.0,13828.87,0.0,12425.38,22404.59,15164.36,14664.81,14208.88,15826.9,15695.6,14881.9,15273.93,16362.62,15231.77
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,237.2,417.43,558.19,52.76,178.79,137.88,241.61,72.03,141.7,212.71,327.59,138.61,129.9,128.41,10.29,0.23,0.0,0.0,0.0,204.89,139.51,224.17,16.64,52.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
