报表日期,2016-12-31,2017-12-31,2018-12-31,2019-09-30
销售商品、提供劳务收到的现金,2759417.15,3045282.31,3166115.58,2173023.07
收到的税费返还,0.0,0.0,0.0,0.0
收到的其他与经营活动有关的现金,9025.8,83130.36,85655.31,38113.4
经营活动现金流入小计,2768442.95,3128412.67,3251770.9,2211136.46
购买商品、接受劳务支付的现金,1216887.96,1236509.72,1264238.75,537100.41
支付给职工以及为职工支付的现金,3540.42,3602.54,3519.5,2280.6
支付的各项税费,106554.93,396675.91,468920.76,329695.26
支付的其他与经营活动有关的现金,2983.16,2735.72,138558.49,8774.5
经营活动现金流出小计,1329966.47,1639523.89,1875237.51,877850.77
经营活动产生的现金流量净额,1438476.48,1488888.78,1376533.39,1333285.7
收回投资所收到的现金,0.0,0.0,0.0,0.0
取得投资收益所收到的现金,0.0,0.0,0.0,0.0
处置固定资产、无形资产和其他长期资产所收回的现金净额,0.0,3495.88,13624.28,34608.15
处置子公司及其他营业单位收到的现金净额,0.0,0.0,0.0,0.0
收到的其他与投资活动有关的现金,15190.82,6563.98,1411.2,0.0
投资活动现金流入小计,15190.82,10059.86,15035.48,34608.15
购建固定资产、无形资产和其他长期资产所支付的现金,32732.72,65490.94,65704.36,35709.74
投资所支付的现金,0.0,0.0,0.0,0.0
取得子公司及其他营业单位支付的现金净额,0.0,0.0,0.0,0.0
支付的其他与投资活动有关的现金,5895.96,2302.67,2047.86,0.0
投资活动现金流出小计,38628.68,67793.6,67752.22,35709.74
投资活动产生的现金流量净额,-23437.86,-57733.75,-52716.74,-1101.59
吸收投资收到的现金,0.0,0.0,0.0,0.0
其中：子公司吸收少数股东投资收到的现金,0.0,0.0,0.0,0.0
取得借款收到的现金,380000.0,350000.0,250000.0,0.0
发行债券收到的现金,0.0,0.0,0.0,0.0
收到其他与筹资活动有关的现金,0.0,0.0,1135.0,0.0
筹资活动现金流入小计,380000.0,350000.0,251135.0,0.0
偿还债务支付的现金,1727838.45,699761.55,751800.0,201750.0
分配股利、利润或偿付利息所支付的现金,278315.53,585196.78,761278.4,1087892.77
其中：子公司支付给少数股东的股利、利润,0.0,0.0,0.0,0.0
支付其他与筹资活动有关的现金,0.0,0.0,0.0,1000.0
筹资活动现金流出小计,2006153.98,1284958.33,1513078.4,1290642.77
筹资活动产生的现金流量净额,-1626153.98,-934958.33,-1261943.4,-1290642.77
四、汇率变动对现金及现金等价物的影响,0.0,0.0,0.0,0.0
五、现金及现金等价物净增加额,-211115.35,496196.7,61873.24,41541.33
加:期初现金及现金等价物余额,637206.29,426090.94,922287.64,984160.88
六、期末现金及现金等价物余额,426090.94,922287.64,984160.88,1025702.21
净利润,790318.8,905344.22,1024797.46,951996.5
少数股东权益,0.0,0.0,0.0,0.0
未确认的投资损失,0.0,0.0,0.0,0.0
资产减值准备,2869.43,11477.74,-6834.16,-10382.44
固定资产折旧、油气资产折耗、生产性物资折旧,327675.91,304915.44,307678.88,227106.88
无形资产摊销,0.0,0.0,0.0,1370.56
长期待摊费用摊销,0.0,0.0,0.0,0.0
待摊费用的减少,0.0,0.0,0.0,0.0
预提费用的增加,0.0,0.0,0.0,0.0
处置固定资产、无形资产和其他长期资产的损失,0.0,0.0,0.0,0.0
固定资产报废损失,16.37,0.0,1.48,92.15
公允价值变动损失,0.0,0.0,0.0,0.0
递延收益增加（减：减少）,0.0,0.0,0.0,0.0
预计负债,0.0,0.0,0.0,0.0
财务费用,192457.44,139016.0,126260.15,81355.52
投资损失,0.0,0.0,0.0,0.0
递延所得税资产减少,113783.85,327.97,1708.54,2595.61
递延所得税负债增加,-1667.9,-1667.9,-1667.9,-1250.93
存货的减少,0.0,0.0,0.0,0.0
经营性应收项目的减少,2024.77,11189.58,7353.44,-17651.43
经营性应付项目的增加,10997.8,118285.74,-82764.5,98053.28
已完工尚未结算款的减少(减:增加),0.0,0.0,0.0,0.0
已结算尚未完工款的增加(减:减少),0.0,0.0,0.0,0.0
其他,0.0,0.0,0.0,0.0
经营活动产生现金流量净额,1438476.48,1488888.78,1376533.39,1333285.7
债务转为资本,0.0,0.0,0.0,0.0
一年内到期的可转换公司债券,0.0,0.0,0.0,0.0
融资租入固定资产,0.0,0.0,0.0,0.0
现金的期末余额,0.0,0.0,0.0,0.0
现金的期初余额,0.0,0.0,0.0,0.0
现金等价物的期末余额,0.0,0.0,0.0,0.0
现金等价物的期初余额,0.0,0.0,0.0,0.0
现金及现金等价物的净增加额,0.0,0.0,0.0,0.0
