报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
销售商品、提供劳务收到的现金,89957.25,207998.64,352308.59,518783.49,174475.85,377304.84,573660.26,784179.34,155324.82,333860.62,535570.87,741162.96,166652.65,357204.1,563781.61,833202.07,219099.08,461317.83,758585.67,7599750.53,1755225.11,3657986.1,5641273.08,7706690.81,1494552.95,3128043.92,5070728.51,7285914.32,1458667.91,3206091.59,5174598.73,7405640.74,1332038.81,2974023.39,4859420.06,6492968.53,1286434.8,2926716.2,4591726.42,6404879.49,1525726.83,3141281.83,4802186.15,6426967.42,1527588.36,3335336.52,5306677.94,7184859.49,1692018.64,3638646.7,5982285.55,8546512.45,2084291.33,4532903.62,7598563.74,11362667.46,2948801.12,6188809.8,9508801.56,12965001.26,2918330.94,6331940.44,10204236.54
收到的税费返还,4.41,83.36,156.82,53.96,25.02,80.69,92.28,60.34,167.17,180.39,331.66,31.68,78.97,104.38,119.95,612.02,49.97,59.02,155.54,720.76,160.86,106.84,974.42,187.26,637.27,2616.41,3218.16,185.74,0.0,800.06,817.48,133.89,367.42,58.06,58.06,289.0,0.0,848.81,1003.22,2273.41,792.42,2377.52,2829.71,1918.81,383.61,1488.78,2462.36,3387.06,897.12,1631.56,3001.58,4099.78,990.3,2917.91,4407.47,5365.09,1590.13,3210.53,4928.53,4189.77,2402.2,10014.57,15967.71
收到的其他与经营活动有关的现金,1566.14,17243.02,9302.59,19742.56,2020.12,3134.54,5989.8,8240.47,2059.89,4333.7,5959.78,5228.55,2856.06,2894.44,5674.17,10882.76,3234.78,6176.05,6737.88,46756.82,12510.12,13823.95,21678.35,51438.4,8869.0,17028.73,21355.26,49425.42,17920.25,37744.98,50655.47,48183.72,17434.7,35808.55,36873.94,40317.28,11164.94,32456.66,56139.22,54614.7,31138.95,46445.69,47432.93,112102.76,22029.28,51247.26,52896.79,94935.77,44488.11,51469.05,123067.61,184834.78,76893.08,72577.52,81439.63,162723.31,43660.01,61789.83,45319.64,152836.5,38040.67,61005.26,67095.92
经营活动现金流入小计,91527.8,225766.13,362465.74,538580.01,176520.99,380520.07,579742.34,792480.15,157551.89,338374.72,541862.3,746423.18,169587.68,360202.91,569575.73,844696.85,222383.82,467552.91,765479.09,7647228.12,1767896.09,3671916.88,5663925.85,7758316.47,1504059.22,3147689.07,5095301.94,7335525.48,1476588.15,3244636.63,5226071.68,7453958.36,1349840.93,3009890.0,4896352.07,6533574.82,1297599.75,2960021.68,4648868.87,6461767.61,1557658.19,3190105.03,4852448.79,6540988.99,1550001.25,3388072.56,5362037.1,7283182.32,1737403.87,3691747.31,6108354.74,8735447.01,2162174.71,4608399.05,7684410.85,11530755.86,2994051.26,6253810.16,9559049.73,13122027.53,2958773.8,6402960.28,10287300.16
购买商品、接受劳务支付的现金,80621.31,183964.67,310237.66,477616.25,171989.9,357837.48,536441.86,698215.94,133022.5,287082.24,478022.07,643038.14,160450.57,340647.34,525113.39,763099.02,218476.25,436238.46,695935.81,6954295.26,1585143.22,3394694.0,5267813.31,7046935.03,1401544.72,2918017.98,4647252.83,6619953.16,1367594.39,2987520.12,4748153.0,6730498.62,1165582.25,2570327.23,4241461.85,5644535.41,1081202.22,2522652.18,4005434.62,5583370.36,1383286.35,2778156.26,4195648.38,5556853.28,1383003.54,2917084.04,4644725.32,6214736.05,1546290.94,3280714.44,5323717.2,7537139.39,1914013.3,4063410.54,6708715.09,9872164.09,2985174.5,6018203.03,8669398.85,11578950.1,2772457.05,5764498.83,8910340.29
支付给职工以及为职工支付的现金,4927.98,9815.14,14633.92,19093.13,5904.74,11692.05,17365.32,25026.42,6324.55,12490.06,18643.2,26049.8,7185.88,13829.91,20693.57,28872.98,8391.72,16579.43,25449.3,250624.98,67807.71,129868.3,207051.65,317697.12,74306.09,148212.03,247956.9,342903.26,82392.04,167497.07,248176.03,368726.03,89056.77,167281.24,242961.96,351670.41,84330.63,165641.46,254076.76,351530.97,88100.36,182426.71,274057.07,398121.68,100839.09,198366.71,305912.01,434017.02,108059.3,221560.26,341342.24,501607.46,145671.56,306873.9,493805.27,709639.72,250034.87,488317.79,733157.79,976785.25,237853.07,435394.79,640637.33
支付的各项税费,1395.09,3407.28,5202.27,7980.09,1371.66,4231.1,7064.81,9574.16,2831.76,6568.64,8775.69,13774.52,2098.66,5053.54,8381.81,12503.62,2637.79,6606.01,10739.61,59207.96,25317.65,37632.95,45227.42,54330.29,12820.5,24981.4,38146.83,50530.35,18188.94,33786.19,50272.16,64614.34,14863.64,28991.38,41899.55,59321.24,14120.54,33590.29,50005.27,58009.67,13946.73,30294.04,46157.52,58657.87,16360.34,32874.56,50560.08,62592.21,15296.11,33063.74,45755.42,61767.23,15174.64,31540.17,48780.19,68933.35,18894.48,45024.85,68370.66,101356.23,19163.42,42780.47,62112.91
支付的其他与经营活动有关的现金,5255.45,17816.14,20193.81,28404.0,6243.99,12641.23,17214.78,39900.77,8677.41,22011.03,25315.78,47923.0,9475.43,19853.1,23942.3,38996.3,7706.44,21495.28,30660.88,170899.37,25737.06,58794.99,81365.03,134156.66,41197.01,69571.14,101194.85,163774.63,46745.11,78804.65,111831.26,155724.24,43879.44,86528.37,127874.33,159271.33,46083.18,98653.6,133477.31,157710.9,62517.73,100557.83,148668.23,256136.99,48727.04,115837.87,155532.27,238138.36,65715.99,102040.45,181106.54,191243.63,71558.2,140715.11,204979.45,314201.75,82588.38,161925.16,181268.03,414789.63,106088.83,273638.9,309380.89
经营活动现金流出小计,92199.83,215003.23,350267.67,533093.46,185510.3,386401.86,578086.77,772717.29,150856.22,328151.98,530756.75,730785.46,179210.54,379383.89,578131.07,843471.92,237212.19,480919.19,762785.6,7435027.57,1704005.64,3620990.25,5601457.41,7553119.11,1529868.31,3160782.54,5034551.41,7177161.41,1514920.47,3267608.02,5158432.44,7319563.23,1313382.1,2853128.22,4654197.7,6214798.39,1225736.57,2820537.52,4442993.97,6150621.9,1547851.18,3091434.84,4664531.19,6269769.82,1548930.01,3264163.18,5156729.68,6949483.64,1735362.33,3637378.89,5891921.4,8291757.71,2146417.69,4542539.72,7456280.0,10964938.91,3336692.22,6713470.83,9652195.32,13071881.21,3135562.37,6516313.0,9922471.41
经营活动产生的现金流量净额,-672.02,10762.9,12198.08,5486.55,-8989.31,-5881.79,1655.57,19762.85,6695.66,10222.74,11105.55,15637.72,-9622.86,-19180.98,-8555.35,1224.92,-14828.37,-13366.28,2693.49,212200.55,63890.45,50926.64,62468.43,205197.36,-25809.09,-13093.47,60750.53,158364.08,-38332.32,-22971.39,67639.24,134395.13,36458.82,156761.78,242154.37,318776.43,71863.17,139484.15,205874.9,311145.71,9807.02,98670.2,187917.6,271219.17,1071.24,123909.38,205307.42,333698.68,2041.54,54368.42,216433.35,443689.3,15757.01,65859.33,228130.85,565816.95,-342640.96,-459660.67,-93145.59,50146.32,-176788.57,-113352.72,364828.75
