报表日期,2010-12-31,2011-12-31,2012-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31
销售商品、提供劳务收到的现金,0.0,0.0,0.0,440677.19,1025793.12,1630985.02,2261921.63,523675.76,1027410.93,1784170.24,2806715.69,767904.95,1506285.19,2313535.38,3889433.38,1147670.17,2560478.34,3962028.95,5407545.42,1363126.75,2796714.41,4428716.84,5921881.44,1564537.98,3160250.97,4998758.92,6769957.43,1762551.95,3773964.29,5958147.11,7898912.25,2115448.07,4223338.81,6625779.46,8937169.42,1932046.09,4135180.6,6431414.57,8886367.34,2038557.6
收到的税费返还,0.0,0.0,0.0,69592.96,89309.47,126095.21,160017.32,33001.13,83494.76,123334.6,138005.42,8572.48,48244.44,110224.44,131782.91,47811.52,101988.61,125747.54,150075.54,69661.28,100630.63,125740.45,140873.96,77051.83,138367.29,210633.36,229773.34,23269.87,113123.66,164750.94,227194.29,35385.03,79422.93,139883.98,169476.25,30050.12,62562.2,121132.84,148423.98,47499.16
收到的其他与经营活动有关的现金,0.0,0.0,0.0,27823.52,31586.1,44716.53,79797.07,20000.86,32568.29,51977.4,102293.03,12399.01,15334.63,52712.93,105909.21,17832.5,39283.49,57466.23,75209.06,26282.13,72503.08,113582.63,212571.46,37172.44,83229.42,185600.67,314797.6,54686.18,125743.51,222711.39,301654.02,44358.35,89115.75,137468.85,233532.92,42291.63,99541.25,148387.69,233964.03,51577.2
经营活动现金流入小计,2034100.0,1948800.0,2184100.0,538093.67,1146688.69,1801796.76,2501736.02,576677.75,1143473.98,1959482.23,3047014.14,788876.44,1569864.26,2476472.75,4127125.5,1213314.19,2701750.45,4145242.71,5632830.02,1459070.16,2969848.12,4668039.92,6275326.86,1678762.25,3381847.68,5394992.95,7314528.37,1840508.0,4012831.46,6345609.44,8427760.57,2195191.45,4391877.49,6903132.29,9340178.59,2004387.84,4297284.05,6700935.1,9268755.36,2137633.96
购买商品、接受劳务支付的现金,0.0,0.0,0.0,143769.9,343479.53,476495.43,643700.81,175296.72,382628.31,534395.28,1299573.29,242431.9,369314.85,471587.44,1387334.71,336383.13,825217.44,1204782.57,1749303.15,483997.92,927203.57,1434833.47,2057126.12,635710.38,1096702.06,1701856.55,2501982.26,784915.53,1629585.17,2500101.26,3540313.47,1006835.62,1949463.47,2941435.44,3992375.16,1142289.23,2028111.22,2805082.52,4023707.07,1129529.17
支付给职工以及为职工支付的现金,0.0,0.0,0.0,70725.27,111773.32,163859.54,238403.95,75447.79,128497.41,192971.83,364504.16,88627.23,150937.3,222041.18,457071.72,133336.64,243338.36,361830.61,525871.69,167912.6,269178.49,398761.84,610147.21,179613.05,337703.05,523883.54,763277.31,223079.63,388201.85,576864.17,874232.47,247808.11,431998.45,621215.53,930547.03,242983.11,433478.14,652360.63,984449.94,255674.42
支付的各项税费,0.0,0.0,0.0,79769.97,174950.22,249674.22,345603.86,74525.56,186368.83,260910.6,341514.6,94357.89,234561.9,317706.68,430925.76,121420.01,268436.97,389627.18,505322.16,154665.4,278796.78,403839.72,531727.46,185727.38,364802.64,512002.52,661590.56,156031.42,327238.39,465450.39,594818.38,142510.47,311060.65,468602.37,602426.28,174409.35,415278.98,612835.03,819214.0,236982.83
支付的其他与经营活动有关的现金,0.0,0.0,0.0,24301.7,73621.19,91157.49,178605.96,38471.05,59793.84,84522.1,211135.58,21397.15,37472.61,84786.01,176519.77,40724.86,83382.8,122541.41,172606.53,36356.97,84098.48,148162.38,235369.01,52430.32,100640.5,201478.81,327788.34,76995.12,167120.34,290799.65,402912.19,54234.45,125807.34,193067.29,323719.98,50217.02,126764.13,197778.17,304543.49,69405.66
经营活动现金流出小计,811900.0,1829500.0,1688500.0,318566.84,703824.26,981186.67,1406314.57,363741.12,757288.38,1072799.82,2216727.63,446814.17,792286.66,1096121.31,2451851.97,631864.64,1420375.57,2078781.77,2953103.53,842932.89,1559277.32,2385597.41,3434369.8,1053481.13,1899848.26,2939221.42,4254638.47,1241021.7,2512145.75,3833215.46,5412276.52,1451388.65,2818329.9,4224320.63,5849068.46,1609898.72,3003632.47,4268056.35,6131914.51,1691592.08
经营活动产生的现金流量净额,1222113.36,119292.99,485543.73,219526.83,442864.43,820610.08,1095421.45,212936.62,386185.6,886682.41,830286.51,342062.27,777577.6,1380351.44,1675273.53,581449.55,1281374.87,2066460.95,2679726.49,616137.27,1410570.8,2282442.51,2840957.06,625281.12,1481999.42,2455771.54,3059889.89,599486.3,1500685.71,2512393.98,3015484.05,743802.8,1573547.59,2678811.66,3491110.13,394489.12,1293651.59,2432878.75,3136840.85,446041.88
