报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
销售商品、提供劳务收到的现金,419091.0,856190.78,1475570.81,1974684.57,512258.55,1041385.27,1675447.49,2119224.85,360726.19,866681.99,1352173.61,2035517.01,463907.44,1371687.54,2708905.78,3765877.51,792703.71,1781489.41,2799858.31,3813588.77,804350.11,1787463.42,2875226.6,3705131.91,998292.09,2032362.14,3243691.56,4367636.72,1051932.01,2409093.64,3872141.01,4943441.6,1265273.28,2453545.17,3910029.18,4575703.93,805042.05,1421516.44,2364489.65,3329948.82,986766.81,2175071.72,3575453.12,4647415.97,1027796.16,2519099.28,3899861.88,5528415.07,1231449.23
收到的税费返还,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.63,0.0,0.0,0.0,0.0,0.0,0.0,20.75,20.75,20.75,0.0,0.0,0.0,0.0,0.0,0.0,4.65,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到的其他与经营活动有关的现金,1550.02,61702.36,67336.56,58286.18,30182.95,20678.06,52120.66,12233.08,12706.89,11525.8,19303.01,9255.9,32484.72,21592.55,112676.46,9495.55,10688.92,5852.93,22628.22,11455.76,41191.99,9545.7,63440.35,14162.94,37301.22,9258.4,13500.25,11668.82,40447.78,54526.89,48419.38,21103.62,28753.29,35723.01,35731.49,25703.51,27892.02,43164.93,45617.22,30033.73,30980.35,38082.59,43865.61,29157.73,22444.04,32846.31,64502.37,85747.25,20042.21
经营活动现金流入小计,420641.02,917893.14,1542907.36,2032970.75,542441.5,1062063.33,1727568.16,2131457.93,373433.08,878207.79,1371476.62,2044772.91,496392.16,1393280.09,2821584.87,3775373.06,803392.63,1787342.35,2822486.53,3825044.53,845542.1,1797029.86,2938687.7,3719315.6,1035593.3,2041620.54,3257191.81,4379305.54,1092379.79,2463620.53,3920565.04,4964545.21,1294026.57,2489268.18,3945761.41,4601407.44,832934.08,1464681.36,2410106.87,3359982.55,1017747.16,2213154.31,3619318.73,4676573.7,1050240.21,2551945.59,3964364.25,5614162.32,1251491.44
购买商品、接受劳务支付的现金,131338.79,268318.9,388991.85,557062.75,141158.86,243426.14,390571.83,528702.33,143124.65,251640.7,372215.61,536282.94,144546.84,255713.09,690431.03,870932.05,232449.12,454392.08,681507.07,968246.68,292098.38,516964.82,858905.79,929749.4,284057.6,455221.52,769181.79,1170716.25,331912.44,538064.51,805263.95,1132385.28,412272.45,535361.11,999725.86,1068400.17,324573.01,344486.34,578796.16,751172.42,259830.7,403045.39,683421.05,894271.67,290010.46,472939.03,713546.62,870296.88,396095.96
支付给职工以及为职工支付的现金,49734.76,98883.69,152258.61,209995.8,57371.34,113975.68,169417.2,232437.84,60366.98,120467.81,174556.69,249722.03,65175.32,134456.08,492658.84,677938.23,180805.3,373840.48,578354.84,810006.78,243696.49,477305.95,710977.32,963507.24,267784.23,538388.23,795586.15,1161786.45,303644.71,618951.01,934433.22,1320238.93,347116.49,676896.44,993225.46,1405162.17,349364.34,682590.53,1016047.05,1444398.34,357926.93,722430.34,1087900.29,1581439.56,373373.72,762478.2,1149231.04,1820698.13,420421.28
支付的各项税费,88382.25,196392.12,301765.13,328529.24,153369.49,257052.37,361479.96,383964.61,66972.43,144317.35,219957.68,306282.13,68988.74,183399.82,308009.35,372775.58,169580.72,309743.26,387137.53,439547.22,189980.52,383223.42,419769.01,446478.56,240396.66,343770.88,410454.48,492858.4,191399.71,548183.04,628002.5,716588.1,231029.07,436216.68,636239.61,602346.6,152917.83,370495.47,546059.06,461312.19,70827.74,269348.35,386514.36,332149.92,70724.37,808716.83,872945.76,907520.32,55521.89
支付的其他与经营活动有关的现金,1308.16,7544.52,17290.66,24086.25,7311.82,59694.87,75781.4,111614.84,20072.66,41203.96,62504.62,88995.54,13060.96,15091.83,77575.99,162147.62,60499.52,10565.7,45503.26,96461.83,7837.47,15570.57,27936.0,87988.61,34427.0,46843.4,68257.35,77961.44,38539.03,12515.05,21959.58,64009.84,37262.67,36793.35,35638.91,113733.36,36342.6,31766.91,36003.94,75635.59,19425.35,55732.54,61623.53,119352.52,22692.61,53881.93,155048.31,226871.57,38849.21
经营活动现金流出小计,270763.96,571139.23,860306.26,1119674.04,359211.5,674149.06,997250.38,1256719.61,290536.72,557629.82,829234.59,1181282.65,291771.86,588660.82,1568675.21,2083793.48,643334.67,1148541.52,1692502.7,2314262.51,733612.87,1393064.76,2017588.13,2427723.82,826665.49,1384224.03,2043479.77,2903322.54,865495.88,1717713.61,2389659.25,3233222.15,1027680.69,1685267.58,2664829.84,3189642.31,863197.78,1429339.25,2176906.21,2732518.55,708010.73,1450556.62,2219459.22,2927213.67,756801.15,2098016.0,2890771.72,3825386.91,910888.34
经营活动产生的现金流量净额,149877.06,346753.91,682601.1,913296.71,183230.0,387914.27,730317.78,874738.32,82896.36,320577.97,542242.03,863490.26,204620.3,804619.27,1252909.66,1691579.58,160057.97,638800.82,1129983.83,1510782.03,111929.23,403965.1,921099.57,1291591.78,208927.81,657396.51,1213712.04,1475983.0,226883.9,745906.92,1530905.79,1731323.06,266345.88,804000.6,1280931.57,1411765.13,-30263.71,35342.12,233200.67,627464.0,309736.44,762597.69,1399859.5,1749360.03,293439.06,453929.59,1073592.53,1788775.41,340603.11
