报表日期,2012-12-31,2013-12-31,2014-09-30,2014-12-31,2015-06-30,2015-12-31,2016-06-30,2016-12-31,2017-06-30,2017-12-31,2018-03-31,2018-06-30,2018-12-31,2019-03-31,2019-06-30,2019-12-31,2020-03-31
销售商品、提供劳务收到的现金,26817.22,31975.46,28200.6,37860.75,18359.11,40347.31,21357.01,38978.44,21795.31,45955.32,13003.87,24919.99,52367.31,10539.15,24526.95,50667.6,11530.33
收到的税费返还,1388.29,1195.89,839.56,1095.59,409.87,815.95,324.4,632.47,422.35,781.12,221.98,519.48,1110.7,212.78,616.22,1076.8,341.78
收到的其他与经营活动有关的现金,1084.72,442.96,292.16,407.95,1116.22,1174.75,898.89,1864.5,672.21,1136.38,319.16,343.09,1496.39,472.88,515.11,1966.9,543.1
经营活动现金流入小计,29290.23,33614.3,29332.32,39364.29,19885.2,42338.01,22580.3,41475.41,22889.86,47872.82,13545.01,25782.56,54974.4,11224.81,25658.28,53711.31,12415.21
购买商品、接受劳务支付的现金,19030.81,18141.24,12515.81,20993.94,8996.74,20307.59,10915.57,18654.0,8884.13,21168.74,6933.96,12530.07,23704.77,3095.28,12824.11,27539.76,5351.64
支付给职工以及为职工支付的现金,5545.85,6601.45,5861.5,8472.73,3818.87,8877.85,4230.8,8976.12,4896.63,10591.15,2945.46,5987.3,12719.13,3127.81,6042.78,12393.87,3537.52
支付的各项税费,918.06,976.11,935.81,1322.0,945.54,1414.44,1088.02,1958.47,1562.85,2865.39,776.92,1437.97,2722.14,590.69,1156.7,2384.24,569.14
支付的其他与经营活动有关的现金,3037.93,3293.04,2785.62,4054.86,4270.19,6081.65,3252.31,6424.99,2850.48,6025.76,1992.11,2524.44,5564.69,1421.84,2687.01,5757.53,1282.88
经营活动现金流出小计,28532.65,29011.84,22098.73,34843.53,18031.33,36681.53,19486.7,36013.58,18194.09,40651.04,12648.45,22479.78,44710.73,8235.62,22710.59,48075.41,10741.16
经营活动产生的现金流量净额,757.58,4602.46,7233.58,4520.75,1853.87,5656.48,3093.6,5461.83,4695.77,7221.79,896.57,3302.78,10263.66,2989.2,2947.69,5635.9,1674.05
收回投资所收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
取得投资收益所收到的现金,149.7,149.7,233.53,233.53,67.97,238.02,0.0,238.02,0.0,91.32,0.0,0.0,37.42,0.0,0.0,92.21,0.0
处置固定资产、无形资产和其他长期资产所收回的现金净额,0.0,47.69,50.51,50.51,10.0,9.81,32.36,81.4,6.28,109.74,0.0,0.2,75.22,0.75,0.75,29.35,0.0
处置子公司及其他营业单位收到的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到的其他与投资活动有关的现金,0.0,0.0,0.0,0.0,0.0,665.0,0.0,0.0,37.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
投资活动现金流入小计,149.7,197.39,284.04,284.04,77.97,912.83,32.36,319.42,43.28,238.05,0.0,0.2,112.64,0.75,0.75,121.57,0.0
购建固定资产、无形资产和其他长期资产所支付的现金,3002.54,3753.75,3497.48,3325.76,1102.69,2850.55,1889.43,2850.85,3984.18,5620.06,958.78,3248.0,9025.94,1989.57,2793.08,5515.89,1494.51
投资所支付的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
取得子公司及其他营业单位支付的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
支付的其他与投资活动有关的现金,0.0,10.12,0.0,0.0,0.0,10.1,49.45,49.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
投资活动现金流出小计,3002.54,3763.87,3497.48,3325.76,1102.69,2860.65,1938.88,2900.3,3984.18,5620.06,958.78,3248.0,9025.94,1989.57,2793.08,5515.89,1494.51
投资活动产生的现金流量净额,-2852.85,-3566.48,-3213.44,-3041.72,-1024.72,-1947.82,-1906.52,-2580.88,-3940.9,-5382.01,-958.78,-3247.8,-8913.3,-1988.82,-2792.33,-5394.32,-1494.51
吸收投资收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其中：子公司吸收少数股东投资收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
取得借款收到的现金,17440.0,24890.0,18800.0,19550.0,2400.0,15920.0,7350.0,18050.0,8988.0,17238.0,9250.0,11900.0,17628.36,7473.11,8495.77,18108.65,8250.0
发行债券收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到其他与筹资活动有关的现金,1193.16,588.0,2258.48,8483.73,0.0,3737.92,1397.0,3047.0,500.0,2510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
筹资活动现金流入小计,18633.16,25478.0,21058.48,28033.73,2400.0,19657.92,8747.0,21097.0,9488.0,19748.0,9250.0,11900.0,17628.36,7473.11,8495.77,18108.65,8250.0
偿还债务支付的现金,15260.0,24030.0,21600.0,22700.0,2088.0,16350.0,5100.0,17125.0,6830.75,19262.65,7838.45,11036.9,17673.8,7768.45,7786.9,14773.8,7909.95
分配股利、利润或偿付利息所支付的现金,1041.96,2003.91,1264.93,1889.7,548.05,1535.91,1424.39,1770.26,434.67,760.83,178.1,357.78,676.49,157.38,316.69,685.31,209.25
其中：子公司支付给少数股东的股利、利润,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
支付其他与筹资活动有关的现金,386.77,228.48,1973.05,4498.04,400.54,5606.36,1748.75,3686.17,1244.93,1527.68,10.0,440.0,871.38,200.0,400.0,780.0,150.0
筹资活动现金流出小计,16688.73,26262.39,24837.98,29087.74,3036.59,23492.27,8273.14,22581.43,8510.35,21551.16,8026.55,11834.68,19221.67,8125.83,8503.59,16239.11,8269.2
筹资活动产生的现金流量净额,1944.43,-784.39,-3779.5,-1054.01,-636.59,-3834.35,473.86,-1484.43,977.65,-1803.16,1223.45,65.32,-1593.3,-652.71,-7.82,1869.54,-19.2
四、汇率变动对现金及现金等价物的影响,-85.37,-198.56,-191.07,-251.02,-49.73,246.01,95.66,223.0,-138.87,-382.62,-13.46,-16.41,226.05,-255.8,-37.06,105.61,10.61
五、现金及现金等价物净增加额,-236.21,53.02,49.58,174.0,142.83,120.32,1756.61,1619.52,1593.65,-346.0,1147.79,103.89,-16.89,91.87,110.48,2216.72,170.96
加:期初现金及现金等价物余额,932.41,696.2,749.22,749.22,923.22,923.22,1043.54,1043.54,2663.06,2663.06,2317.06,2317.06,2317.06,2300.17,2300.17,2300.17,4516.9
六、期末现金及现金等价物余额,696.2,749.22,798.8,923.22,1066.06,1043.54,2800.15,2663.06,4256.71,2317.06,3464.85,2420.95,2300.17,2392.04,2410.65,4516.9,4687.85
净利润,1254.23,1502.69,1786.68,2325.41,0.0,3073.65,0.0,4992.08,3176.91,6757.62,0.0,0.0,8084.65,0.0,0.0,8462.69,0.0
少数股东权益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
未确认的投资损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
资产减值准备,100.74,128.12,103.08,193.36,0.0,301.26,0.0,116.07,6.31,-17.0,0.0,0.0,32.27,0.0,0.0,123.95,0.0
固定资产折旧、油气资产折耗、生产性物资折旧,1292.34,1554.94,1270.47,1717.86,0.0,1975.95,0.0,1997.59,1068.92,2156.93,0.0,0.0,2401.44,0.0,0.0,3019.67,0.0
无形资产摊销,48.29,48.29,36.22,48.29,0.0,51.93,0.0,62.94,33.91,73.37,0.0,0.0,94.96,0.0,0.0,95.56,0.0
长期待摊费用摊销,0.0,0.0,0.0,0.0,0.0,32.8,0.0,65.6,32.8,71.33,0.0,0.0,90.75,0.0,0.0,92.35,0.0
待摊费用的减少,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预提费用的增加,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
处置固定资产、无形资产和其他长期资产的损失,21.52,-5.67,31.4,40.08,0.0,0.0,0.0,224.61,10.88,26.08,0.0,0.0,146.53,0.0,0.0,24.1,0.0
固定资产报废损失,0.0,0.0,0.0,0.0,0.0,82.51,0.0,0.0,0.0,0.0,0.0,0.0,11.47,0.0,0.0,20.2,0.0
公允价值变动损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
递延收益增加（减：减少）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预计负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
财务费用,1142.35,1286.68,1077.85,1446.17,0.0,753.02,0.0,589.59,539.8,1097.14,0.0,0.0,633.32,0.0,0.0,719.35,0.0
投资损失,-149.7,-149.7,-233.53,-233.53,0.0,-238.02,0.0,-238.02,0.0,-91.32,0.0,0.0,-37.42,0.0,0.0,-92.21,0.0
递延所得税资产减少,-5.9,16.71,-9.4,-25.41,0.0,-102.24,0.0,-61.12,-19.38,41.23,0.0,0.0,93.56,0.0,0.0,-28.51,0.0
递延所得税负债增加,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,607.47,0.0,0.0,232.32,0.0
存货的减少,-3211.2,412.24,231.13,271.03,0.0,-437.21,0.0,-505.24,231.63,-1259.82,0.0,0.0,-1418.21,0.0,0.0,-3824.69,0.0
经营性应收项目的减少,-338.39,-1563.5,-2432.65,-1674.4,0.0,284.63,0.0,-2690.13,-740.79,-1402.02,0.0,0.0,-1440.63,0.0,0.0,-4038.55,0.0
经营性应付项目的增加,603.31,1371.66,5372.34,411.88,0.0,-121.81,0.0,907.89,354.78,-231.76,0.0,0.0,963.5,0.0,0.0,829.67,0.0
已完工尚未结算款的减少(减:增加),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
已结算尚未完工款的增加(减:减少),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
经营活动产生现金流量净额,757.58,4602.46,7233.58,4520.75,0.0,5656.48,0.0,5461.83,4695.77,7221.79,0.0,0.0,10263.66,0.0,0.0,5635.9,0.0
债务转为资本,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的可转换公司债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
融资租入固定资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金的期末余额,696.2,749.22,798.8,923.22,0.0,1043.54,0.0,2663.06,4256.71,2317.06,0.0,0.0,2300.17,0.0,0.0,4516.9,0.0
现金的期初余额,932.41,696.2,749.22,749.22,0.0,923.22,0.0,1043.54,2663.06,2663.06,0.0,0.0,2317.06,0.0,0.0,2300.17,0.0
现金等价物的期末余额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金等价物的期初余额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金及现金等价物的净增加额,-236.21,53.02,49.58,174.0,0.0,120.32,0.0,1619.52,1593.65,-346.0,0.0,0.0,-16.89,0.0,0.0,2216.72,0.0
