报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
销售商品、提供劳务收到的现金,178788.86,367218.63,625776.98,879185.51,172932.07,440829.97,660433.2,952717.81,161381.76,347056.82,542411.68,795996.56,218686.59,490265.99,735282.78,1043741.66,353703.96,776314.92,1114944.87,1591884.51,372829.23,775203.06,1210661.43,1868501.38,483949.57,1053486.23,1658458.18,2543471.05,564661.21,1239940.81,2033997.11,2978090.31,448966.88,1137014.13,1712021.19,2598190.07,619938.19,1450281.91,2525447.71,3701263.98,1156570.35,2504992.77,4289718.03,6153505.93,1697628.71,3667107.9,5768226.28,7784592.02,2008950.85
收到的税费返还,47.94,9255.54,9480.35,21621.07,183.99,792.9,921.25,46166.44,167.88,7418.22,7860.29,4526.77,2344.42,4341.43,7643.27,8672.2,4828.79,10459.87,16616.44,22938.07,6526.87,9814.88,10779.82,24970.95,4414.93,10080.44,19763.49,35067.59,1725.78,10939.24,30788.49,44097.63,14790.64,26024.91,38947.23,50968.28,10400.4,23815.43,33497.36,45636.17,25055.94,53574.85,84636.41,109395.22,30797.11,68754.79,99265.51,114286.24,42471.45
收到的其他与经营活动有关的现金,7452.49,10149.14,10886.16,10265.78,16399.22,19699.39,22146.14,18773.52,4515.68,11969.83,16788.34,15559.8,2593.98,5781.15,12140.04,13785.98,474.62,3145.18,7120.52,14208.63,826.1,10491.81,13624.44,33366.95,5047.43,8052.26,21580.53,21969.53,9738.52,12736.33,26052.89,35584.75,4899.9,6917.39,27168.15,39735.94,20699.54,39586.36,51191.39,18675.91,70154.47,61032.97,83096.31,84867.91,59537.3,82779.65,99575.14,108422.62,62209.51
经营活动现金流入小计,186289.29,386623.31,646143.49,911072.35,189515.29,461322.27,683500.6,1017657.77,166065.33,366444.87,567060.3,816083.13,223624.98,500388.57,755066.09,1066199.84,359007.37,789919.97,1138681.82,1629031.2,380182.21,795509.75,1235065.69,1926839.28,493411.93,1071618.93,1699802.19,2600508.17,576125.51,1263616.38,2090838.49,3057772.69,468657.42,1169956.43,1778136.57,2688894.3,651038.13,1513683.69,2610136.45,3765576.07,1251780.76,2619600.59,4457450.75,6347769.05,1787963.12,3818642.34,5967066.93,8007300.88,2113631.81
购买商品、接受劳务支付的现金,145672.92,245938.41,391313.78,574273.59,126199.63,300919.71,447666.91,634756.54,86054.56,208383.49,385186.25,561896.25,174302.6,421336.37,642099.16,891898.07,292823.03,597821.77,867632.54,1191514.48,242923.54,504100.62,766254.95,1254420.58,318453.88,704163.29,1157001.31,1786933.3,396459.13,904341.57,1372481.7,2204194.71,286204.51,753213.0,1138128.17,1750305.83,365004.18,1000112.18,1734281.24,2463312.32,983063.49,2051704.92,3179727.42,4371448.5,997704.84,2195484.08,3286265.62,4694533.46,1154212.83
支付给职工以及为职工支付的现金,5030.34,12237.3,18668.43,29049.41,8875.39,16889.08,22419.42,27900.11,9164.5,14795.36,20311.25,27207.45,9242.45,15330.3,23899.38,29244.22,12906.3,27280.32,37475.79,48528.2,16562.14,30350.51,55066.1,67431.27,25185.91,39456.65,65380.41,85667.49,31885.05,47355.17,75903.22,97727.99,33941.02,66269.67,92710.47,127894.38,39754.07,68803.09,105207.9,144374.65,67062.81,103643.12,156945.39,205557.2,79181.43,135350.13,199497.1,289358.43,151144.11
支付的各项税费,15963.8,57419.25,89336.76,119677.41,33935.72,68864.02,85238.85,96992.19,12562.78,17655.4,32326.82,32460.73,8068.6,16367.24,25747.93,36542.52,12463.28,33502.36,64144.65,100362.28,8502.74,32669.34,71331.08,119573.26,46823.32,88150.8,143408.27,200519.57,27604.18,77753.22,140876.59,208373.11,34073.11,83749.8,123468.43,172867.85,31262.71,69568.71,132518.83,223916.77,119552.75,235602.27,412254.39,531138.98,301316.63,525293.13,631548.75,724192.63,253896.18
支付的其他与经营活动有关的现金,10016.11,14109.64,30725.08,59834.24,17976.61,26913.01,38949.47,57988.48,8258.78,21837.51,32078.7,49080.89,9842.65,24899.73,41594.62,67179.18,16305.76,36551.01,66357.3,87382.91,18017.7,38977.05,65596.0,104796.29,25813.8,61442.49,90911.05,140461.51,16033.28,52460.2,101461.31,145425.4,39999.89,72888.37,97636.01,177586.87,35243.29,55504.11,116798.77,199087.94,34795.23,83797.47,145378.46,218409.7,50760.04,117997.79,297812.7,373466.92,103821.51
经营活动现金流出小计,176683.17,329704.59,530044.04,782834.65,186987.35,413585.82,594274.66,817637.32,116040.63,262671.76,469903.02,670645.33,201456.3,477933.64,733341.1,1024864.0,334498.37,695155.45,1035610.28,1427787.86,286006.11,606097.51,958248.12,1546221.41,416276.91,893213.22,1456701.04,2213581.87,471981.64,1081910.16,1690722.82,2655721.2,394218.53,976120.84,1451943.08,2228654.92,471264.26,1193988.1,2088806.74,3030691.68,1204474.28,2474747.78,3894305.66,5326554.39,1428962.94,2974125.14,4415124.17,6081551.44,1663074.63
经营活动产生的现金流量净额,9606.12,56918.72,116099.45,128237.71,2527.94,47736.45,89225.94,200020.45,50024.7,103773.11,97157.28,145437.8,22168.68,22454.92,21724.99,41335.84,24509.0,94764.52,103071.54,201243.34,94176.1,189412.24,276817.57,380617.87,77135.02,178405.71,243101.15,386926.3,104143.87,181706.22,400115.67,402051.49,74438.9,193835.59,326193.49,460239.37,179773.87,319695.6,521329.71,734884.39,47306.48,144852.8,563145.09,1021214.66,359000.18,844517.2,1551942.76,1925749.44,450557.18
