报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31
销售商品、提供劳务收到的现金,483565.57,1034050.57,1736826.46,2466131.16,758090.43,1465549.55,2224146.04,2958207.2,705078.73,1456252.24,2501222.4,3465672.48,884459.55,1810619.31,2918665.49,4087579.49,958733.48,1870636.31,3102127.56,4370750.02,1059203.33,2195484.51,3341347.98,4484089.36,1050802.66,2185773.96,3564280.28,4906443.06,1102650.73,2270279.24,3633651.55,4979705.38,1093138.11,2239718.69,3553207.78,4879711.84,1371316.54,2747349.0,4176672.17,5603595.59,1291885.07,2605077.31,4057514.37,5459614.52,1302022.31,2565119.77,3893630.63,5316128.44,1282066.87,2768953.65,4599542.01,6570325.31,1922580.75,3880366.0,5964058.93,7962379.05,1966900.98,3731835.62,5478222.61,7118525.52,1457232.23,3003894.04,4815585.59,6810887.15,1597930.22
收到的税费返还,18.34,678.76,609.63,859.06,82.54,411.34,472.23,0.0,340.21,494.75,548.62,0.0,0.0,207.94,497.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1457.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15202.0,43362.77,43460.53,8069.02
收到的其他与经营活动有关的现金,5581.6,8538.23,72903.8,13390.8,2854.63,5536.01,22600.16,9785.46,3031.06,6902.81,13083.91,14440.09,4338.47,6177.51,15614.58,19127.55,51013.56,22356.96,25281.69,29177.54,3356.09,10224.18,33511.12,34842.9,14029.16,30769.69,40871.06,40818.42,20031.62,43467.11,56492.32,43280.51,8821.58,26142.4,55436.92,56014.52,22287.76,45097.19,58822.08,61786.52,29113.37,26307.43,35009.42,58349.52,17430.13,35093.58,46555.18,63737.05,11743.23,26626.53,51394.26,56979.15,20734.0,50463.15,96672.11,108220.69,26307.28,46302.52,78977.25,98612.63,21257.13,40726.76,58805.99,97370.75,24405.26
经营活动现金流入小计,489165.51,1043267.57,1810339.88,2480381.02,761027.6,1471496.91,2247218.43,2967992.66,708449.99,1463649.8,2514854.93,3480112.57,888798.01,1817004.76,2934777.86,4106707.03,1009747.04,1892993.27,3127409.25,4399927.56,1062559.42,2205708.69,3374859.1,4518932.26,1066289.22,2216543.65,3605151.34,4947261.48,1122682.35,2313746.35,3690143.87,5022985.89,1101959.69,2265861.1,3608644.69,4935726.36,1393604.3,2792446.19,4267268.92,5701186.01,1390996.8,2640285.72,4117334.5,5585438.77,1342908.86,2643620.83,3926452.84,5448575.76,1306703.58,2855779.23,4681846.66,6673022.03,1954317.75,3943974.58,6065372.0,8078913.27,1998989.34,3799407.88,5567365.87,7268447.98,1484620.98,3065082.37,4925541.31,6964689.11,1652180.45
购买商品、接受劳务支付的现金,406611.09,887141.75,1570161.94,2232809.47,702939.94,1339561.75,1967004.69,2648740.76,601467.01,1294860.23,2195662.38,3108820.62,806032.6,1696611.67,2612044.76,3687962.76,911019.23,1692559.13,2834560.14,4004406.99,963301.63,2034376.95,2443068.55,3374670.18,780889.69,1753369.28,2711948.54,3771031.7,858823.27,1815804.75,2783224.14,3720497.9,772944.72,1644288.77,2549883.97,3511879.73,961074.96,2110256.38,3149489.21,4158538.45,983669.24,2048940.33,3062204.03,4186539.9,1003473.97,2004531.22,2889711.37,4015821.9,1037884.9,2215979.03,3693890.25,5279726.97,1452904.06,3150004.67,4477313.55,6013472.74,1483083.37,3033452.5,4425640.36,5479424.78,1084420.28,2274542.22,3631013.1,5032223.36,1263551.75
支付给职工以及为职工支付的现金,22132.89,31079.86,45056.91,57754.22,26988.24,44427.8,55684.19,71954.62,29511.98,48563.28,66517.69,84916.89,36416.12,57459.12,79322.73,103409.1,47102.44,70566.37,97449.14,129931.07,52554.61,82697.73,200172.64,263333.68,89670.74,154135.31,225062.1,301357.83,108926.52,189819.05,270956.22,354114.64,113807.96,192123.43,267901.12,340882.63,107521.97,177808.86,248358.73,319706.72,105180.26,175486.79,249296.17,328358.1,111850.34,192615.55,277132.81,362130.78,122532.64,210366.45,296585.19,373649.63,106598.94,198099.11,282873.1,375092.0,143745.46,245562.63,343675.61,442082.47,152890.33,247292.4,336275.51,426111.84,157788.37
支付的各项税费,18450.13,38851.81,61632.98,74176.39,20946.63,42972.04,66523.07,87650.18,24069.59,45585.24,68428.33,90722.24,24223.83,46861.93,78411.04,105407.69,43882.75,54514.27,80133.5,98550.9,39659.48,63806.24,173482.81,258641.59,79037.88,155426.64,233746.3,316579.6,75246.73,158950.81,230659.09,311331.54,65547.41,166037.1,247284.72,346392.36,90377.52,181300.87,285611.05,407408.62,89054.69,209807.01,312873.87,414421.0,81172.34,219815.07,322586.69,409406.55,84655.41,211371.35,327085.44,445819.95,145374.94,356130.76,530828.28,659819.08,145457.46,322291.61,471123.47,612830.84,126021.83,273541.52,403256.4,572590.82,172666.59
支付的其他与经营活动有关的现金,11725.66,28973.47,62873.92,38714.75,7512.68,32606.34,74830.81,47805.48,8179.74,28740.11,42012.89,53903.73,12235.26,26595.54,46515.45,63397.03,16997.3,31290.54,52964.76,66963.94,21775.24,41384.48,274416.22,166555.16,40487.04,40548.72,121562.83,171363.24,43093.74,36078.17,99879.89,165837.66,31210.0,32762.44,79548.25,159939.22,48795.72,38998.77,98814.23,156436.17,55384.74,39464.78,58831.64,77582.64,15096.28,33784.88,59749.03,80532.73,19092.39,42553.75,78250.71,99978.98,21051.3,51637.26,73056.7,108228.04,27586.55,59408.47,92863.67,117489.57,31155.6,64307.32,103643.59,136329.57,30872.15
经营活动现金流出小计,458919.77,986046.89,1739725.75,2403454.83,758387.48,1459567.93,2164042.75,2856151.05,663228.32,1417748.87,2372621.3,3338363.49,878907.81,1827528.26,2816293.98,3960176.57,1019001.72,1848930.32,3065107.54,4299852.89,1077290.96,2222265.4,3091140.22,4063200.62,990085.35,2103479.95,3292319.77,4560332.37,1086090.26,2200652.79,3384719.34,4551781.74,983510.09,2035211.74,3144618.06,4359093.93,1207770.18,2508364.88,3873381.95,5146586.09,1236194.7,2416646.78,3672013.51,5020434.39,1216829.17,2451739.52,3563400.49,4929091.08,1273692.85,2701940.95,4413407.62,6230660.49,1775806.07,3767081.13,5454048.18,7196720.59,1858601.02,3671901.94,5365970.57,6665042.7,1507434.32,2909937.05,4522006.74,6208142.5,1652735.98
经营活动产生的现金流量净额,30245.74,57220.68,70614.12,76926.19,2640.12,11928.98,83175.68,111841.61,45221.67,45900.94,142233.63,141749.09,9890.2,-10523.5,118483.88,146530.46,-9254.68,44062.95,62301.71,100074.66,-14731.54,-16556.7,283718.89,455731.64,76203.87,113063.7,312831.57,386929.11,36592.1,113093.56,305424.53,471204.15,118449.61,230649.36,464026.64,576632.43,185834.12,284081.31,393886.97,554599.93,154802.1,223638.93,445321.0,565004.38,126079.69,191881.31,363052.35,519484.68,33010.74,153838.28,268439.04,442361.54,178511.68,176893.45,611323.83,882192.68,140388.33,127505.94,201395.3,603405.28,-22813.34,155145.31,403534.57,756546.61,-555.52
