报表日期,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30
销售商品、提供劳务收到的现金,497611.62,546403.91,540200.53,593841.93,240773.49,377036.43,608757.97,104723.93,259130.6,412419.86,666302.9,138080.17,316747.06,511467.12,742924.91,138899.22,350315.34,568568.15,842861.1,156212.57,394941.77,611410.13,895218.77,143466.47,354962.85,646494.87
收到的税费返还,5088.36,2608.08,2640.66,3533.72,17301.59,17654.06,17799.65,77.11,3388.86,3605.02,5732.33,82.33,2785.28,2859.75,2990.05,36.79,38.98,102.84,285.98,3492.34,5251.8,5893.27,6086.03,0.0,519.76,2672.91
收到的其他与经营活动有关的现金,13234.81,15977.95,27455.14,10198.21,7269.19,7555.97,11023.22,2376.87,2437.04,9675.6,9635.23,5421.08,1593.1,12943.49,5730.19,4070.92,4939.87,16376.91,12890.18,4500.38,8602.86,20538.07,12983.17,5906.49,12792.4,18494.17
经营活动现金流入小计,515934.8,564989.94,570296.33,607573.86,265344.26,402246.46,637580.84,107177.91,264956.5,425700.48,681670.47,143583.58,321125.44,527270.36,751645.15,143006.93,355294.2,585047.89,856037.26,164205.3,408796.42,637841.47,914287.96,149372.96,368275.02,667661.95
购买商品、接受劳务支付的现金,308045.87,293369.48,359156.71,356392.34,147268.34,227710.38,354059.41,72691.91,158766.52,276368.45,426124.16,97751.21,223556.57,385750.69,511126.46,90612.06,200214.25,366672.72,533912.95,107365.18,220583.96,371170.22,537593.62,81324.56,212785.67,366696.6
支付给职工以及为职工支付的现金,53473.35,68665.74,73986.75,72904.1,44389.09,61851.16,79699.75,29349.23,45802.6,63155.01,83307.92,30782.63,48706.7,65139.8,86223.45,38254.42,60282.73,78710.97,102374.91,41272.68,66225.42,95390.52,115861.16,45662.03,69868.57,92393.28
支付的各项税费,23836.16,26009.32,29569.36,10111.8,6191.22,6964.96,12251.43,4648.29,9694.78,10534.43,14561.98,4572.64,8737.47,10011.06,11867.38,3357.21,6100.89,9876.43,10176.14,2756.47,3910.11,7441.37,12069.37,3192.43,6133.79,8345.1
支付的其他与经营活动有关的现金,82211.36,88958.01,80689.57,80567.23,37014.04,57982.09,89905.22,20301.62,40719.82,62696.33,89333.69,25249.55,43825.14,56687.42,107865.67,26102.13,44369.49,71662.06,110228.23,22365.25,51676.68,67939.65,112322.76,17056.29,52643.76,67400.43
经营活动现金流出小计,467566.74,477002.56,543402.41,519975.46,234862.68,354508.6,535915.82,126991.05,254983.72,412754.22,613327.74,158356.04,324825.88,517588.97,717082.96,158325.81,310967.35,526922.18,756692.24,173759.58,342396.17,541941.76,777846.91,147235.31,341431.78,534835.41
经营活动产生的现金流量净额,48368.06,87987.37,26893.92,87598.4,30481.58,47737.86,101665.02,-19813.14,9972.78,12946.27,68342.73,-14772.46,-3700.43,9681.39,34562.19,-15318.88,44326.85,58125.72,99345.03,-9554.28,66400.25,95899.71,136441.05,2137.65,26843.23,132826.54
收回投资所收到的现金,18000.0,96000.0,130286.04,337446.99,42264.2,51236.99,102189.2,13528.14,35505.0,89831.13,185171.03,59919.25,166371.38,207831.54,283475.27,47798.96,132624.66,174994.17,251708.33,47370.26,131892.3,188042.14,195752.58,21015.6,122025.58,185710.52
取得投资收益所收到的现金,4604.52,2865.0,6027.54,6736.85,4683.67,7121.65,7586.5,368.75,2541.84,5284.87,5837.08,1697.04,6729.01,7820.92,9278.13,719.17,5533.58,9273.59,10866.79,828.31,4709.98,11472.57,11097.01,224.88,4019.87,8321.36
处置固定资产、无形资产和其他长期资产所收回的现金净额,120.62,43.73,2565.45,442.76,197.24,885.06,12929.33,33.44,178.42,215.03,153.82,5.21,50.92,118.26,94.87,1.7,235.94,284.89,453.59,745.61,736.38,812.69,938.13,218.68,158.03,236.39
处置子公司及其他营业单位收到的现金净额,0.0,12454.86,338.0,2737.95,0.0,0.0,548.61,0.0,0.0,0.0,0.0,0.0,13301.13,19995.81,6694.68,38.93,0.0,39.39,39.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到的其他与投资活动有关的现金,15780.37,15557.24,20686.5,12582.4,2881.4,7206.0,10543.4,7733.0,12053.0,12084.09,8451.34,12125.08,15139.26,15535.25,15139.26,1570.35,2000.0,2000.0,28356.1,113.0,302.08,6002.08,6145.54,0.0,7745.4,7758.05
投资活动现金流入小计,38505.51,126920.82,160246.86,361060.67,50581.54,66449.71,134862.96,21849.88,50278.26,107415.12,199613.28,73746.59,201591.7,251301.77,314682.21,50129.11,140394.17,186592.04,291424.2,49057.18,137640.74,206329.48,213933.26,21459.16,133948.88,202026.32
购建固定资产、无形资产和其他长期资产所支付的现金,32830.48,23897.52,44937.52,19658.78,10600.77,14322.16,19831.16,6662.0,13593.53,20505.28,34165.73,7124.87,12357.99,18578.12,24593.86,1890.49,5497.49,6668.95,16000.7,2558.96,6777.02,9310.67,15564.59,1519.77,4138.58,6602.26
投资所支付的现金,30520.0,85302.0,131900.0,365506.95,59593.87,88852.63,116148.43,23345.85,114712.35,148682.5,264920.02,28725.38,124163.57,155052.09,249351.92,61013.81,135699.58,178318.13,262873.59,44509.79,46350.09,60540.19,194273.86,21804.33,124828.21,192271.65
取得子公司及其他营业单位支付的现金净额,0.0,28832.91,8813.96,13496.81,150.0,0.0,0.0,0.0,0.0,2024.0,0.0,0.0,0.0,715.0,0.0,0.0,0.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
支付的其他与投资活动有关的现金,19128.26,18732.33,10872.49,303.0,7000.0,8020.0,7000.0,4330.0,7440.0,10335.99,31382.85,0.0,9694.55,4053.1,0.0,0.0,0.0,0.0,0.0,0.0,25400.0,27546.35,13400.0,430.83,24510.65,31740.0
投资活动现金流出小计,82478.74,156764.76,197543.97,402365.54,78364.64,111194.78,143999.59,34337.84,135745.88,181547.77,330468.6,35850.25,146216.11,178398.31,273945.78,62904.3,141197.07,185477.07,278874.29,47068.75,78527.11,97397.21,223238.44,23754.93,153477.45,230613.9
投资活动产生的现金流量净额,-43973.24,-29843.94,-37297.11,-41304.87,-27783.1,-44745.08,-9136.63,-12487.96,-85467.63,-74132.65,-130855.33,37896.34,55375.59,72903.47,40736.44,-12775.19,-802.9,1114.96,12549.91,1988.43,59113.63,108932.27,-9305.19,-2295.77,-19528.57,-28587.59
吸收投资收到的现金,2627.5,3571.6,1715.0,0.0,225.0,225.0,450.0,0.0,750.0,65705.52,66231.52,0.0,0.0,0.0,0.0,0.0,65.5,503.5,503.5,0.0,0.0,300.0,300.0,0.0,0.0,0.0
其中：子公司吸收少数股东投资收到的现金,2627.5,3571.6,1715.0,0.0,225.0,225.0,450.0,0.0,750.0,750.0,750.0,0.0,0.0,0.0,0.0,0.0,65.5,503.5,503.5,0.0,0.0,300.0,300.0,0.0,0.0,0.0
取得借款收到的现金,26475.0,41533.0,8500.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
发行债券收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到其他与筹资活动有关的现金,0.0,2316.14,0.0,0.0,0.0,11595.55,0.0,0.0,1201.21,2501.21,1896.21,0.0,12.36,105.0,1042.36,0.0,1.25,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
筹资活动现金流入小计,29102.5,47420.74,10215.0,5000.0,225.0,11820.55,450.0,0.0,1951.21,68206.73,68127.73,0.0,12.36,105.0,1042.36,0.0,66.75,504.75,503.5,0.0,0.0,300.0,300.0,0.0,0.0,0.0
偿还债务支付的现金,9567.5,38578.0,20800.0,22900.3,1500.0,3000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
分配股利、利润或偿付利息所支付的现金,35246.17,35058.66,35802.42,34618.14,3041.37,15060.15,34274.76,0.0,13.1,13.1,23770.21,11854.57,37015.23,50273.34,50273.34,20.22,24925.1,35997.71,37107.64,0.0,24951.23,37042.95,37062.1,0.0,24901.16,37127.04
其中：子公司支付给少数股东的股利、利润,35.58,32.26,102.9,12.98,10.32,10.32,10.32,0.0,13.1,13.1,13.1,0.0,0.0,0.0,20.22,20.22,0.0,20.22,20.54,0.0,27.72,27.72,27.72,0.0,0.0,0.0
