报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30
销售商品、提供劳务收到的现金,178263.43,381368.87,555327.33,733582.95,204751.07,413009.52,599461.02,791773.26,149904.88,335867.23,500632.82,1295894.63,423130.04,808940.39,1307548.24,1802561.47,584521.4,1142953.48,1838972.53,2492469.44,594540.57,1221645.82,2025002.16,2715130.3,703098.44,1390485.06,2237829.1,3209633.88,802538.55,1601198.25,2773049.44,3791371.19,809705.36,1637550.15,2691210.23,3646768.06,639964.44,1346761.91,2336855.53,3363160.46,757493.88,1487300.5,2615792.83,3589547.51,988961.8,1954571.54,3294806.36,4485218.35,1092835.46,2188724.97,3495342.6,4754829.99,760160.11,1778912.38,3026661.11
收到的税费返还,0.0,690.26,2634.01,0.0,0.0,1055.26,1620.19,231.92,430.9,430.9,455.47,1473.67,40.0,0.0,514.94,1004.67,0.0,0.08,854.61,653.0,0.0,3.15,909.6,1399.27,0.0,1079.9,1079.9,1725.2,559.6,11601.7,37483.72,66181.63,18502.1,53814.24,91702.12,139205.82,24828.71,39784.14,59684.75,82067.9,14727.07,42727.51,66247.0,94743.58,10319.1,11497.54,14300.59,15902.82,629.29,3741.25,2540.09,4831.58,2484.85,3000.07,6983.47
收到的其他与经营活动有关的现金,733.8,3802.34,6548.93,8293.51,2548.87,8156.98,11952.74,9485.52,1931.67,5441.44,6500.25,12296.91,1982.91,5412.36,10227.74,9761.13,7151.3,5952.56,11260.88,21357.85,3529.52,6629.25,12075.37,15900.63,4106.96,7417.98,10620.53,18186.62,3588.91,9683.77,22490.16,31310.65,5562.45,19595.03,33474.48,47823.05,5182.3,21603.25,70335.65,36166.06,2927.08,12968.6,19908.68,31080.51,8659.34,22744.81,33134.3,49114.97,12126.54,23486.1,33848.23,63743.83,10970.98,38755.4,69902.85
经营活动现金流入小计,178997.23,385861.47,564510.27,741876.45,207299.95,422221.75,613033.95,801490.7,152267.45,341739.57,507588.55,1309665.21,425152.96,814352.75,1318290.92,1813327.27,591672.7,1148906.13,1851088.01,2514480.28,598070.1,1228278.23,2037987.14,2732430.21,707205.4,1398982.94,2249529.52,3229545.7,806687.06,1622483.72,2833023.32,3888863.47,833769.9,1710959.42,2816386.83,3833796.93,669975.45,1408149.3,2466875.93,3481394.42,775148.03,1542996.6,2701948.5,3715371.61,1007940.24,1988813.89,3342241.25,4550236.14,1105591.3,2215952.33,3531730.93,4823405.41,773615.94,1820667.84,3103547.43
购买商品、接受劳务支付的现金,81304.77,166744.05,258060.52,361127.93,133251.25,264101.78,381498.04,502882.54,67711.57,151524.21,243609.03,510005.22,197232.0,452437.45,724141.23,992255.43,319651.82,711447.63,1157522.08,1643543.65,352075.58,717480.62,1135067.96,1490978.8,307908.96,583349.04,843868.57,1184551.87,270115.38,521840.45,764295.28,996718.85,171096.71,360091.25,548051.01,711046.36,118602.76,278245.45,489215.48,750205.77,240148.92,457256.96,731514.99,1057427.95,398691.44,808562.98,1276760.44,1710470.07,445359.75,859200.56,1243510.69,1754188.4,257131.44,553734.65,894505.54
支付给职工以及为职工支付的现金,6297.05,15303.62,23802.72,34381.38,7510.81,18536.46,27189.84,39851.03,7627.24,19052.66,29451.41,74657.97,18913.16,37026.11,53577.36,78863.75,21409.13,43894.3,66749.17,92080.24,25142.75,50733.16,80026.05,111449.3,33763.46,65641.04,97442.73,136343.39,41298.5,76639.01,108132.63,154849.31,44733.62,80119.94,115727.4,170998.6,47333.95,85786.03,126446.12,185694.1,53810.63,92573.44,133805.81,203660.67,58221.89,105425.1,150523.73,248225.73,68279.21,111605.48,164998.35,267329.55,56876.16,102766.28,147176.67
支付的各项税费,24937.59,48616.41,71485.25,91109.31,22347.05,44144.33,62401.12,75712.87,16454.24,46638.97,67853.7,189614.0,60790.83,97233.96,141873.08,195975.32,53032.51,98910.02,150664.23,198167.38,49968.81,100695.63,145190.24,222168.68,65076.03,127941.82,222257.24,345533.53,115424.77,235006.5,364345.68,546985.68,123499.98,281762.12,436779.39,611724.77,113192.62,241108.37,375802.93,563893.39,116784.26,265707.67,387893.15,560023.22,113881.73,274182.29,409394.74,587815.5,157389.13,311509.53,443593.01,649865.98,106138.47,260587.27,436920.53
支付的其他与经营活动有关的现金,3368.25,6116.1,7298.79,12830.95,1378.41,10804.5,24708.95,15960.29,2430.57,8159.84,13919.14,30933.01,12025.63,24383.75,43979.18,41704.62,12950.22,19515.64,28914.39,43030.8,8605.05,19464.9,32281.17,47195.52,8182.78,20462.95,32764.33,43355.63,9980.75,20459.9,37434.44,48411.53,9462.97,18072.78,39764.3,50350.04,10376.89,30365.67,66826.22,74947.37,11841.97,33040.91,57606.6,80155.79,19956.77,45748.28,68060.99,81844.73,15080.74,34539.64,89936.42,116603.93,7754.3,31979.21,35331.18
经营活动现金流出小计,115907.66,236780.18,360647.28,499449.57,164487.52,337587.08,495797.94,634406.73,94223.62,225375.68,354833.28,805210.2,288961.61,611081.26,963570.84,1308799.12,407043.68,873767.6,1403849.86,1976822.07,435792.19,888374.3,1392565.43,1871792.3,414931.23,797394.85,1196332.87,1709784.42,436819.4,853945.85,1274208.03,1746965.37,348793.29,740046.09,1140322.09,1544119.77,289506.22,635505.52,1058290.74,1574740.63,422585.79,848578.97,1310820.55,1901267.63,590751.83,1233918.65,1904739.89,2628356.03,686108.84,1316855.21,1942038.48,2787987.86,427900.37,949067.4,1513933.92
经营活动产生的现金流量净额,63089.57,149081.28,203862.99,242426.88,42812.42,84634.67,117236.01,167083.98,58043.83,116363.88,152755.26,504455.01,136191.34,203271.49,354720.08,504528.15,184629.02,275138.53,447238.14,537658.21,162277.9,339903.93,645421.71,860637.91,292274.17,601588.08,1053196.65,1519761.28,369867.66,768537.87,1558815.29,2141898.11,484976.61,970913.33,1676064.74,2289677.16,380469.22,772643.78,1408585.19,1906653.78,352562.25,694417.63,1391127.96,1814103.98,417188.41,754895.24,1437501.37,1921880.11,419482.46,899097.12,1589692.44,2035417.55,345715.57,871600.44,1589613.51
