报表日期,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31
销售商品、提供劳务收到的现金,3218264.27,5246491.88,11593194.78,3460207.93,7741368.85,11777134.29,14234665.31,1584880.01,3284315.22,5274584.65,7025027.05,2143010.71,4692157.75,7743495.81,9687614.92,2097680.33,4741641.01,7365444.39,9568508.77,2150407.59,4912040.14,7793181.59,9519627.86,2340751.38,4011799.93,6813110.72,7518047.76,1405637.95,3021611.18,4741178.71,6715034.76,1568131.38,2978263.32,4406726.52,5860834.89,1455344.57,2868713.64,4213334.89,7051585.09,2076676.98,4317757.14,6715589.19,9126290.71,2214648.71,4408552.85,8068020.21,12091017.95,3484739.56,7123388.57,10994363.33,15154533.58,3513549.56,7462423.96,11777013.58,17082603.27,6299375.7
收到的税费返还,3454.64,5092.16,11719.52,833.67,5444.41,5593.17,6415.23,4766.54,11208.4,17807.89,21739.95,2852.26,3323.6,8748.47,8561.73,2917.95,4300.16,10717.24,8380.02,5382.49,15898.87,29159.59,38017.51,5978.07,20126.69,30633.91,42034.07,9965.61,29735.27,43399.17,64877.36,12689.58,30677.76,40366.71,54370.21,9222.04,21879.91,36205.64,49396.31,13203.13,38137.6,83890.67,102037.0,36767.84,64496.39,108316.3,140977.64,25377.26,43700.6,66487.52,96062.57,23192.81,49238.3,71931.87,100460.1,22267.54
收到的其他与经营活动有关的现金,1018695.98,1715757.79,2371245.28,757914.05,1564300.33,2296227.17,2154360.85,416637.35,924907.49,1824471.62,2208795.93,622857.6,1289506.12,1932065.95,2488433.25,651776.08,1379692.38,1945352.4,2254530.49,630179.27,1437663.18,2264493.02,2757255.47,660115.78,1125937.87,1163790.94,1616007.79,123422.86,250676.09,577600.19,617739.58,77570.69,628988.65,709648.79,653105.92,81435.85,192868.29,214645.99,689550.31,164713.53,307819.18,501209.54,692553.44,172231.25,356003.28,612261.79,682360.42,168445.65,386583.72,497162.45,610457.78,161312.51,337990.91,510055.14,537928.57,133806.65
经营活动现金流入小计,4240414.88,6967341.83,13976159.58,4218955.65,9311113.58,14078954.63,16395441.39,2006283.9,4220431.11,7116864.16,9255562.92,2768720.57,5984987.47,9684310.23,12184609.9,2752374.35,6125633.56,9321514.03,11831419.28,2785969.34,6365602.19,10086834.2,12314900.85,3006845.23,5157864.49,8007535.56,9176089.63,1539026.43,3302022.54,5362178.07,7397651.7,1658391.65,3637929.72,5156742.02,6568311.03,1546002.45,3083461.83,4464186.52,7790531.71,2254593.64,4663713.92,7300689.4,9920881.15,2423647.8,4829052.52,8788598.3,12914356.0,3678562.47,7553672.89,11558013.3,15861053.93,3698054.89,7849653.18,12359000.59,17720991.95,6455449.89
购买商品、接受劳务支付的现金,2900398.16,4605226.28,8457438.03,2442834.48,5469016.13,8469889.73,10570561.72,1807880.64,3517139.48,5414559.13,6779651.67,1895089.26,3871611.42,6379047.01,7706005.67,1961411.24,4303698.97,6885913.56,9243346.14,2168760.32,4696443.82,7595431.92,9221097.59,2487736.7,3972573.94,6607056.72,7090368.91,1252138.04,2583077.96,4159122.32,5653302.03,1240040.02,2546114.03,3815863.12,4926188.9,1213090.78,2501867.49,3773250.49,6327802.93,1936945.89,3708546.78,5820042.69,7733091.14,1905761.06,3911553.84,6972691.97,10365566.69,2697173.41,5476269.03,8545810.85,11728618.98,3020366.29,5733758.83,8756670.33,11555853.6,3146951.1
支付给职工以及为职工支付的现金,131036.65,191314.32,561589.97,156128.44,277845.94,389309.66,588793.22,161666.57,283424.11,406179.16,665279.21,183647.97,338320.57,481392.5,659640.5,238571.54,402303.53,579488.65,805245.63,258288.27,408021.85,624701.61,782568.78,211857.67,374475.82,519674.93,692169.76,161675.9,322068.98,464257.13,678503.23,186486.62,337048.63,477610.58,658121.06,222918.23,331087.09,450702.67,622583.24,187493.23,320284.26,454343.56,661570.68,261888.49,416444.3,685211.42,865648.85,376188.45,623175.07,880018.53,1112035.73,353491.1,571178.32,802234.52,1058324.0,392753.48
支付的各项税费,54226.19,86588.81,335535.19,53085.31,358269.99,527394.08,629582.96,38770.31,102783.31,139723.62,151554.47,36156.88,69637.19,133218.47,148467.11,30323.79,65315.36,91036.74,113037.33,39820.28,90479.5,111963.04,146138.11,34557.83,71350.68,88524.04,125499.47,22079.69,56561.26,78096.71,101632.71,21041.36,42664.78,74382.35,98612.11,18447.74,52525.08,90676.06,113654.11,31431.53,102386.21,127957.15,155124.72,39423.09,71950.09,106005.57,166890.98,50362.89,98441.27,131592.24,236595.25,36736.58,66320.23,111413.11,155575.77,67426.06
支付的其他与经营活动有关的现金,1036721.34,1768144.51,2353328.13,752972.42,1537356.99,2340141.89,2268679.86,385731.5,922919.91,1790330.4,2246978.38,483884.08,1232281.69,1756378.36,2555313.65,574435.04,1438976.53,1939731.1,2170895.77,610845.55,1487308.95,2290005.84,2695024.43,569910.91,1079618.18,1114469.58,1501864.11,115966.5,200421.75,221346.45,374081.98,99944.34,128235.65,222699.11,219020.89,149302.1,193583.33,207782.6,574538.22,163109.65,354318.63,377872.95,661890.66,269494.58,382478.19,577280.37,703171.91,145596.97,409103.65,500386.81,663566.82,134053.23,334626.68,415325.37,448183.05,150502.49
经营活动现金流出小计,4122382.34,6651273.92,11707891.32,3405020.66,7642489.06,11726735.36,14057617.75,2394049.02,4826266.81,7750792.32,9843463.73,2598778.18,5511850.87,8750036.34,11069426.93,2804741.61,6210294.39,9496170.04,12332524.87,3077714.42,6682254.12,10622102.4,12844828.92,3304063.11,5498018.62,8329725.27,9409902.26,1551860.12,3162129.94,4922822.61,6807519.95,1547512.34,3054063.08,4590555.15,5901942.96,1603758.86,3079062.99,4522411.82,7638578.5,2318980.3,4485535.88,6780216.36,9211677.21,2476567.22,4782426.42,8341189.33,12101278.44,3269321.71,6606989.01,10057808.43,13740816.78,3544647.21,6705884.07,10085643.32,13217936.41,3757633.13
经营活动产生的现金流量净额,118032.54,316067.91,2268268.26,813934.99,1668624.52,2352219.28,2337823.63,-387765.12,-605835.7,-633928.16,-587900.81,169942.39,473136.6,934273.9,1115182.97,-52367.26,-84660.83,-174656.01,-501105.6,-291745.07,-316651.94,-535268.2,-529928.07,-297217.88,-340154.13,-322189.71,-233812.63,-12833.7,139892.6,439355.47,590131.75,110879.31,583866.64,566186.86,666368.06,-57756.41,4398.84,-58225.3,151953.22,-64386.66,178178.04,520473.04,709203.94,-52919.42,46626.11,447408.97,813077.56,409240.76,946683.88,1500204.87,2120237.15,153407.68,1143769.11,2273357.26,4503055.53,2697816.76
